"metric","value","species","context"
"n_GUvsUU",2007,"Avena","CpG"
"n_UUvsUC",12,"Avena","CpG"
"n_GUvsGC",39,"Avena","CpG"
"GUvsUU_inter_UUvsUC",5,"Avena","CpG"
"GUvsUU_inter_GUvsGC",1,"Avena","CpG"
"UUvsUC_inter_GUvsGC",0,"Avena","CpG"
"all_three",0,"Avena","CpG"
"Overlap_GUvsUU_UUvsUC",0.417,"Avena","CpG"
"Overlap_GUvsUU_GUvsGC",0.026,"Avena","CpG"
"Overlap_UUvsUC_GUvsGC",0,"Avena","CpG"
"n_GUvsUU",1692,"Avena","CHG"
"n_UUvsUC",24,"Avena","CHG"
"n_GUvsGC",37,"Avena","CHG"
"GUvsUU_inter_UUvsUC",11,"Avena","CHG"
"GUvsUU_inter_GUvsGC",0,"Avena","CHG"
"UUvsUC_inter_GUvsGC",0,"Avena","CHG"
"all_three",0,"Avena","CHG"
"Overlap_GUvsUU_UUvsUC",0.458,"Avena","CHG"
"Overlap_GUvsUU_GUvsGC",0,"Avena","CHG"
"Overlap_UUvsUC_GUvsGC",0,"Avena","CHG"
"n_GUvsUU",847,"Avena","CHH"
"n_UUvsUC",71,"Avena","CHH"
"n_GUvsGC",191,"Avena","CHH"
"GUvsUU_inter_UUvsUC",14,"Avena","CHH"
"GUvsUU_inter_GUvsGC",1,"Avena","CHH"
"UUvsUC_inter_GUvsGC",1,"Avena","CHH"
"all_three",0,"Avena","CHH"
"Overlap_GUvsUU_UUvsUC",0.197,"Avena","CHH"
"Overlap_GUvsUU_GUvsGC",0.005,"Avena","CHH"
"Overlap_UUvsUC_GUvsGC",0.014,"Avena","CHH"
"n_GUvsUU",67,"Plantago","CpG"
"n_UUvsUC",31,"Plantago","CpG"
"n_GUvsGC",11,"Plantago","CpG"
"GUvsUU_inter_UUvsUC",2,"Plantago","CpG"
"GUvsUU_inter_GUvsGC",0,"Plantago","CpG"
"UUvsUC_inter_GUvsGC",0,"Plantago","CpG"
"all_three",0,"Plantago","CpG"
"Overlap_GUvsUU_UUvsUC",0.065,"Plantago","CpG"
"Overlap_GUvsUU_GUvsGC",0,"Plantago","CpG"
"Overlap_UUvsUC_GUvsGC",0,"Plantago","CpG"
"n_GUvsUU",80,"Plantago","CHG"
"n_UUvsUC",72,"Plantago","CHG"
"n_GUvsGC",3,"Plantago","CHG"
"GUvsUU_inter_UUvsUC",21,"Plantago","CHG"
"GUvsUU_inter_GUvsGC",0,"Plantago","CHG"
"UUvsUC_inter_GUvsGC",0,"Plantago","CHG"
"all_three",0,"Plantago","CHG"
"Overlap_GUvsUU_UUvsUC",0.292,"Plantago","CHG"
"Overlap_GUvsUU_GUvsGC",0,"Plantago","CHG"
"Overlap_UUvsUC_GUvsGC",0,"Plantago","CHG"
"n_GUvsUU",330,"Plantago","CHH"
"n_UUvsUC",640,"Plantago","CHH"
"n_GUvsGC",9,"Plantago","CHH"
"GUvsUU_inter_UUvsUC",283,"Plantago","CHH"
"GUvsUU_inter_GUvsGC",0,"Plantago","CHH"
"UUvsUC_inter_GUvsGC",1,"Plantago","CHH"
"all_three",0,"Plantago","CHH"
"Overlap_GUvsUU_UUvsUC",0.858,"Plantago","CHH"
"Overlap_GUvsUU_GUvsGC",0,"Plantago","CHH"
"Overlap_UUvsUC_GUvsGC",0.111,"Plantago","CHH"
