Tag	GO Term	GO Name	GO Category	Adj. P-value	P-value	Nr Test	Nr Reference	Not Annot Test	Not Annot Ref
UNDER	GO:0016925	protein sumoylation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009626	plant-type hypersensitive response	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0002758	innate immune response-activating signaling pathway	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0042742	defense response to bacterium	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0045454	cell redox homeostasis	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007165	signal transduction	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006278	RNA-templated DNA biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1901703	protein localization involved in auxin polar transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0034204	lipid translocation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0015914	phospholipid transport	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0009102	biotin biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006665	sphingolipid metabolic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0000122	negative regulation of transcription by RNA polymerase II	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1901001	negative regulation of response to salt stress	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0051707	response to other organism	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006952	defense response	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0008610	lipid biosynthetic process	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1902600	proton transmembrane transport	BP_ARGOT	1	0.92	0	1	1	14
UNDER	GO:0017148	negative regulation of translation	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0007166	cell surface receptor signaling pathway	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0006457	protein folding	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:1902445	regulation of mitochondrial membrane permeability involved in programmed necrotic cell death	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0002931	response to ischemia	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0090201	negative regulation of release of cytochrome c from mitochondria	BP_ARGOT	1	1	0	0	1	14
UNDER	GO:0071243	cellular response to arsenic-containing substance	BP_ARGOT	1	1	0	0	1	14
