Tag	GO Term	GO Name	GO Category	Adj. P-value	P-value	Nr Test	Nr Reference	Not Annot Test	Not Annot Ref
OVER	GO:0090304	nucleic acid metabolic process	BIOLOGICAL_PROCESS	2.711374180947505E-35	3.410533560940258E-37	53.0	16933.0	193.0	800574.0
OVER	GO:0006259	DNA metabolic process	BIOLOGICAL_PROCESS	2.711374180947505E-35	3.410533560940258E-37	53.0	16933.0	193.0	800574.0
OVER	GO:0004518	nuclease activity	MOLECULAR_FUNCTION	5.0276934982260205E-31	1.2648285530128353E-32	37.0	7588.0	209.0	809919.0
OVER	GO:0140640	catalytic activity, acting on a nucleic acid	MOLECULAR_FUNCTION	5.0276934982260205E-31	1.2648285530128353E-32	37.0	7588.0	209.0	809919.0
OVER	GO:0043170	macromolecule metabolic process	BIOLOGICAL_PROCESS	2.454667087856977E-18	7.719078892632004E-20	54.0	41539.0	192.0	775968.0
OVER	GO:0006139	nucleobase-containing compound metabolic process	BIOLOGICAL_PROCESS	5.320999370883986E-16	2.0079242908996176E-17	54.0	47243.0	192.0	770264.0
OVER	GO:0003676	nucleic acid binding	MOLECULAR_FUNCTION	4.317740239124537E-14	1.9008919291743246E-15	45.0	37137.0	201.0	780370.0
OVER	GO:0016787	hydrolase activity	MOLECULAR_FUNCTION	7.91220445212341E-11	3.980983372137564E-12	43.0	42678.0	203.0	774829.0
OVER	GO:0044238	primary metabolic process	BIOLOGICAL_PROCESS	7.544325471104804E-9	4.27037290817253E-10	56.0	76723.0	190.0	740784.0
UNDER	GO:0005737	cytoplasm	CELLULAR_COMPONENT	1.207616173388286E-5	7.595070272882302E-7	3.0	72463.0	243.0	745044.0
OVER	GO:0005488	binding	MOLECULAR_FUNCTION	1.8814970599707048E-5	1.3016646326841354E-6	58.0	100586.0	188.0	716921.0
OVER	GO:0008152	metabolic process	BIOLOGICAL_PROCESS	4.4546160567876544E-5	3.3619743824812487E-6	58.0	104481.0	188.0	713026.0
OVER	GO:0003824	catalytic activity	MOLECULAR_FUNCTION	1.3165954061179514E-4	1.0764616528008409E-5	60.0	112886.0	186.0	704621.0
OVER	GO:0016740	transferase activity	MOLECULAR_FUNCTION	1.3750794022435547E-4	1.2107617378245135E-5	31.0	43946.0	215.0	773561.0
UNDER	GO:0005622	intracellular anatomical structure	CELLULAR_COMPONENT	2.0459942953498223E-4	1.9301832974998324E-5	7.0	82988.0	239.0	734519.0
UNDER	GO:0043227	membrane-bounded organelle	CELLULAR_COMPONENT	0.006252402454584936	6.782357805603777E-4	5.0	57567.0	241.0	759940.0
UNDER	GO:0043231	intracellular membrane-bounded organelle	CELLULAR_COMPONENT	0.006252402454584936	6.782357805603777E-4	5.0	57567.0	241.0	759940.0
OVER	GO:0009987	cellular process	BIOLOGICAL_PROCESS	0.006252402454584936	7.078191458020682E-4	58.0	125260.0	188.0	692247.0
UNDER	GO:0043229	intracellular organelle	CELLULAR_COMPONENT	0.010208486858989604	0.0013482907172250422	6.0	60402.0	240.0	757105.0
UNDER	GO:0043226	organelle	CELLULAR_COMPONENT	0.010208486858989604	0.0013482907172250422	6.0	60402.0	240.0	757105.0
UNDER	GO:0009536	plastid	CELLULAR_COMPONENT	0.010208486858989604	0.001335073452502094	1.0	31698.0	245.0	785809.0
UNDER	GO:0009507	chloroplast	CELLULAR_COMPONENT	0.020814401997743072	0.002879980150631117	1.0	29444.0	245.0	788063.0
UNDER	GO:0036094	small molecule binding	MOLECULAR_FUNCTION	0.033706854879444845	0.006147791141533966	4.0	42630.0	242.0	774877.0
UNDER	GO:0110165	cellular anatomical structure	CELLULAR_COMPONENT	0.033706854879444845	0.00519813756632711	19.0	112298.0	227.0	705209.0
UNDER	GO:0005215	transporter activity	MOLECULAR_FUNCTION	0.033706854879444845	0.005376821930231593	0.0	19764.0	246.0	797743.0
UNDER	GO:0006810	transport	BIOLOGICAL_PROCESS	0.033706854879444845	0.00593648528524121	1.0	26738.0	245.0	790769.0
