Tag	GO Term	GO Name	GO Category	Adj. P-value	P-value	Nr Test	Nr Reference	Not Annot Test	Not Annot Ref
OVER	GO:0090304	nucleic acid metabolic process	BIOLOGICAL_PROCESS	6.353021710183503E-31	7.991222276960382E-33	43.0	16943.0	134.0	800633.0
OVER	GO:0006259	DNA metabolic process	BIOLOGICAL_PROCESS	6.353021710183503E-31	7.991222276960382E-33	43.0	16943.0	134.0	800633.0
OVER	GO:0004518	nuclease activity	MOLECULAR_FUNCTION	4.2084313687958655E-24	1.0587248726530479E-25	28.0	7597.0	149.0	809979.0
OVER	GO:0140640	catalytic activity, acting on a nucleic acid	MOLECULAR_FUNCTION	4.2084313687958655E-24	1.0587248726530479E-25	28.0	7597.0	149.0	809979.0
OVER	GO:0043170	macromolecule metabolic process	BIOLOGICAL_PROCESS	3.837130645508854E-17	1.2066448570782559E-18	44.0	41549.0	133.0	776027.0
OVER	GO:0006139	nucleobase-containing compound metabolic process	BIOLOGICAL_PROCESS	6.357137134061749E-16	2.3989196732308488E-17	45.0	47252.0	132.0	770324.0
OVER	GO:0003676	nucleic acid binding	MOLECULAR_FUNCTION	1.6481332272580659E-13	7.255932447048088E-15	37.0	37145.0	140.0	780431.0
OVER	GO:0044238	primary metabolic process	BIOLOGICAL_PROCESS	1.9802828768923854E-10	1.1209148359768218E-11	48.0	76731.0	129.0	740845.0
OVER	GO:0016787	hydrolase activity	MOLECULAR_FUNCTION	1.9802828768923854E-10	1.054895663012829E-11	35.0	42686.0	142.0	774890.0
OVER	GO:0008152	metabolic process	BIOLOGICAL_PROCESS	7.567997915883719E-7	4.759747116907999E-8	50.0	104489.0	127.0	713087.0
OVER	GO:0005488	binding	MOLECULAR_FUNCTION	3.5910162472478746E-6	2.484350862875888E-7	47.0	100597.0	130.0	716979.0
OVER	GO:0003824	catalytic activity	MOLECULAR_FUNCTION	3.6260151567287164E-6	2.7366152126254463E-7	51.0	112895.0	126.0	704681.0
OVER	GO:0009987	cellular process	BIOLOGICAL_PROCESS	6.13812931925151E-5	5.018596298759096E-6	51.0	125267.0	126.0	692309.0
UNDER	GO:0005737	cytoplasm	CELLULAR_COMPONENT	0.024441774065463332	0.0021521058925565197	5.0	72461.0	172.0	745115.0
	GO:0016740	transferase activity	MOLECULAR_FUNCTION	0.11457975405919466	0.010809410760301383	18.0	43959.0	159.0	773617.0
	GO:0005622	intracellular anatomical structure	CELLULAR_COMPONENT	0.11904964514951663	0.011979838505611736	8.0	82987.0	169.0	734589.0
	GO:0043227	membrane-bounded organelle	CELLULAR_COMPONENT	0.46683664516819695	0.05578551105783486	6.0	57566.0	171.0	760010.0
	GO:0043231	intracellular membrane-bounded organelle	CELLULAR_COMPONENT	0.46683664516819695	0.05578551105783486	6.0	57566.0	171.0	760010.0
	GO:0009579	thylakoid	CELLULAR_COMPONENT	0.46683664516819695	0.05413991012350906	0.0	15741.0	177.0	801835.0
	GO:0007049	cell cycle	BIOLOGICAL_PROCESS	0.4803850117848035	0.06042578764588723	2.0	1830.0	175.0	815746.0
	GO:0043228	membraneless organelle	CELLULAR_COMPONENT	0.4933066353704376	0.06825626401351967	1.0	23023.0	176.0	794553.0
	GO:0043232	intracellular membraneless organelle	CELLULAR_COMPONENT	0.4933066353704376	0.06825626401351967	1.0	23023.0	176.0	794553.0
	GO:0043229	intracellular organelle	CELLULAR_COMPONENT	0.4933311820277618	0.084357676085706	7.0	60401.0	170.0	757175.0
	GO:0043226	organelle	CELLULAR_COMPONENT	0.4933311820277618	0.084357676085706	7.0	60401.0	170.0	757175.0
	GO:0009536	plastid	CELLULAR_COMPONENT	0.4933311820277618	0.07451394963037017	2.0	31697.0	175.0	785879.0
	GO:0005102	signaling receptor binding	MOLECULAR_FUNCTION	0.4933311820277618	0.08356024079018415	1.0	402.0	176.0	817174.0
	GO:0009056	catabolic process	BIOLOGICAL_PROCESS	0.4933311820277618	0.0814118161875334	0.0	14421.0	177.0	803155.0
	GO:0009058	biosynthetic process	BIOLOGICAL_PROCESS	0.4933311820277618	0.08687593142627252	20.0	62452.0	157.0	755124.0
	GO:0006091	generation of precursor metabolites and energy	BIOLOGICAL_PROCESS	0.531421683090004	0.09692596735603848	1.0	21223.0	176.0	796353.0
	GO:0009507	chloroplast	CELLULAR_COMPONENT	0.5356021084713253	0.10105700159836326	2.0	29443.0	175.0	788133.0
	GO:0022414	reproductive process	BIOLOGICAL_PROCESS	0.5780054514763445	0.11269288676582817	2.0	2643.0	175.0	814933.0
	GO:0005515	protein binding	MOLECULAR_FUNCTION	0.6088067825063863	0.13735825011369604	4.0	9121.0	173.0	808455.0
	GO:0005215	transporter activity	MOLECULAR_FUNCTION	0.6088067825063863	0.13784304509578557	1.0	19763.0	176.0	797813.0
	GO:0006810	transport	BIOLOGICAL_PROCESS	0.6088067825063863	0.13571779204062256	2.0	26737.0	175.0	790839.0
	GO:0051179	localization	BIOLOGICAL_PROCESS	0.6088067825063863	0.13571779204062256	2.0	26737.0	175.0	790839.0
	GO:0051234	establishment of localization	BIOLOGICAL_PROCESS	0.6088067825063863	0.13571779204062256	2.0	26737.0	175.0	790839.0
	GO:0036094	small molecule binding	MOLECULAR_FUNCTION	0.7025160812146631	0.176709505031531	5.0	42629.0	172.0	774947.0
	GO:1901363	heterocyclic compound binding	MOLECULAR_FUNCTION	0.7025160812146631	0.17673360533702218	5.0	42487.0	172.0	775089.0
	GO:0000166	nucleotide binding	MOLECULAR_FUNCTION	0.7025160812146631	0.17673360533702218	5.0	42487.0	172.0	775089.0
	GO:1901265	nucleoside phosphate binding	MOLECULAR_FUNCTION	0.7025160812146631	0.17673360533702218	5.0	42487.0	172.0	775089.0
	GO:0110165	cellular anatomical structure	CELLULAR_COMPONENT	0.7142401531347529	0.19000476485299758	18.0	112299.0	159.0	705277.0
	GO:0003677	DNA binding	MOLECULAR_FUNCTION	0.7142401531347529	0.19315928669681998	1.0	17225.0	176.0	800351.0
	GO:0050896	response to stimulus	BIOLOGICAL_PROCESS	0.7142401531347529	0.1882441244370519	2.0	25598.0	175.0	791978.0
	GO:0005198	structural molecule activity	MOLECULAR_FUNCTION	0.8664503101771529	0.2833673970390689	0.0	9844.0	177.0	807732.0
	GO:0050794	regulation of cellular process	BIOLOGICAL_PROCESS	0.8664503101771529	0.27522654826827836	0.0	9201.0	177.0	808375.0
	GO:0065007	biological regulation	BIOLOGICAL_PROCESS	0.8664503101771529	0.27544439106791746	0.0	9224.0	177.0	808352.0
