Sample	percent_duplicates	percent_gc	avg_sequence_length	percent_fails	total_sequences	per_base_sequence_quality
HO301_R1	60.9	46.0	60.5	50.0	128181.0	pass
HO301_R2	58.5	49.0	87.7	40.0	128181.0	warn
HO302_R1	74.7	40.0	66.7	50.0	220212.0	pass
HO302_R2	61.8	43.0	80.1	40.0	220212.0	warn
HO304_2_R1	93.0	51.0	123.0	40.0	23406897.0	pass
HO304_2_R2	93.0	51.0	128.3	40.0	23406897.0	pass
HO304_R1	91.3	31.0	122.4	30.0	8395966.0	pass
HO304_R2	90.0	31.0	129.0	30.0	8395966.0	pass
HO305_R1	69.8	47.0	51.9	60.0	171557.0	fail
HO305_R2	56.7	48.0	80.8	50.0	171557.0	fail
HO306_2_R1	89.5	28.0	119.2	40.0	15206545.0	pass
HO306_2_R2	90.4	28.0	123.8	30.0	15206545.0	pass
HO306_R1	86.7	33.0	113.4	40.0	761004.0	pass
HO306_R2	86.8	34.0	123.2	30.0	761004.0	pass
HO307_R1	81.3	36.0	69.8	40.0	354570.0	pass
HO307_R2	70.8	38.0	76.3	30.0	354570.0	pass
HO308_R1	63.1	45.0	60.6	50.0	89137.0	pass
HO308_R2	57.8	47.0	88.0	50.0	89137.0	warn
HO310_R1	86.0	33.0	107.3	40.0	424517.0	pass
HO310_R2	81.1	35.0	118.3	40.0	424517.0	pass
HO311_R1	68.5	37.0	85.2	50.0	387917.0	pass
HO311_R2	63.1	39.0	101.4	50.0	387917.0	pass
HO315_R1	79.2	50.0	58.9	50.0	970537.0	fail
HO315_R2	75.8	48.0	84.6	40.0	970537.0	fail
HO316B_R1	89.7	54.0	43.9	50.0	783830.0	fail
HO316B_R2	64.6	49.0	71.4	30.0	783830.0	fail
HO317_R1	63.5	44.0	71.6	50.0	224658.0	pass
HO317_R2	52.1	45.0	91.4	40.0	224658.0	warn
HO318_R1	92.2	26.0	119.0	40.0	542797.0	pass
HO318_R2	92.1	28.0	130.0	40.0	542797.0	pass
