sample	%GC	read_length	num_reads	%Dups	sequence_quality	avg_quality_score	file_name
HO301_R1	60.94506986214805	46.0	60.529173590469725	50.0	128181.0		46.0
HO301_R2	58.54455808583175	49.0	87.72953869918318	40.0	128181.0		49.0
HO302_R1	74.68212449821081	40.0	66.7346012024776	50.0	220212.0		40.0
HO302_R2	61.7772873412893	43.0	80.06925598968267	40.0	220212.0		43.0
HO304_2_R1	92.9546309714595	51.0	122.9836951049086	40.0	23406897.0		51.0
HO304_2_R2	93.04851898985602	51.0	128.29305674306167	40.0	23406897.0		51.0
HO304_R1	91.25788799385873	31.0	122.37674068713476	30.0	8395966.0		31.0
HO304_R2	90.00207378614431	31.0	129.01750245296373	30.0	8395966.0		31.0
HO305_R1	69.7569903880343	47.0	51.853214966454296	60.0	171557.0		47.0
HO305_R2	56.70768316069877	48.0	80.81528588166033	50.0	171557.0		48.0
HO306_2_R1	89.51702902192234	28.0	119.20050373046605	40.0	15206545.0		28.0
HO306_2_R2	90.37819409089313	28.0	123.77703528316262	30.0	15206545.0		28.0
HO306_R1	86.68901046505377	33.0	113.44267835648695	40.0	761004.0		33.0
HO306_R2	86.76720799560466	34.0	123.1704879343604	30.0	761004.0		34.0
HO307_R1	81.33118989198184	36.0	69.7541811207942	40.0	354570.0		36.0
HO307_R2	70.7571830851969	38.0	76.26497447612601	30.0	354570.0		38.0
HO308_R1	63.05798938712319	45.0	60.58922781785342	50.0	89137.0		45.0
HO308_R2	57.76276966916096	47.0	87.97547595274689	50.0	89137.0		47.0
HO310_R1	86.01045423387049	33.0	107.32530852710256	40.0	424517.0		33.0
HO310_R2	81.11288829422614	35.0	118.29508358911421	40.0	424517.0		35.0
HO311_R1	68.52752510989602	37.0	85.16336742138138	50.0	387917.0		37.0
HO311_R2	63.139224228098364	39.0	101.4041457322056	50.0	387917.0		39.0
HO315_R1	79.23598665101021	50.0	58.927317557187415	50.0	970537.0		50.0
HO315_R2	75.79121325322262	48.0	84.57168866308034	40.0	970537.0		48.0
HO316B_R1	89.65592028883815	54.0	43.917420869321155	50.0	783830.0		54.0
HO316B_R2	64.5575190941382	49.0	71.40763941160711	30.0	783830.0		49.0
HO317_R1	63.50096591263165	44.0	71.62119310240455	50.0	224658.0		44.0
HO317_R2	52.120405395029806	45.0	91.35421841198622	40.0	224658.0		45.0
HO318_R1	92.22305944948111	26.0	118.95390726183085	40.0	542797.0		26.0
HO318_R2	92.13905014213417	28.0	130.02601709294635	40.0	542797.0		28.0
HO319_R1	77.14454509439591	49.0	59.02049192849159	50.0	949203.0		49.0
HO319_R2	74.18870352596616	51.0	83.07843211620697	50.0	949203.0		51.0
HO321_R1	95.94555846230618	48.0	125.45508795917621	40.0	35506358.0		48.0
HO321_R2	95.32091523275774	48.0	132.47839634805686	40.0	35506358.0		48.0
HO322_R1	64.75160152860599	47.0	53.20778333671793	60.0	108334.0		47.0
HO322_R2	54.94027729060129	49.0	81.3857053187365	50.0	108334.0		49.0
HO323_R1	89.36373919606486	46.0	57.126362682048395	50.0	1282214.0		46.0
HO323_R2	67.2313557043438	46.0	77.19370947439351	40.0	1282214.0		46.0
HO324_2_R1	85.13251577755203	37.0	64.72147468662853	20.0	1783267.0		37.0
HO324_2_R2	86.3020737368911	43.0	80.54973540137287	50.0	1783267.0		43.0
HO324_R1	90.95100477493875	26.0	118.7001051320171	40.0	431838.0		26.0
HO324_R2	91.18349936781848	28.0	129.5390956793983	40.0	431838.0		28.0
HO326_R1	86.19595988282082	37.0	64.93105107605211	20.0	1801725.0		37.0
HO326_R2	87.18244063420534	43.0	80.4975692738903	50.0	1801725.0		43.0
HO328_2_R1	90.56815540622634	46.0	113.56558732137745	40.0	38518443.0		46.0
HO328_2_R2	91.28356711758452	46.0	116.60124956244987	40.0	38518443.0		46.0
HO328_R1	91.48972007890833	31.0	124.65364697636967	30.0	6180997.0		31.0
HO328_R2	89.88451057134563	31.0	130.88259709558184	30.0	6180997.0		31.0
HO332_R1	91.73293670566878	31.0	122.70243315162665	30.0	9530561.0		31.0
HO332_R2	90.56977835135122	31.0	129.1237850531569	30.0	9530561.0		31.0
HO333_R1	94.38142972668528	31.0	126.1712465936803	30.0	15523719.0		31.0
HO333_R2	93.65779670948159	32.0	132.759151592476	40.0	15523719.0		32.0
HO334_R1	63.41479203754653	44.0	66.81965798133463	50.0	92685.0		44.0
HO334_R2	58.36651022279764	46.0	90.09960619301937	40.0	92685.0		46.0
HO335_R1	93.30456662368196	32.0	123.80574388237898	30.0	15389765.0		32.0
HO335_R2	93.31402557252238	32.0	130.9266763982426	30.0	15389765.0		32.0
HO337_R1	67.53702167989574	44.0	62.0681119930498	50.0	126615.0		44.0
HO337_R2	57.93626347589148	45.0	83.63485369032105	50.0	126615.0		45.0
HO338_R1	94.81384305789629	49.0	124.30098967877677	40.0	12873571.0		49.0
HO338_R2	94.2061975347294	48.0	131.49830167558014	40.0	12873571.0		48.0
HO340A_R1	71.76911886866787	43.0	68.65186423569492	50.0	634040.0		43.0
HO340A_R2	61.47926858603885	44.0	88.6469386789477	40.0	634040.0		44.0
HO340B_R1	69.82628884300958	46.0	56.03318435162708	50.0	132231.0		46.0
HO340B_R2	54.20740976019239	48.0	81.96251257269475	40.0	132231.0		48.0
HO341_2_R1	88.84496613079386	28.0	118.85681005997344	40.0	15358132.0		28.0
HO341_2_R2	89.43345868931208	29.0	123.71472500692141	30.0	15358132.0		29.0
HO341_R1	81.83148779221068	34.0	104.3699414259409	40.0	360057.0		34.0
HO341_R2	73.71999433423042	35.0	115.54779659887184	40.0	360057.0		35.0
HO342_R1	70.07753197404168	48.0	51.64943633623063	50.0	110793.0		48.0
HO342_R2	50.96350852490681	49.0	80.22393111478162	50.0	110793.0		49.0
HO345_R1	79.2018347180869	33.0	104.1001531398153	40.0	668017.0		33.0
HO345_R2	76.67044224461031	34.0	116.9387006618095	50.0	668017.0		34.0
HO346_R1	67.30158952552418	47.0	59.681828689919925	50.0	142747.0		47.0
HO346_R2	50.63714123589288	47.0	82.52296720771714	50.0	142747.0		47.0
HO347_R1	97.62923354640748	41.0	124.94165702033192	40.0	8114481.0		41.0
HO347_R2	97.20767296765922	42.0	132.37748772842033	40.0	8114481.0		42.0
HO349_R1	94.23633338315082	49.0	122.84106083282865	40.0	10836731.0		49.0
HO349_R2	93.01561941509425	48.0	130.4007336714365	40.0	10836731.0		48.0
HO351_R1	66.95264514499297	46.0	64.4280976193929	50.0	213769.0		46.0
HO351_R2	67.47891415499909	48.0	87.21555043060499	50.0	213769.0		48.0
HO352_2_R1	85.88976325052423	36.0	65.7928027927091	20.0	1889205.0		36.0
HO352_2_R2	87.34415235584014	42.0	80.41972522833679	50.0	1889205.0		42.0
HO352_R1	91.3651264132121	30.0	92.94640573812816	40.0	939261.0		30.0
HO352_R2	83.26299147463018	32.0	104.54433645174238	40.0	939261.0		32.0
HO353_R1	89.33691891066726	28.0	118.50956860104269	40.0	12393609.0		28.0
HO353_R2	90.54979708875392	28.0	122.90996238464518	30.0	12393609.0		28.0
HO354A_R1	95.89053374253709	42.0	120.90146744178126	40.0	3435707.0		42.0
HO354A_R2	96.02425043741223	42.0	129.44033848055145	40.0	3435707.0		42.0
HO354B_R1	93.75571889054794	31.0	125.55188325421375	30.0	12951491.0		31.0
HO354B_R2	93.12810485767936	32.0	132.08394909898792	40.0	12951491.0		32.0
HO359_R1	87.07385528425327	50.0	48.44880775517724	50.0	510214.0		50.0
HO359_R2	62.98556504095896	48.0	68.53515387660863	40.0	510214.0		48.0
HO360_R1	63.12309820193638	39.0	87.41834024896265	40.0	72300.0		39.0
HO360_R2	57.21161825726141	42.0	110.82755186721992	40.0	72300.0		42.0
