sample;R1_reads;R2_reads;difference 
HO301;1559512;1559512;0
HO302;1156792;1156792;0
HO304;9038974;9038974;0
HO304_2;24072416;24072416;0
HO305;1563314;1563314;0
HO306;2011188;2011188;0
HO306_2;16345693;16345693;0
HO307;692729;692729;0
HO308;933627;933627;0
HO310;963434;963434;0
HO311;2909273;2909273;0
HO315;1958448;1958448;0
HO316B;2043470;2043470;0
HO317;1354720;1354720;0
HO318;620329;620329;0
HO319;1452799;1452799;0
HO321;37287163;37287163;0
HO322;1178606;1178606;0
HO323;3457021;3457021;0
HO324;657005;657005;0
HO324_2;3399541;3399541;0
HO326;2456932;2456932;0
HO328;7197698;7197698;0
HO328_2;42608110;42608110;0
HO332;10226496;10226496;0
HO333;16456380;16456380;0
HO334;704061;704061;0
HO335;16333385;16333385;0
HO337;1338272;1338272;0
HO338;13653772;13653772;0
HO340A;3434071;3434071;0
HO340B;1281746;1281746;0
HO341;810172;810172;0
HO341_2;18824468;18824468;0
HO342;907034;907034;0
HO345;3336386;3336386;0
HO346;899659;899659;0
HO347;8591515;8591515;0
HO349;11705210;11705210;0
HO351;303086;303086;0
HO352;1426014;1426014;0
HO352_2;2922902;2922902;0
HO353;12808172;12808172;0
HO354A;3662571;3662571;0
HO354B;13838498;13838498;0
HO359;2998853;2998853;0
HO360;495406;495406;0
AV241;8955391;8955391;0
AV243;9341473;9341473;0
AV243_2;26442;26442;0
AV244;8699486;8699486;0
AV246;20574421;20574421;0
AV249;11437387;11437387;0
AV250;9967518;9967518;0
AV251;6067948;6067948;0
AV252;5577047;5577047;0
AV253;10798066;10798066;0
AV253_2;162881;162881;0
AV254;10410295;10410295;0
AV256;7965637;7965637;0
AV259;6412780;6412780;0
AV260;5669990;5669990;0
AV261;10199123;10199123;0
AV262;6731965;6731965;0
AV263A;14941204;14941204;0
AV263B;13805306;13805306;0
AV264B;10259270;10259270;0
AV265;9364143;9364143;0
AV266;16766997;16766997;0
AV272;14395873;14395873;0
AV273;13082629;13082629;0
AV276;8201236;8201236;0
AV278;36011226;36011226;0
AV279;24588374;24588374;0
AV280;23281163;23281163;0
AV280_2;252934;252934;0
AV281;15903621;15903621;0
AV282;33950424;33950424;0
AV282_2;3520;3520;0
AV283;36775965;36775965;0
AV284;24414818;24414818;0
AV286;29262546;29262546;0
AV287;14836061;14836061;0
AV288;40500737;40500737;0
AV289;15875442;15875442;0
AV290;6607929;6607929;0
AV291;12136711;12136711;0
AV292;38631646;38631646;0
AV293;14745136;14745136;0
AV296;60186693;60186693;0
AV296_2;151415;151415;0
AV297;8595638;8595638;0
AV297_2;12491;12491;0
AV298;25148087;25148087;0
AV299;16210810;16210810;0
PL11;8671462;8671462;0
PL11_2;6490317;6490317;0
PL11_2.rem;13961;37400;23439
PL1;9764182;9764182;0
PL11.rem;18736;44415;25679
PL12;7531280;7531280;0
PL12.rem;17025;40645;23620
PL14;9643070;9643070;0
PL14.rem;21036;58129;37093
PL15;5259996;5259996;0
PL15.rem;11254;26889;15635
PL16;17398238;17398238;0
PL16.rem;39073;108874;69801
PL17;10742826;10742826;0
PL17.rem;23485;62579;39094
PL19;14611400;14611400;0
PL19.rem;32639;87873;55234
PL1.rem;21416;59747;38331
PL2;10565099;10565099;0
PL22;16669157;16669157;0
PL22_2;8480782;8480782;0
PL22_2.rem;18417;49625;31208
PL22.rem;37111;89238;52127
PL23;18415169;18415169;0
PL23.rem;41087;112018;70931
PL24;8726222;8726222;0
PL24.rem;19135;45494;26359
PL25;16242938;16242938;0
PL25_2;2340307;2340307;0
PL25_2.rem;5123;11867;6744
PL25.rem;35411;99337;63926
PL26;12197770;12197770;0
PL26_2;18099987;18099987;0
PL26_2.rem;37853;100095;62242
PL26.rem;27418;75058;47640
PL28;16476669;16476669;0
PL28.rem;36277;104137;67860
PL2.rem;22643;59708;37065
PL30;21318526;21318526;0
PL30_2;5315765;5315765;0
PL30_2.rem;11562;27042;15480
PL30.rem;47009;111605;64596
PL31;29093174;29093174;0
PL3;11267500;11267500;0
PL31.rem;64158;174132;109974
PL32;19142114;19142114;0
PL32.rem;42416;114957;72541
PL33;5050864;5050864;0
PL33.rem;10819;25824;15005
