sample	R1_reads	R2_reads
HO301	1559512	1559512
HO302	1156792	1156792
HO304	9038974	9038974
HO304_2	24072416	24072416
HO305	1563314	1563314
HO306	2011188	2011188
HO306_2	16345693	16345693
HO307	692729	692729
HO308	933627	933627
HO310	963434	963434
HO311	2909273	2909273
HO315	1958448	1958448
HO316B	2043470	2043470
HO317	1354720	1354720
HO318	620329	620329
HO319	1452799	1452799
HO321	37287163	37287163
HO322	1178606	1178606
HO323	3457021	3457021
HO324	657005	657005
HO324_2	3399541	3399541
HO326	2456932	2456932
HO328	7197698	7197698
HO328_2	42608110	42608110
HO332	10226496	10226496
HO333	16456380	16456380
HO334	704061	704061
HO335	16333385	16333385
HO337	1338272	1338272
HO338	13653772	13653772
HO340A	3434071	3434071
HO340B	1281746	1281746
HO341	810172	810172
HO341_2	18824468	18824468
HO342	907034	907034
HO345	3336386	3336386
HO346	899659	899659
HO347	8591515	8591515
HO349	11705210	11705210
HO351	303086	303086
HO352	1426014	1426014
HO352_2	2922902	2922902
HO353	12808172	12808172
HO354A	3662571	3662571
HO354B	13838498	13838498
HO359	2998853	2998853
HO360	495406	495406
