sample	R1_reads	R2_reads
PL11	8671462	8671462
PL11_2	6490317	6490317
PL11_2.rem	13961	37400
PL1	9764182	9764182
PL11.rem	18736	44415
PL12	7531280	7531280
PL12.rem	17025	40645
PL14	9643070	9643070
PL14.rem	21036	58129
PL15	5259996	5259996
PL15.rem	11254	26889
PL16	17398238	17398238
PL16.rem	39073	108874
PL17	10742826	10742826
PL17.rem	23485	62579
PL19	14611400	14611400
PL19.rem	32639	87873
PL1.rem	21416	59747
PL2	10565099	10565099
PL22	16669157	16669157
PL22_2	8480782	8480782
PL22_2.rem	18417	49625
PL22.rem	37111	89238
PL23	18415169	18415169
PL23.rem	41087	112018
PL24	8726222	8726222
PL24.rem	19135	45494
PL25	16242938	16242938
PL25_2	2340307	2340307
PL25_2.rem	5123	11867
PL25.rem	35411	99337
PL26	12197770	12197770
PL26_2	18099987	18099987
PL26_2.rem	37853	100095
PL26.rem	27418	75058
PL28	16476669	16476669
PL28.rem	36277	104137
PL2.rem	22643	59708
PL30	21318526	21318526
PL30_2	5315765	5315765
PL30_2.rem	11562	27042
PL30.rem	47009	111605
PL31	29093174	29093174
PL3	11267500	11267500
PL31.rem	64158	174132
PL32	19142114	19142114
PL32.rem	42416	114957
PL33	5050864	5050864
PL33.rem	10819	25824
PL34	6210051	6210051
PL34.rem	13775	38427
PL37	11768273	11768273
PL37.rem	25642	71275
PL39	7588002	7588002
PL39.rem	16233	37030
PL3.rem	24908	68942
PL40	14550884	14550884
PL40.rem	32423	88130
PL41	11370489	11370489
PL41.rem	24944	59455
PL42	9734837	9734837
PL42.rem	21737	57726
PL43	8807044	8807044
PL43.rem	19479	45491
PL46	13173320	13173320
PL46.rem	29010	78324
PL47	16625612	16625612
PL47.rem	37263	103718
PL48	1328360	1328360
PL48.rem	3090	7691
PL49	7298234	7298234
PL49_2	2950751	2950751
PL49_2.rem	6440	17112
PL49.rem	15791	42317
PL50	11545358	11545358
PL50.rem	25344	68842
PL52	10181607	10181607
PL52.rem	22579	61854
PL54	18433061	18433061
PL54_2	8589765	8589765
PL54_2.rem	18545	44612
PL54.rem	40425	110831
PL55	15630691	15630691
PL55.rem	34901	87198
PL57	7815135	7815135
PL57.rem	16596	44899
PL58	8848281	8848281
PL58.rem	19932	53014
PL6	3997305	3997305
PL6_2	1942478	1942478
PL6_2.rem	4289	11530
PL6.rem	8777	24738
PL7	3432168	3432168
PL7.rem	7712	21308
PL8	14878882	14878882
PL8.rem	32235	84222
