Sample	Sequences	Unique	Mapping(%)	NoAlign	NonUnique	Discard	CT_CT	CT_GA	GA_CT	GA_GA	TotalC	mCpG	mCHG	mCHH	mUnknown	uCpG	uCHG	uCHH	uUnknown	pCpG(%)	pCHG(%)	pCHH(%)	pUnknown(%)
AV278	24747587	1784621	7.2	20776875	2186091	be	894768	878551	5498	5804	107416044	17530622	9802452	4650463	6157	2536427	7002432	65893648	54333	87.4	58.3	6.6	10.2
AV297	5758937	572582	9.9	4593383	592972	be	284609	283817	2441	1715	34798707	5780567	3128522	1579987	2082	745969	2326937	21236725	18468	88.6	57.3	6.9	10.1
AV281	10800062	1042154	9.6	8597042	1160866	be	521155	516064	2384	2551	62563436	10306669	5469046	2155238	4119	1427595	4377843	38827045	30020	87.8	55.5	5.3	12.1
AV299	11262220	800756	7.1	9503721	957743	be	395333	398596	3542	3285	47896652	7790090	4192760	1730114	2950	1116289	3328728	29738671	23789	87.5	55.7	5.5	11.0
AV246	13724969	6241482	45.5	4245018	3238469	be	3123918	3096302	10743	10519	382635402	67404232	36678895	13062685	17679	5994703	22869127	236625760	168494	91.8	61.6	5.2	9.5
AV291	8239210	639635	7.8	6933314	666261	be	322654	315417	817	747	38881170	6370963	3475434	1453978	3350	907165	2635163	24038467	21006	87.5	56.9	5.7	13.8
AV276	5550395	572525	10.3	4334962	642908	be	285503	285377	730	915	34376050	5672248	3088100	1307000	1589	759120	2288903	21260679	17012	88.2	57.4	5.8	8.5
AV284	16538358	1249664	7.6	13875412	1413282	be	619415	624961	2493	2795	76209863	12212997	6621705	2764169	4933	1779410	5009319	47822263	42372	87.3	56.9	5.5	10.4
AV273	8800356	895004	10.2	6984298	921054	be	444992	448134	903	975	53877586	8921893	4702524	1824917	3379	1156673	3777389	33494190	26641	88.5	55.5	5.2	11.3
AV272	9804432	834778	8.5	8173297	796357	be	413542	419097	1187	952	51041557	8433278	4354710	1770491	4397	1206031	3717957	31559090	26541	87.5	53.9	5.3	14.2
AV253	7186301	3126364	43.5	2395473	1664464	be	1555205	1565743	2360	3056	193562255	33995019	17627155	6736186	8129	3256753	12489031	119458111	82082	91.3	58.5	5.3	9.0
AV289	10726340	997776	9.3	8758405	970159	be	498373	496417	1569	1417	60743538	10069853	5277239	2052410	4109	1399352	4321094	37623590	32132	87.8	55.0	5.2	11.3
AV280	16126949	1104440	6.8	13741238	1281271	be	548156	552633	1773	1878	66891293	10752102	5763050	2188853	3082	1576711	4558373	42052204	34970	87.2	55.8	4.9	8.1
AV288	27739289	2033752	7.3	23420300	2285237	be	1001877	1024022	3915	3938	123806916	19746900	10788614	3918242	7528	2893889	8257293	78201978	67317	87.2	56.6	4.8	10.1
AV259	4269555	1284582	30.1	2266340	718633	be	642435	639285	1390	1472	78684960	13704247	7586732	2798339	3689	1178318	4695621	48721703	33755	92.1	61.8	5.4	9.9
AV283	25276572	2059701	8.1	21076934	2139937	be	1022101	1021984	7667	7949	125215038	20565888	11320601	4805517	7967	2899353	8338396	77285283	66024	87.6	57.6	5.9	10.8
AV286	19857923	1552582	7.8	16585079	1720262	be	769416	771481	5848	5837	94186459	15317138	8016265	3005393	5475	2241666	6677567	58928430	50168	87.2	54.6	4.9	9.8
AV287	10132094	876856	8.7	8329531	925707	be	439362	435597	1150	747	53286039	8701560	4682913	1744390	3369	1220994	3618749	33317433	28629	87.7	56.4	5.0	10.5
AV241	6007623	1227564	20.4	4031301	748758	be	614830	609088	2006	1640	74589772	12812802	7156720	2760526	3384	1160365	4509767	46189592	32520	91.7	61.3	5.6	9.4
AV249	7618551	3329612	43.7	2363207	1925732	be	1660179	1661328	4029	4076	201869824	35076378	18897728	7236296	8549	3062089	12252308	125345025	82794	92.0	60.7	5.5	9.4
AV266	11225687	5109109	45.5	3437283	2679295	be	2569322	2530207	4815	4765	313353222	54544104	30106679	11117839	15233	5071196	18414239	194099165	133536	91.5	62.0	5.4	10.2
AV254	6935822	2912579	42.0	2370401	1652842	be	1458650	1443748	5535	4646	177598138	30553421	17296737	6471092	7256	2659347	9734415	110883126	78320	92.0	64.0	5.5	8.5
AV261	6757733	2691119	39.8	2568437	1498177	be	1342985	1343669	2120	2345	166401175	27996805	15277053	5526819	7691	2653237	9777687	105169574	77721	91.3	61.0	5.0	9.0
AV264B	6862263	2968610	43.3	2328984	1564669	be	1482824	1478799	3796	3191	181734686	31411979	17661319	6499073	9504	2892972	10474145	112795198	79283	91.6	62.8	5.4	10.7
AV282	23453767	1442509	6.2	20304069	1707189	be	714960	723001	2315	2233	86872085	14110065	7760874	2901513	4876	2091586	5806454	54201593	44218	87.1	57.2	5.1	9.9
AV263A	9975142	4282357	42.9	3316971	2375814	be	2149399	2119229	6990	6739	259692069	44764079	24635883	10055381	10830	3944030	15361007	160931689	109038	91.9	61.6	5.9	9.0
AV279	16822857	1444328	8.6	13868761	1509768	be	719713	717963	3220	3432	87368488	14349817	7747913	3077079	5502	2046772	6058211	54088696	44617	87.5	56.1	5.4	11.0
AV293	9951253	862770	8.7	8156664	931819	be	434166	426940	910	754	52179686	8609462	4678362	2025356	3603	1222956	3535526	32108024	25290	87.6	57.0	5.9	12.5
AV290	4571569	340078	7.4	3862700	368791	be	169973	169381	339	385	20475280	3317344	1857065	769488	888	456383	1363552	12711448	10476	87.9	57.7	5.7	7.8
AV244	5737244	2492646	43.4	1910120	1334478	be	1245478	1240497	3261	3410	150803703	26258838	14759351	6034000	6924	2160981	8618454	92972079	59438	92.4	63.1	6.1	10.4
AV292	26675242	1846941	6.9	22670478	2157823	be	926159	916115	2523	2144	110969902	18116811	9731645	3945536	7050	2740189	7713597	68722124	56954	86.9	55.8	5.4	11.0
AV243	6304087	626811	9.9	5208554	468722	be	311026	314726	439	620	38552172	6483097	3483722	1386253	2434	752407	2599121	23847572	18212	89.6	57.3	5.5	11.8
AV262	4465530	1585916	35.5	1961109	918505	be	800066	783492	1329	1029	96313840	16884674	9180273	3622953	4356	1337320	5955151	59333469	38888	92.7	60.7	5.8	10.1
AV298	17125453	1472114	8.6	14143252	1510087	be	732908	735011	2053	2142	89162156	14739345	7509795	2690717	5654	2107072	6621696	55493531	48492	87.5	53.1	4.6	10.4
AV263B	9206965	3992331	43.4	3070807	2143827	be	1997457	1982374	6559	5941	244926563	41767532	22472494	9248971	9256	3651993	14727867	153057706	102477	92.0	60.4	5.7	8.3
AV252	3716085	1387606	37.3	1542659	785820	be	689817	694319	1880	1590	85377042	14596952	7647716	3023845	3999	1392209	5414722	53301598	37532	91.3	58.5	5.4	9.6
