Sample	Sequences	Unique	Mapping(%)	NoAlign	NonUnique	Discard	CT_CT	CT_GA	GA_CT	GA_GA	TotalC	mCpG	mCHG	mCHH	mUnknown	uCpG	uCHG	uCHH	uUnknown	pCpG(%)	pCHG(%)	pCHH(%)	pUnknown(%)
HO333	15523719	2360740	15.2	12869973	293006	be	175731	2028378	143130	13501	86850927	23562905	12568254	9384736	11656	2503164	5061491	33770377	137516	90.4	71.3	21.7	7.8
HO302	220212	3474	1.6	212054	4684	be	106	3098	239	31	67550	19363	7621	18122	7	3642	5256	13546	12	84.2	59.2	57.2	36.8
HO301	128181	1741	1.4	125525	915	be	21	1264	135	321	37596	17562	8704	9454	41	862	326	688	8	95.3	96.4	93.2	83.7
HO315	970537	140	0.0	970175	222	be	44	79	5	12	5025	512	434	1832	4	107	111	2029	6	82.7	79.6	47.4	40.0
HO340B	132231	551	0.4	131522	158	be	12	501	30	8	15851	2918	2100	5927	2	218	401	4287	0	93.0	84.0	58.0	100.0
HO318	542797	188453	34.7	345248	9096	be	4011	172569	8022	3851	7031915	574735	377291	1091839	1275	582238	376836	4028976	15511	49.7	50.0	21.3	7.6
HO332	9530561	1785482	18.7	6922927	822152	be	18502	1648672	110035	8273	36012753	16083585	5841538	5580459	7763	1283150	2735014	4489007	22086	92.6	68.1	55.4	26.0
HO316B	783830	713	0.1	782840	277	be	1	470	40	202	12195	5672	2804	2747	30	308	219	445	30	94.8	92.8	86.1	50.0
HO349	10836731	2231458	20.6	7593776	1011497	be	16462	1627082	106835	481079	44821501	22409072	10949805	10134814	26155	841536	315612	170662	14546	96.4	97.2	98.3	64.3
HO317	224658	3132	1.4	220381	1145	be	115	2179	484	354	84758	28066	11060	17698	20	3233	5765	18936	74	89.7	65.7	48.3	21.3
HO338	12873571	3144026	24.4	8210789	1518756	be	21701	2308177	160334	653814	64692431	32326618	16021508	14351444	40858	1278145	482236	232480	20282	96.2	97.1	98.4	66.8
HO326	1801725	32522	1.8	1728810	40393	be	2489	28987	936	110	1184585	120588	102267	271684	238	122544	106749	460753	2039	49.6	48.9	37.1	10.5
HO334	92685	626	0.7	91744	315	be	17	524	82	3	16720	5610	2309	4834	7	473	1181	2313	8	92.2	66.2	67.6	46.7
HO335	15389765	1964344	12.8	13211613	213808	be	144687	1697371	112424	9862	71491950	19317410	10049550	7599581	9908	2232395	4084409	28208605	141679	89.6	71.1	21.2	6.5
HO337	126615	2124	1.7	123500	991	be	53	1827	177	67	41645	15360	5880	11091	11	1109	2434	5771	33	93.3	70.7	65.8	25.0
HO354A	3435707	1417677	41.3	1982584	35446	be	5843	1250790	28045	132999	57782751	7965525	5422870	44078204	14086	98805	32333	185014	640	98.8	99.4	99.6	95.7
HO324	431838	148910	34.5	276779	6149	be	3304	136023	6367	3216	5437434	434338	282361	895647	1165	433312	287749	3104027	13872	50.1	49.5	22.4	7.7
HO360	72300	6583	9.1	65152	565	be	145	5903	165	370	228948	32549	19171	64472	29	12035	9481	91240	267	73.0	66.9	41.4	9.8
HO340A	634040	20902	3.3	592752	20386	be	110	17291	3364	137	763884	239167	93671	289394	139	26669	29892	85091	233	90.0	75.8	77.3	37.4
HO304	8395966	1431142	17.0	6359761	605063	be	19295	1315608	88417	7822	29187535	13061167	4644941	4556377	7467	1035960	2181997	3707093	18354	92.7	68.0	55.1	28.9
HO306	761004	87102	11.4	662763	11139	be	6338	75235	5063	466	3158808	882888	459529	372129	626	99372	177827	1167063	5407	89.9	72.1	24.2	10.4
HO310	424517	41205	9.7	378798	4514	be	3338	35085	2516	266	1497566	397250	205407	167790	226	44359	79632	603128	3223	90.0	72.1	21.8	6.6
HO322	108334	76	0.1	108216	42	be	1	64	3	8	1877	580	301	449	0	87	85	375	0	87.0	78.0	54.5	
HO347	8114481	3642747	44.9	4409583	62151	be	18698	3005500	111287	507262	121288408	19512469	12941600	88086800	68394	237055	83680	426804	1930	98.8	99.4	99.5	97.3
HO346	142747	619	0.4	141804	324	be	22	548	25	24	13952	5418	2308	2659	1	455	964	2148	5	92.3	70.5	55.3	16.7
HO341	360057	32566	9.0	322677	4814	be	2929	27859	1631	147	1189299	328007	176116	121165	224	34343	67991	461677	1106	90.5	72.1	20.8	16.8
HO308	89137	3199	3.6	85769	169	be	26	2824	84	265	130732	18277	12167	98972	27	232	168	916	0	98.7	98.6	99.1	100.0
HO311	387917	28984	7.5	346438	12495	be	400	26915	1401	268	603264	278840	94553	79992	121	20688	49895	79296	311	93.1	65.5	50.2	28.0
HO328	6180997	1099919	17.8	4621259	459819	be	13979	1013822	66977	5141	22291188	10038801	3498611	3431287	5338	773621	1692268	2856600	14483	92.8	67.4	54.6	26.9
HO307	354570	9104	2.6	333681	11785	be	54	8357	516	177	217725	30408	18541	86696	103	11133	11372	59575	133	73.2	62.0	59.3	43.6
HO321	35506358	7182431	20.2	27540696	783231	be	429635	4131548	1576763	1044485	299441825	84833725	52003329	153069510	164013	3650089	2834451	3050721	65922	95.9	94.8	98.0	71.3
HO353	12393609	2262335	18.3	5911491	4219783	be	9406	1886927	365766	236	86556381	5935463	2712863	23260094	22592	9505606	9507700	35634655	78356	38.4	22.2	39.5	22.4
HO359	510214	538	0.1	508968	708	be	17	435	81	5	17673	2891	1459	7830	10	432	882	4179	9	87.0	62.3	65.2	52.6
HO305	171557	110	0.1	171312	135	be	8	83	6	13	3561	1120	584	537	0	110	211	999	0	91.1	73.5	35.0	
HO342	110793	84	0.1	110614	95	be	9	37	3	35	2680	605	383	643	0	36	76	937	1	94.4	83.4	40.7	0.0
HO351	213769	3179	1.5	209784	806	be	27	2828	57	267	108979	12936	8414	49258	4	3982	3099	31290	93	76.5	73.1	61.2	4.1
HO352	939261	217721	23.2	707954	13586	be	3229	203574	8263	2655	8321265	666546	454345	1138642	1198	713192	440535	4908005	18626	48.3	50.8	18.8	6.0
HO319	949203	812	0.1	947287	1104	be	36	725	43	8	16575	5177	2053	3491	3	811	1299	3744	8	86.5	61.2	48.3	27.3
HO323	1282214	14283	1.1	1257793	10138	be	535	11473	1769	506	428572	93209	44407	102340	249	24756	32081	131779	990	79.0	58.1	43.7	20.1
HO345	668017	75696	11.3	563382	28939	be	256	70647	4459	334	1509362	672557	207696	231422	338	74695	138202	184790	755	90.0	60.0	55.6	30.9
HO354B	12951491	1707853	13.2	11041772	201866	be	143191	1459839	95951	8872	61155742	16567584	8585852	6443661	8616	1806844	3440849	24310952	105847	90.2	71.4	21.0	7.5
