Sample	Sequences	Unique	Mapping(%)	NoAlign	NonUnique	Discard	CT_CT	CT_GA	GA_CT	GA_GA	TotalC	mCpG	mCHG	mCHH	mUnknown	uCpG	uCHG	uCHH	uUnknown	pCpG(%)	pCHG(%)	pCHH(%)	pUnknown(%)
PL12	4040567	1279094	31.7	1934659	826814	be	6113	1215563	55876	1542	24101821	8723005	4180609	4096951	6131	1087942	1506154	4507160	6750	88.9	73.5	47.6	47.6
PL3	7411393	1694317	22.9	4886243	830833	be	22059	1586318	84259	1681	37469234	11292472	5637522	5927999	6559	1758419	2557349	10295473	21210	86.5	68.8	36.5	23.6
PL30	13489665	3472195	25.7	7900902	2116568	be	35818	3271972	160535	3870	70109963	24253455	11495212	11752800	15266	3408853	4424169	14775474	18945	87.7	72.2	44.3	44.6
PL14	3842019	1107240	28.8	2055567	679212	be	4284	1055981	46396	579	21172532	7967070	3744328	3569518	5176	866706	1354375	3670535	6483	90.2	73.4	49.3	44.4
PL55	7636005	2796922	36.6	3295066	1544017	be	7307	2623265	164385	1965	48684967	15356023	7905264	10828778	16105	2578021	2990981	9025900	13231	85.6	72.6	54.5	54.9
PL11	4301233	1328395	30.9	2131256	841582	be	3952	1272001	51458	984	25819640	9518304	4682197	4118119	5590	1129338	1666960	4704722	6000	89.4	73.7	46.7	48.2
PL8	7767974	2649254	34.1	3903942	1214778	be	9126	2408086	229750	2292	46159775	12221757	6420899	13502245	18861	2557888	2738810	8718176	9372	82.7	70.1	60.8	66.8
PL23	10619734	3552949	33.5	5107684	1959101	be	18879	3362127	169753	2190	67436880	22761007	10193059	12126525	17696	3555546	4327500	14473243	18804	86.5	70.2	45.6	48.5
PL15	3064714	1006865	32.9	1208987	848862	be	2834	914026	44858	45147	18822291	5851156	3204668	6084689	3765	619484	786352	2275942	3226	90.4	80.3	72.8	53.9
PL7	1583651	457757	28.9	843665	282229	be	2679	432480	22002	596	8618431	3140512	1508559	1568624	1764	327009	532735	1540992	2137	90.6	73.9	50.4	45.2
PL42	4544943	1666551	36.7	2001289	877103	be	5899	1569580	89850	1222	29016936	9751247	4601261	6063360	9826	1525007	1794723	5281338	8760	86.5	71.9	53.4	52.9
