sample	coverage_primary
AV243_2	8
AV243_2	6
AV243_2	6
AV243_2	41
AV243_2	3
AV243_2	26
AV243_2	41
AV243_2	18
AV243_2	6
AV243_2	12
AV243_2	5
AV243_2	3
AV243_2	25
AV243_2	5
AV243_2	35
AV243_2	10
AV243_2	14
AV243_2	12
AV243_2	14
AV243_2	10
AV243_2	3
AV243_2	14
AV243_2	27
AV243_2	4
AV243_2	17
AV243_2	16
AV243_2	390
AV243_2	515
AV243_2	5
AV243_2	13
AV243_2	4
AV243_2	4
AV243_2	3
AV243_2	7
AV243_2	13
AV243_2	5
AV243_2	31
AV243_2	6
AV243_2	6
AV243_2	5
AV243_2	9
AV243_2	10
AV243_2	3
AV243_2	27
AV243_2	11
AV243_2	13
AV243_2	7
AV243_2	3
AV243_2	36
AV243_2	12
AV243_2	15
AV243_2	26
AV243_2	3
AV243_2	5
AV243_2	56
AV243_2	25
AV243_2	10
AV243_2	14
AV243_2	12
AV243_2	13
AV243_2	16
AV243_2	42
AV243_2	7
AV243_2	11
AV243_2	3
AV243_2	16
AV243_2	3
AV243_2	3
AV243_2	11
AV243_2	8
AV243_2	10
AV243_2	15
AV243_2	19
AV243_2	3
AV243_2	3
AV243_2	7
AV243_2	13
AV243_2	22
AV243_2	57
AV243_2	7
AV243_2	26
AV243_2	11
AV243_2	24
AV243_2	5
AV243_2	23
AV243_2	5
AV243_2	4
AV243_2	23
AV243_2	7
AV243_2	25
AV243_2	16
AV243_2	26
AV243_2	13
AV243_2	33
AV243_2	29
AV243_2	22
AV243_2	3
AV243_2	3
AV243_2	11
AV243_2	14
AV243_2	23
AV243_2	30
AV243_2	90
AV243_2	3
AV243_2	16
AV243_2	41
AV243_2	4
AV243_2	12
AV243_2	27
AV243_2	8
AV243_2	41
AV243_2	12
AV243_2	3
AV243_2	5
AV243_2	25
AV243_2	33
AV243_2	35
AV243_2	11
AV243_2	29
AV243_2	15
AV243_2	5
AV243_2	12
AV243_2	7
AV243_2	6
AV243_2	15
AV243_2	30
AV243_2	9
AV243_2	16
AV243_2	14
AV243_2	3
AV243_2	13
AV243_2	27
AV243_2	5
AV243_2	30
AV243_2	11
AV243_2	6
AV243_2	24
AV243_2	11
AV243_2	7
AV243_2	22
AV243_2	21
AV243_2	12
AV243_2	24
AV243_2	3
AV243_2	7
AV243_2	4
AV243_2	10
AV243_2	175
AV243_2	4
AV243_2	5
AV243_2	15
AV243_2	10
AV243_2	8
AV243_2	27
AV243_2	259
AV243_2	20
AV243_2	9
AV243_2	32
AV243_2	8
AV243_2	10
AV243_2	14
AV243_2	13
AV243_2	4
AV243_2	10
AV243_2	16
AV243_2	10
AV243_2	4
AV243_2	4
AV243_2	12
AV243_2	12
AV243_2	17
AV243_2	4
AV243_2	47
AV243_2	12
AV243_2	4
AV243_2	4
AV243_2	26
AV243_2	43
AV243_2	9
AV243_2	9
AV243_2	5
AV243_2	18
AV243_2	27
AV243_2	9
AV243_2	31
AV243_2	3
AV243_2	16
AV243_2	34
AV243_2	19
AV243_2	34
AV243_2	6
AV243_2	5
AV243_2	38
AV243_2	18
AV243_2	10
AV243_2	19
AV243_2	7
AV243_2	3
AV243_2	25
AV243_2	15
AV243_2	28
AV243_2	9
AV243_2	11
AV243_2	17
AV243_2	32
AV243_2	5
AV243_2	19
AV243_2	25
AV243_2	15
AV243_2	7
AV243_2	12
AV243_2	19
AV243_2	9
AV243_2	21
AV243_2	17
AV243_2	3
AV243_2	6
AV243_2	7
