sample	coverage_primary
HO304_2	5
HO304_2	5
HO304_2	11
HO304_2	4
HO304_2	3
HO304_2	11
HO304_2	7
HO304_2	3
HO304_2	5
HO304_2	4
HO304_2	4
HO304_2	3
HO304_2	23
HO304_2	4
HO304_2	4
HO304_2	7
HO304_2	10
HO304_2	8
HO304_2	6
HO304_2	7
HO304_2	3
HO304_2	4
HO304_2	5
HO304_2	6
HO304_2	24
HO304_2	4
HO304_2	3
HO304_2	146
HO304_2	16
HO304_2	18
HO304_2	9
HO304_2	19
HO304_2	9
HO304_2	12
HO304_2	4
HO304_2	3
HO304_2	7
HO304_2	18
HO304_2	17
HO304_2	3
HO304_2	3
HO304_2	8
HO304_2	5
HO304_2	7
HO304_2	11
HO304_2	5
HO304_2	7
HO304_2	59
HO304_2	17
HO304_2	13
HO304_2	3
HO304_2	4
HO304_2	50
HO304_2	15
HO304_2	6
HO304_2	4
HO304_2	11
HO304_2	10
HO304_2	11
HO304_2	4
HO304_2	9
HO304_2	5
HO304_2	3
HO304_2	3
HO304_2	15
HO304_2	7
HO304_2	15
HO304_2	8
HO304_2	21
HO304_2	210
HO304_2	4
HO304_2	6
HO304_2	9
HO304_2	3
HO304_2	7
HO304_2	11
HO304_2	73
HO304_2	8
HO304_2	4
HO304_2	3
HO304_2	6
HO304_2	3
HO304_2	8
HO304_2	4
HO304_2	6
HO304_2	13
HO304_2	3
HO304_2	6
HO304_2	18
HO304_2	5
HO304_2	4
HO304_2	3
HO304_2	4
HO304_2	3
HO304_2	4
HO304_2	18
HO304_2	11
HO304_2	11
HO304_2	5
HO304_2	28
HO304_2	7
HO304_2	10
HO304_2	4
HO304_2	5
HO304_2	20
HO304_2	7
HO304_2	8
HO304_2	15
HO304_2	7
HO304_2	7
HO304_2	5
HO304_2	23
HO304_2	8
HO304_2	9
HO304_2	5
HO304_2	14
HO304_2	20
HO304_2	5
HO304_2	7
HO304_2	3
HO304_2	16
HO304_2	20
HO304_2	3
HO304_2	7
HO304_2	5
HO304_2	28
HO304_2	9
HO304_2	18
HO304_2	5
HO304_2	3
HO304_2	3
HO304_2	8
HO304_2	25
HO304_2	7
HO304_2	33
HO304_2	19
HO304_2	14
HO304_2	16
HO304_2	18
HO304_2	6
HO304_2	7
HO304_2	4
HO304_2	3
HO304_2	9
HO304_2	8
HO304_2	3
HO304_2	47
HO304_2	4
HO304_2	25
HO304_2	5
HO304_2	11
HO304_2	5
HO304_2	6
HO304_2	38
HO304_2	11
HO304_2	5
HO304_2	3
HO304_2	8
HO304_2	34
HO304_2	152
HO304_2	4
HO304_2	4
HO304_2	4
HO304_2	11
HO304_2	17
HO304_2	3
HO304_2	20
HO304_2	9
HO304_2	5
HO304_2	5
HO304_2	11
HO304_2	4
HO304_2	15
HO304_2	3
HO304_2	7
HO304_2	18
HO304_2	53
HO304_2	6
HO304_2	32
HO304_2	6
HO304_2	29
HO304_2	16
HO304_2	30
HO304_2	3
HO304_2	36
HO304_2	8
HO304_2	16
HO304_2	19
HO304_2	28
HO304_2	8
HO304_2	3
HO304_2	12
HO304_2	33
HO304_2	12
HO304_2	15
HO304_2	21
HO304_2	8
HO304_2	4
HO304_2	5
HO304_2	3
HO304_2	67
HO304_2	9
HO304_2	8
HO304_2	17
HO304_2	6
HO304_2	12
HO304_2	4
HO304_2	79
HO304_2	8
HO304_2	14
HO304_2	3
HO304_2	7
HO304_2	8
HO304_2	5
HO304_2	16
HO304_2	13
HO304_2	12
HO304_2	5
HO304_2	3
HO304_2	6
HO304_2	8
HO304_2	9
HO304_2	12
HO304_2	14
HO304_2	6
HO304_2	6
HO304_2	6
HO304_2	17
HO304_2	152
HO304_2	10
HO304_2	5
HO304_2	9
HO304_2	4
HO304_2	3
HO304_2	5
HO304_2	5
HO304_2	20
HO304_2	27
HO304_2	26
HO304_2	11
HO304_2	3
HO304_2	13
HO304_2	26
HO304_2	8
HO304_2	17
HO304_2	4
HO304_2	117
HO304_2	6
HO304_2	5
HO304_2	5
HO304_2	10
HO304_2	7
HO304_2	15
HO304_2	19
HO304_2	10
HO304_2	6
HO304_2	3
HO304_2	19
HO304_2	29
HO304_2	6
HO304_2	6
HO304_2	8
HO304_2	72
HO304_2	14
HO304_2	6
HO304_2	3
HO304_2	4
HO304_2	3
HO304_2	3
HO304_2	4
HO304_2	4
HO304_2	6
HO304_2	5
HO304_2	11
HO304_2	3
HO304_2	16
HO304_2	7
HO304_2	5
HO304_2	69
HO304_2	8
HO304_2	3
HO304_2	20
HO304_2	14
HO304_2	13
HO304_2	3
HO304_2	23
HO304_2	4
HO304_2	3
HO304_2	5
HO304_2	6
HO304_2	28
HO304_2	3
HO304_2	12
HO304_2	3
HO304_2	26
HO304_2	11
HO304_2	4
HO304_2	3
HO304_2	12
HO304_2	4
HO304_2	10
HO304_2	21
HO304_2	15
HO304_2	3
HO304_2	14
HO304_2	6
HO304_2	12
HO304_2	3
HO304_2	9
HO304_2	19
HO304_2	8
HO304_2	5
HO304_2	14
HO304_2	22
HO304_2	6
HO304_2	10
HO304_2	62
HO304_2	6
HO304_2	17
HO304_2	11
HO304_2	15
HO304_2	16
HO304_2	5
HO304_2	14
HO304_2	4
HO304_2	6
HO304_2	26
HO304_2	191
HO304_2	12
HO304_2	7
HO304_2	37
HO304_2	3
HO304_2	13
HO304_2	9
HO304_2	4
HO304_2	3
HO304_2	6
HO304_2	13
HO304_2	11
HO304_2	14
HO304_2	4
HO304_2	6
HO304_2	12
HO304_2	7
HO304_2	14
HO304_2	7
HO304_2	12
HO304_2	5
HO304_2	5
HO304_2	5
HO304_2	17
HO304_2	29
HO304_2	4
HO304_2	14
HO304_2	11
HO304_2	5
HO304_2	12
HO304_2	9
HO304_2	3
HO304_2	4
HO304_2	157
HO304_2	3
HO304_2	42
HO304_2	7
HO304_2	3
HO304_2	6
HO304_2	23
HO304_2	6
HO304_2	3
HO304_2	32
HO304_2	3
HO304_2	9
HO304_2	7
HO304_2	14
HO304_2	3
HO304_2	4
HO304_2	30
HO304_2	4
HO304_2	7
HO304_2	47
HO304_2	23
HO304_2	16
HO304_2	10
HO304_2	9
HO304_2	4
HO304_2	4
HO304_2	57
HO304_2	5
HO304_2	6
HO304_2	8
HO304_2	237
HO304_2	9
HO304_2	8
HO304_2	6
HO304_2	5
HO304_2	21
HO304_2	4
HO304_2	4
HO304_2	6
HO304_2	81
HO304_2	4
HO304_2	3
HO304_2	4
HO304_2	3
HO304_2	14
HO304_2	4
HO304_2	174
HO304_2	9
HO304_2	13
HO304_2	4
HO304_2	8
HO304_2	8
HO304_2	13
HO304_2	3
HO304_2	69
HO304_2	23
HO304_2	10
HO304_2	23
HO304_2	3
HO304_2	54
HO304_2	33
HO304_2	10
HO304_2	26
HO304_2	15
HO304_2	3
HO304_2	6
HO304_2	3
HO304_2	124
HO304_2	4
HO304_2	4
HO304_2	13
HO304_2	8
HO304_2	9
HO304_2	3
HO304_2	9
HO304_2	8
HO304_2	4
HO304_2	8
HO304_2	4
HO304_2	6
HO304_2	24
HO304_2	3
HO304_2	5
HO304_2	8
HO304_2	6
HO304_2	6
HO304_2	10
HO304_2	48
HO304_2	3
HO304_2	15
HO304_2	10
HO304_2	3
HO304_2	7
HO304_2	35
HO304_2	8
HO304_2	8
HO304_2	29
HO304_2	6
HO304_2	3
HO304_2	4
HO304_2	3
HO304_2	4
HO304_2	207
HO304_2	9
HO304_2	73
HO304_2	8
HO304_2	10
HO304_2	3
HO304_2	3
HO304_2	50
HO304_2	4
HO304_2	67
HO304_2	9
HO304_2	6
HO304_2	4
HO304_2	3
HO304_2	7
HO304_2	4
HO304_2	63
HO304_2	5
HO304_2	11
HO304_2	3
HO304_2	13
HO304_2	7
HO304_2	6
HO304_2	25
HO304_2	49
HO304_2	10
HO304_2	69
HO304_2	7
HO304_2	7
HO304_2	13
HO304_2	4
HO304_2	5
HO304_2	3
HO304_2	15
HO304_2	5
HO304_2	6
HO304_2	16
HO304_2	4
HO304_2	11
HO304_2	5
HO304_2	9
HO304_2	3
HO304_2	30
HO304_2	6
HO304_2	13
HO304_2	6
HO304_2	15
HO304_2	4
HO304_2	8
HO304_2	7
HO304_2	20
HO304_2	10
HO304_2	39
HO304_2	6
HO304_2	16
HO304_2	5
HO304_2	17
HO304_2	5
HO304_2	6
HO304_2	14
HO304_2	5
HO304_2	4
HO304_2	12
HO304_2	6
HO304_2	7
HO304_2	19
HO304_2	5
HO304_2	3
HO304_2	9
HO304_2	28
HO304_2	6
HO304_2	3
HO304_2	3
HO304_2	7
HO304_2	6
HO304_2	5
HO304_2	3
HO304_2	3
HO304_2	8
HO304_2	3
HO304_2	5
HO304_2	18
HO304_2	18
HO304_2	6
HO304_2	7
HO304_2	3
HO304_2	5
HO304_2	9
HO304_2	14
HO304_2	14
HO304_2	15
HO304_2	8
HO304_2	29
HO304_2	5
HO304_2	9
HO304_2	7
HO304_2	4
HO304_2	4
HO304_2	6
HO304_2	7
HO304_2	3
HO304_2	9
HO304_2	7
HO304_2	7
HO304_2	8
HO304_2	13
HO304_2	5
HO304_2	3
HO304_2	19
HO304_2	3
HO304_2	9
HO304_2	4
HO304_2	8
HO304_2	16
HO304_2	3
HO304_2	8
HO304_2	23
HO304_2	4
HO304_2	13
HO304_2	8
HO304_2	39
HO304_2	16
HO304_2	12
HO304_2	3
HO304_2	6
HO304_2	3
HO304_2	4
HO304_2	4
HO304_2	6
HO304_2	29
HO304_2	5
HO304_2	9
HO304_2	5
HO304_2	5
HO304_2	3
HO304_2	3
HO304_2	10
HO304_2	13
HO304_2	10
HO304_2	7
HO304_2	3
HO304_2	11
HO304_2	4
HO304_2	3
HO304_2	8
HO304_2	15
HO304_2	3
HO304_2	7
HO304_2	10
HO304_2	10
HO304_2	6
HO304_2	6
HO304_2	7
HO304_2	13
HO304_2	6
