sample	coverage_primary
PL11_2	6
PL11_2	8
PL11_2	3
PL11_2	36
PL11_2	3
PL11_2	3
PL11_2	3
PL11_2	3
PL11_2	3
PL11_2	12
PL11_2	3
PL11_2	4
PL11_2	18
PL11_2	11
PL11_2	4
PL11_2	4
PL11_2	5
PL11_2	3
PL11_2	3
PL11_2	6
PL11_2	5
PL11_2	4
PL11_2	4
PL11_2	74
PL11_2	8
PL11_2	26
PL11_2	4
PL11_2	6
PL11_2	4
PL11_2	3
PL11_2	4
PL11_2	3
PL11_2	4
PL11_2	5
PL11_2	15
PL11_2	7
PL11_2	5
PL11_2	15
PL11_2	20
PL11_2	5
PL11_2	20
PL11_2	3
PL11_2	3
PL11_2	6
PL11_2	4
PL11_2	9
PL11_2	6
PL11_2	7
PL11_2	8
PL11_2	3
PL11_2	6
PL11_2	3
PL11_2	13
PL11_2	5
PL11_2	4
PL11_2	5
PL11_2	5
PL11_2	4
PL11_2	7
PL11_2	38
PL11_2	3
PL11_2	4
PL11_2	3
PL11_2	3
PL11_2	4
PL11_2	9
PL11_2	5
PL11_2	32
PL11_2	7
PL11_2	6
PL11_2	11
PL11_2	9
PL11_2	12
PL11_2	3
PL11_2	3
PL11_2	7
PL11_2	6
PL11_2	10
PL11_2	5
PL11_2	3
PL11_2	32
PL11_2	3
PL11_2	4
PL11_2	6
PL11_2	5
PL11_2	10
PL11_2	6
PL11_2	4
PL11_2	4
PL11_2	4
PL11_2	5
PL11_2	4
PL11_2	4
PL11_2	5
PL11_2	3
PL11_2	10
PL11_2	27
PL11_2	7
PL11_2	3
PL11_2	3
PL11_2	4
PL11_2	8
PL11_2	5
PL11_2	5
PL11_2	10
PL11_2	4
PL11_2	4
PL11_2	3
PL11_2	3
PL11_2	5
PL11_2	13
PL11_2	6
PL11_2	3
PL11_2	11
PL11_2	4
PL11_2	11
PL11_2	3
PL11_2	16
PL11_2	6
PL11_2	16
PL11_2	6
PL11_2	4
PL11_2	4
PL11_2	3
PL11_2	4
PL11_2	9
PL11_2	4
PL11_2	5
PL11_2	14
PL11_2	4
PL11_2	3
PL11_2	7
PL11_2	6
PL11_2	3
PL11_2	14
PL11_2	31
PL11_2	3
PL11_2	15
PL11_2	7
PL11_2	11
PL11_2	5
PL11_2	6
PL11_2	4
PL11_2	5
PL11_2	14
PL11_2	3
PL11_2	16
PL11_2	4
PL11_2	4
PL11_2	3
PL11_2	3
PL11_2	4
PL11_2	3
PL11_2	4
PL11_2	9
PL11_2	3
PL11_2	21
PL11_2	5
PL11_2	30
PL11_2	3
PL11_2	3
PL11_2	4
PL11_2	7
PL11_2	5
PL11_2	13
PL11_2	3
PL11_2	9
PL11_2	3
PL11_2	6
PL11_2	5
PL11_2	10
PL11_2	85
PL11_2	5
PL11_2	9
PL11_2	9
PL11_2	25
PL11_2	12
PL11_2	3
PL11_2	6
PL11_2	3
PL11_2	5
PL11_2	40
PL11_2	3
PL11_2	4
PL11_2	8
PL11_2	10
PL11_2	39
PL11_2	6
PL11_2	4
PL11_2	5
PL11_2	9
PL11_2	3
PL11_2	11
PL11_2	3
PL11_2	8
PL11_2	5
PL11_2	3
PL11_2	4
PL11_2	9
PL11_2	3
PL11_2	5
PL11_2	4
PL11_2	4
PL11_2	4
PL11_2	3
PL11_2	9
PL11_2	4
PL11_2	5
PL11_2	5
PL11_2	11
PL11_2	3
PL11_2	4
PL11_2	3
PL11_2	20
PL11_2	4
PL11_2	3
PL11_2	3
PL11_2	6
PL11_2	35
PL11_2	8
PL11_2	3
PL11_2	11
PL11_2	5
PL11_2	3
PL11_2	11
PL11_2	4
PL11_2	3
PL11_2	25
PL11_2	5
PL11_2	4
PL11_2	3
PL11_2	4
PL11_2	7
PL11_2	4
PL11_2	7
PL11_2	3
PL11_2	4
PL11_2	28
PL11_2	4
PL11_2	3
PL11_2	3
PL11_2	8
PL11_2	3
