"id";"sp";"trat";"clip";"massmother";"flor";"fruto";"hojas";"altura";"seedfruto";"seedtotal";"massseed";"SLA";"LDMC";"area.m";"Photosyn";"Conductance";"PhiPS2";"humedad_muerte";"fenoles";"dias_flor";"dias_fruto";"dias_fin_flor";"dias_fin_fruto";"dias_muerte"
"1";"PL";"gra";"yes";0.00059;0;0;26;NA;NA;0;NA;255.955414;0.100512;8.037;22.3;0.518;0.338;NA;51.785;NA;NA;NA;NA;NA
"2";"PL";"gra";"yes";0.00059;0;0;49;NA;NA;0;NA;269.70964;0.0979522;11.611;10.6;0.535;0.178;NA;149.75;NA;NA;NA;NA;NA
"3";"PL";"gra";"yes";0.00059;0;0;34;NA;NA;0;NA;290.2580645;0.0974843;8.998;19.5;0.373;0.23;NA;127.634;NA;NA;NA;165;165
"4";"PL";"gra";"yes";0.00059;0;0;22;NA;NA;0;NA;334.1386139;0.0913366;16.874;NA;NA;NA;0;NA;NA;NA;NA;165;165
"5";"PL";"gra";"yes";0.00059;0;0;28;NA;NA;0;NA;249.5893224;0.109759;12.155;NA;NA;NA;0;NA;NA;NA;NA;NA;165
"6";"PL";"gra";"yes";0.00059;0;0;51;NA;NA;0;NA;516.8468468;0.0456039;5.737;NA;NA;NA;NA;97.283;NA;NA;NA;NA;NA
"7";"PL";"gra";"yes";0.00059;5;2;26;20;NA;NA;NA;259.7889182;0.101882;9.846;11.6;0.351;0.143;NA;102.143;99;123;NA;NA;NA
"8";"PL";"gra";"yes";0.00059;0;0;38;NA;NA;0;NA;317.2202166;0.0836858;8.787;8.8;0.366;0.127;NA;124.28;NA;NA;NA;NA;NA
"9";"PL";"gra";"yes";0.00059;2;0;23;32;NA;0;NA;421.4861996;0.0681719;19.852;NA;NA;NA;0;NA;126;155;165;165;165
"11";"PL";"gra";"yes";0.00059;6;4;18;31;11;44;4e-04;367.5873016;0.0886575;11.579;11.9;0.321;0.149;NA;94.627;62;71;NA;NA;NA
"12";"PL";"gra";"yes";0.00059;0;0;29;NA;NA;0;NA;258.9166667;0.0963855;6.214;18.6;0.766;0.272;NA;82.154;NA;NA;NA;NA;NA
"13";"PL";"gra";"yes";0.00059;0;0;28;NA;NA;0;NA;367.8365385;0.0560194;7.651;NA;NA;NA;0;NA;NA;NA;NA;165;165
"14";"PL";"gra";"yes";0.00059;0;0;27;NA;NA;0;NA;345.7731959;0.0906119;13.416;NA;NA;NA;NA;109.486;NA;NA;NA;NA;NA
"16";"PL";"gra";"no";0.00059;2;1;35;32;35;35;2e-04;316.2209302;0.0824018;16.317;8.5;0.287;0.117;NA;108.028;NA;119;NA;NA;NA
"17";"PL";"gra";"no";0.00059;0;0;49;NA;NA;0;NA;280.9638554;0.103588;9.328;10.4;0.228;0.27;NA;112.665;NA;NA;NA;NA;NA
"18";"PL";"gra";"no";0.00059;10;7;17;54;12.33;86;4e-04;249.107438;0.114194;15.071;NA;NA;NA;0;NA;62;71;141;165;165
