id;maternal;simulation
HO307;graz;clip
HO306;graz;clip
HO310;graz;clip
HO302;graz;clip
HO304;graz;clip
HO308;graz;clip
HO305;graz;clip
HO301;graz;clip
HO315;graz;clip
HO311;graz;clip
HO318;graz;unclip
HO324;graz;unclip
HO321;graz;unclip
HO323;graz;unclip
HO328;graz;unclip
HO322;graz;unclip
HO316B;graz;unclip
HO317;graz;unclip
HO319;graz;unclip
HO326;graz;unclip
HO341;ungraz;clip
HO335;ungraz;clip
HO333;ungraz;clip
HO337;ungraz;clip
HO332;ungraz;clip
HO338;ungraz;clip
HO340A;ungraz;clip
HO340B;ungraz;clip
HO345;ungraz;clip
HO334;ungraz;clip
HO342;ungraz;clip
HO351;ungraz;unclip
HO360;ungraz;unclip
HO352;ungraz;unclip
HO347;ungraz;unclip
HO354A;ungraz;unclip
HO354B;ungraz;unclip
HO353;ungraz;unclip
HO349;ungraz;unclip
HO359;ungraz;unclip
HO346;ungraz;unclip
