id;maternal;simulation
PL6;graz;clip
PL12;graz;clip
PL15;graz;clip
PL7;graz;clip
PL11;graz;clip
PL2;graz;clip
PL3;graz;clip
PL14;graz;clip
PL1;graz;clip
PL8;graz;clip
PL25;graz;unclip
PL22;graz;unclip
PL30;graz;unclip
PL26;graz;unclip
PL28;graz;unclip
PL19;graz;unclip
PL17;graz;unclip
PL23;graz;unclip
PL16;graz;unclip
PL24;graz;unclip
PL32;ungraz;clip
PL31;ungraz;clip
PL42;ungraz;clip
PL34;ungraz;clip
PL41;ungraz;clip
PL43;ungraz;clip
PL37;ungraz;clip
PL39;ungraz;clip
PL33;ungraz;clip
PL40;ungraz;clip
PL48;ungraz;unclip
PL49;ungraz;unclip
PL58;ungraz;unclip
PL46;ungraz;unclip
PL54;ungraz;unclip
PL50;ungraz;unclip
PL55;ungraz;unclip
PL52;ungraz;unclip
PL47;ungraz;unclip
PL57;ungraz;unclip
