id,sp,profundidad_sustrato,peso_resto,peso_winrhizo
1,PL,14.4,0.4791,0.0115
2,PL,14.2,1.0541,0.0043
3,PL,15,0.5602,0.0021
6,PL,14,0.5746,0.007
7,PL,14,4.9129,0.0051
8,PL,14.3,0.7341,0.0046
11,PL,14.5,,
12,PL,13.5,0.2529,0.0027
14,PL,13.8,0.3461,0.0064
15,PL,14.2,,
16,PL,14.2,1.7394,0.006
17,PL,14.6,1.8796,0.0071
19,PL,13.5,0.6264,0.0075
22,PL,14.2,1.537,0.005
23,PL,14.2,1.0103,0.0062
24,PL,15,1.2622,0.0028
25,PL,14,0.7126,0.0014
26,PL,14.2,5.199,
28,PL,14.5,1.4056,0.0056
30,PL,14.7,3.0014,0.0097
31,PL,14.5,,
32,PL,14.6,5.881,
33,PL,14.5,,
34,PL,14.3,,
37,PL,15,0.3678,0.0087
39,PL,15.3,,
40,PL,13.8,4.12,
41,PL,14.8,,
42,PL,14.6,,
43,PL,13.8,10.049,
46,PL,14.1,2.1086,0.0065
47,PL,14.5,5.686,
48,PL,14.7,4.752,
49,PL,15.5,6.137,
50,PL,14,9.932,
52,PL,14.1,1.029,0.0032
54,PL,15.3,4.881,
55,PL,14,6.959,
57,PL,14.1,5.103,
58,PL,14.5,1.443,0.0042
61B,calendula,,0.299,0.0127
61a,calendula,15,0.0703,0.0119
62,calendula,13.5,3.595,
63,calendula,14.5,,
64,calendula,14,0.1386,0.0098
66,calendula,13.8,,
76,calendula,14.2,,
77,calendula,14.5,0.1028,0.0104
79,calendula,15,,
80,calendula,14.5,0.0806,0.0087
81,calendula,14.5,,
91,calendula,14,,
93,calendula,14.3,3.55,
95,calendula,14.7,0.1139,0.0159
96,calendula,13.7,,
97,calendula,14.5,,
99,calendula,13.4,,
100,calendula,13.7,0.1234,0.0111
101,calendula,15,,
102,calendula,14.4,,
104,calendula,14.4,,
105,calendula,14.2,,
107,calendula,14.5,,
108,calendula,14.5,0.071,0.0125
109,calendula,14.5,3.688,
110,calendula,14.6,,
111,calendula,15.7,3.465,
112,calendula,14.7,,
113,calendula,15.3,0.1182,0.0096
116,calendula,14.1,,
117,calendula,14.8,,
118,calendula,14.6,,
241,AV,15,1.317,0.0063
243,AV,14.5,4.706,0.0071
244,AV,14,0.3491,0.0082
246,AV,13.8,0.4978,0.0065
249,AV,14.2,4.567,0.0117
250,AV,14.7,0.3633,0.0069
251,AV,14.5,4.033,0.0175
252,AV,15.5,4.196,0.0102
253,AV,14.8,0.7078,0.009
254,AV,14.7,5.888,0.0085
256,AV,14.5,,
259,AV,15.4,,
260,AV,14,,
261,AV,14.5,,
262,AV,15,5.06,0.0082
263,AV,,0.4334,0.0082
264,AV,,0.6189,0.0066
265,AV,14.9,,
266,AV,14.5,,
272,AV,14.5,0.53,0.0099
273,AV,14.2,,
275,AV,14.5,0.3239,0.0059
276,AV,14,4.174,0.0117
278,AV,14.7,0.6642,0.0109
279,AV,13.6,0.4163,0.004
280,AV,14.4,0.5443,0.0192
281,AV,15.2,0.6055,0.0061
282,AV,13.6,0.9916,0.0035
283,AV,14.5,1.3111,0.0175
284,AV,13.5,0.6183,0.0054
286,AV,14.3,,
287,AV,14.2,,
288,AV,13.3,1.025,0.0079
289,AV,14.6,,
290,AV,14.2,0.8458,0.0054
291,AV,13.4,,
292,AV,14.1,,
293,AV,13.5,5.66,0.0219
296,AV,13.8,,
297,AV,14.2,0.2643,0.0097
298,AV,15,0.8455,0.0107
299,AV,14.3,,
301,hordeum,14.8,,
302,hordeum,14.5,0.5678,0.0055
304,hordeum,14.7,,
305,hordeum,14.7,9.592,
306,hordeum,14.5,,
307,hordeum,14.3,1.1545,0.0069
308,hordeum,13.8,0.7186,0.0049
310,hordeum,14,0.9256,0.0102
311,hordeum,14.7,,
315,hordeum,14.4,4.485,
317,hordeum,14.5,,
316,hordeum,,1.8391,0.0097
318,hordeum,14.4,0.9018,0.0076
319,hordeum,15,,
321,hordeum,14.4,,
322,hordeum,15,,
323,hordeum,14.1,1.408,0.0061
324,hordeum,14.1,0.6096,0.0075
326,hordeum,13.8,,
328,hordeum,15,,
332,hordeum,14.2,0.7754,0.0054
333,hordeum,14.5,0.5315,0.0064
