id,sp,profundidad_sustrato,peso_resto,peso_winrhizo
1,PL,14.4,0.4791,0.0115
2,PL,14.2,1.0541,0.0043
3,PL,15,0.5602,0.0021
6,PL,14,0.5746,0.0070
7,PL,14,4.9143,0.0046
8,PL,14.3,0.7341,0.0046
11,PL,14.5,0.1729,0.0553
12,PL,13.5,0.2529,0.0027
14,PL,13.8,0.3461,0.0064
15,PL,14.2,0.3584,0.066
16,PL,14.2,1.7394,0.0060
17,PL,14.6,1.8796,0.0071
19,PL,13.5,0.6264,0.0075
22,PL,14.2,1.5370,0.0050
23,PL,14.2,1.0103,0.0062
24,PL,15,1.2622,0.0028
25,PL,14,0.7126,0.0014
26,PL,14.2,5.1990,0.0136
28,PL,14.5,1.4056,0.0056
30,PL,14.2,3.0014,0.0097
31,PL,14.5,0.4368,0.1036
32,PL,14.6,5.8810,0.0066
33,PL,14.5,1.0521,0.1475
34,PL,14.3,0.6025,0.0656
37,PL,15,0.3730,0.0088
39,PL,15.3,0.5867,0.1549
40,PL,13.8,4.1200,0.0090
41,PL,14.8,0.9007,0.1662
42,PL,14.6,0.5086,0.0859
43,PL,13.8,10.0490,0.0100
46,PL,14.1,2.1086,0.0065
47,PL,14.5,5.6860,0.0039
48,PL,14.7,4.7520,0.0055
49,PL,15.5,6.1370,0.0072
50,PL,14,9.9320,0.0080
52,PL,14.1,1.0290,0.0032
54,PL,15.3,4.8810,0.0108
55,PL,14,6.9590,0.0168
57,PL,14.1,5.1030,0.0091
58,PL,14.5,1.4430,0.0042
61,calendula,15,,
61 (A),calendula,,0.0703,0.0119
61 (B),calendula,,0.2990,0.0127
62,calendula,13.5,3.5950,0.0066
63,calendula,14,0.0594,0.015
64,calendula,15.5,0.1386,0.0098
66,calendula,14.4,0.0278,0.0167
76,calendula,14.2,0.0561,0.0144
77,calendula,14.5,0.1028,0.0104
78,calendula,13.5,,0.0489
79,calendula,15,,0.071
80,calendula,14.5,0.0806,0.0087
81,calendula,14.5,0.1234,0.0151
91,calendula,14,0.0140,0.0242
93,calendula,14.3,3.5500,0.0079
95,calendula,14.7,0.1139,0.0159
96,calendula,13.7,,0.0236
97,calendula,14.5,,0.0237
99,calendula,13.4,,0.024
100,calendula,13.7,0.1234,0.0111
101,calendula,15,0.0407,0.0179
102,calendula,14.4,0.0135,0.0355
104,calendula,14.4,0.0079,0.0625
105,calendula,14.2,0.0381,0.0114
107,calendula,14.5,0.0227,0.0208
108,calendula,14.5,0.0710,0.0125
109,calendula,14.5,3.6880,0.0099
110,calendula,14.6,,0.0338
111,calendula,15.7,3.4650,0.0056
112,calendula,14.7,0.0117,0.0099
113,calendula,15.3,0.1182,0.0096
116,calendula,14.1,0.0369,0.0163
117,calendula,14.8,0.1004,0.0234
118,calendula,14.6,0.1181,0.017
241,AV,15,1.3170,0.0063
243,AV,14.5,4.7060,0.0071
244,AV,14,0.3491,0.0082
246,AV,13.8,0.4978,0.0065
249,AV,14.2,4.5670,0.0117
250,AV,14.7,0.3633,0.0069
251,AV,14.5,4.0330,0.0175
252,AV,15.5,4.1960,0.0102
253,AV,14.8,0.7078,0.0090
254,AV,14.7,5.8880,0.0085
256,AV,14.5,0.7217,0.0446
259,AV,15.4,0.3942,0.0343
260,AV,14,0.4559,0.0401
261,AV,14.5,2.6839,0.042
262,AV,15,5.0600,0.0082
263A,AV,14,0.4334,0.0082
263B,AV,14.8,1.6925,0.0722
264B,AV,14.1,0.6189,0.0066
265,AV,14.9,0.6980,0.0405
266,AV,14.5,0.6975,0.1002
272,AV,14.5,0.5300,0.0099
273,AV,14.2,0.3267,0.0373
275,AV,14.5,0.3239,0.0059
276,AV,14,4.1740,0.0117
278,AV,14.7,0.6642,0.0109
279,AV,13.6,0.4163,0.0040
280,AV,14.4,0.5443,0.0192
281,AV,15.2,0.6055,0.0061
282,AV,13.6,0.9916,0.0035
283,AV,14.5,1.3111,0.0175
284,AV,13.5,0.6183,0.0054
286,AV,14.3,0.6973,0.0522
287,AV,14.2,0.7615,0.0469
288,AV,13.3,1.0250,0.0079
289,AV,14.6,0.4559,0.0523
290,AV,14.2,0.8458,0.0054
291,AV,13.4,0.0732,0.0742
292,AV,14.1,0.0603,0.0363
