RHIZO 2009,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000,GrpName,Background,GrpName,Healthy,GrpName,Disease
AV262,317.4409,14.1031,22.5087,68 342 6808 10975  0,200.7798,203.678,3.253,3.2309,10.2197,10.1502,0.162,0.1586,200.7798,203.678,0.041,0,0,372,527,51,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,199.9211,0.851,0,0,0,0,0,0,0,0,8.6679,0.1591,0,0,0,0,0,0,0,0,2.7591,0.0506,0,0,0,0,0,0,0,0,0.0368,0.0024,0,0,0,0,0,0,0,0,370,2,0,0,0,0,0,0,0,0,,,,,,
PL32,325.072,14.2809,22.7627,17 291 6842 11044  0,161.7414,162.5599,2.8243,2.8121,8.8729,8.8344,0.1746,0.173,161.7414,162.5599,0.039,0,0,285,193,24,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,161.4642,0.2736,0,0,0,0,0,0,0,0,7.6973,0.048,0,0,0,0,0,0,0,0,2.4501,0.0153,0,0,0,0,0,0,0,0,0.0359,0.0007,0,0,0,0,0,0,0,0,284,1,0,0,0,0,0,0,0,0,,,,,,
HO305,303.1811,13.8499,21.8905,120 394 6739 10735  0,142.6805,142.6708,2.6237,2.6167,8.2426,8.2205,0.1839,0.1834,142.6805,142.6708,0.038,0,0,341,362,19,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,141.8408,0.8368,0,0,0,0,0,0,0,0,7.1767,0.1399,0,0,0,0,0,0,0,0,2.2844,0.0445,0,0,0,0,0,0,0,0,0.0395,0.0019,0,0,0,0,0,0,0,0,340,1,0,0,0,0,0,0,0,0,,,,,,
HO315,300.7927,13.672,22.0006,205 394 6739 10787  0,131.937,128.8877,1.9964,1.9915,6.2718,6.2564,0.1513,0.1545,131.937,128.8877,0.024,0,0,492,388,28,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,129.353,2.53,0.0507,0,0,0,0,0,0,0,4.9555,0.4994,0.0171,0,0,0,0,0,0,0,1.5774,0.159,0.0054,0,0,0,0,0,0,0,0.0224,0.008,0.0005,0,0,0,0,0,0,0,491,1,0,0,0,0,0,0,0,0,,,,,,
AV293,325.2875,14.2453,22.8347,17 325 6825 11112  0,166.7069,165.4287,4.3386,4.3311,13.63,13.6064,0.2603,0.2618,166.7069,165.4287,0.089,0,0,341,459,21,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,149.0781,13.0798,4.2073,0.3386,0,0,0,0,0,0,7.7123,2.737,1.655,0.1728,0,0,0,0,0,0,2.4549,0.8712,0.5268,0.055,0,0,0,0,0,0,0.0449,0.0467,0.0523,0.007,0,0,0,0,0,0,338,3,0,0,0,0,0,0,0,0,,,,,,
PL40,320.7856,14.1386,22.6886,68 377 6825 11095  0,160.1178,156.36,2.5751,2.5606,8.0898,8.0443,0.1608,0.1638,160.1178,156.36,0.033,0,0,464,470,55,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,159.4793,0.6308,0,0,0,0,0,0,0,0,6.8705,0.1113,0,0,0,0,0,0,0,0,2.187,0.0354,0,0,0,0,0,0,0,0,0.0316,0.0016,0,0,0,0,0,0,0,0,462,2,0,0,0,0,0,0,0,0,,,,,,
PL43,321.4443,14.2809,22.5087,17 342 6842 10975  0,164.4299,161.1581,3.0059,2.994,9.4433,9.4059,0.1828,0.1858,164.4299,161.1581,0.043,0,0,435,403,36,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,163.2965,1.127,0,0,0,0,0,0,0,0,8.211,0.1888,0,0,0,0,0,0,0,0,2.6137,0.0601,0,0,0,0,0,0,0,0,0.0476,0.0025,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,,,,,,
PL55,314.4221,13.9231,22.5828,137 342 6791 11010  0,148.6458,146.0401,2.2922,2.2802,7.2012,7.1636,0.1542,0.1561,148.6458,146.0401,0.028,0,0,295,347,35,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,145.8653,2.7767,0,0,0,0,0,0,0,0,5.7936,0.5448,0,0,0,0,0,0,0,0,1.8442,0.1734,0,0,0,0,0,0,0,0,0.0265,0.0087,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,,,,,,
HO347,307.7084,14.1031,21.8186,51 342 6791 10649  0,182.779,176.1182,3.7584,3.743,11.8072,11.7589,0.2056,0.2125,182.779,176.1182,0.061,0,0,437,667,46,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,173.7239,9.0476,0,0,0,0,0,0,0,0,8.8359,1.7045,0,0,0,0,0,0,0,0,2.8126,0.5426,0,0,0,0,0,0,0,0,0.047,0.0262,0,0,0,0,0,0,0,0,435,2,0,0,0,0,0,0,0,0,,,,,,
AV276,317.5395,13.9942,22.6907,137 308 6825 11027  0,157.7027,155.9821,3.3008,3.2961,10.3699,10.355,0.2093,0.2113,157.7027,155.9821,0.054,0,0,536,431,28,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,147.0547,10.6292,0.0142,0,0,0,0,0,0,0,7.1507,2.1342,0.0059,0,0,0,0,0,0,0,2.2761,0.6793,0.0019,0,0,0,0,0,0,0,0.0388,0.0349,0.0002,0,0,0,0,0,0,0,534,2,0,0,0,0,0,0,0,0,,,,,,
