"PL1";"PL11";"PL12";"PL14";"PL15";"PL16";"PL17";"PL19";"PL2";"PL22";"PL23";"PL24";"PL25";"PL26";"PL28";"PL3";"PL30";"PL31";"PL32";"PL33";"PL34";"PL37";"PL39";"PL40";"PL41";"PL42";"PL43";"PL46";"PL47";"PL48";"PL49";"PL50";"PL52";"PL54";"PL55";"PL57";"PL58";"PL6";"PL7";"PL8"
"17489401";0;2.63157894736842;0;0;0;0;0;0;12.5;0;0;0;0;0;2.85714285714286;0;2.04081632653061;0;0;0;5;14.2857142857143;4.16666666666667;7.69230769230769;0;0;0;17.3913043478261;0;0;16.6666666666667;NA;1.63934426229508;0;0;0;10;0;0;0
"17489411";20;5.26315789473684;5.66037735849057;22.2222222222222;4.54545454545455;20.9677419354839;4.76190476190476;3.03030303030303;6.66666666666667;24.7311827956989;10;25.9259259259259;17.7083333333333;1.5625;37.6811594202899;1.14942528735632;20;6.45161290322581;28.5714285714286;0;23.8095238095238;14.2857142857143;4.16666666666667;38.4615384615385;18.5185185185185;7.69230769230769;50;23.9130434782609;13.6842105263158;0;50;NA;23.3333333333333;21.0526315789474;23.2558139534884;0;20;43.75;0;2.53164556962025
"17489412";0;0;0;0;0;0;0;12.5;0;1.06382978723404;3.84615384615385;0;1.04166666666667;4.6875;17.1428571428571;0;0;1.63934426229508;0;0;4.76190476190476;15.3846153846154;4.16666666666667;0;0;0;0;22.7272727272727;1.08695652173913;0;0;NA;0;5.55555555555556;3.125;0;0;5.88235294117647;0;0
"17489431";0;0;0;0;0;0;0;0;0;0;0.917431192660551;0;0;0;1.42857142857143;0;6.25;0;0;0;0;0;0;0;0;0;0;15.5555555555556;2.08333333333333;0;0;NA;0;5.26315789473684;0;0;0;0;0;3.7037037037037
"17489437";57.1428571428571;66.6666666666667;45.2830188679245;47.3684210526316;72.7272727272727;66.6666666666667;54.7619047619048;52.9411764705882;50;41.9354838709677;38.8888888888889;32;29.5918367346939;37.5;67.6470588235294;38.6363636363636;74.468085106383;27.6422764227642;67.8571428571429;78.9473684210526;40;14.2857142857143;45.8333333333333;69.2307692307692;57.6923076923077;30.7692307692308;83.3333333333333;54.3478260869565;45.8333333333333;70;16.6666666666667;NA;33.3333333333333;55.5555555555556;49.2424242424242;5.88235294117647;70;44.4444444444444;50;32.9113924050633
"17489440";0;2.63157894736842;0;0;0;4.83870967741935;2.38095238095238;0;0;20;5.45454545454545;0;4.08163265306122;1.5625;7.2463768115942;1.12359550561798;11.3636363636364;2.45901639344262;5.45454545454545;0;0;0;33.3333333333333;0;3.7037037037037;0;16.6666666666667;22.2222222222222;2.10526315789474;70;0;NA;1.66666666666667;11.1111111111111;9.9236641221374;0;30;5.55555555555556;0;3.65853658536585
"17489445";35;20;23.0769230769231;0;9.09090909090909;29.0322580645161;56.0975609756098;6.25;6.25;38.0434782608696;12.1495327102804;0;9.47368421052632;12.5;23.1884057971014;3.44827586206897;34.0425531914894;8.8;18.1818181818182;26.3157894736842;36.8421052631579;7.69230769230769;4.34782608695652;46.1538461538462;21.4285714285714;0;16.6666666666667;28.2608695652174;21.505376344086;0;16.6666666666667;NA;11.6666666666667;31.5789473684211;19.2307692307692;23.5294117647059;0;0;0;12.3456790123457
"17489446";0;2.63157894736842;0;0;0;11.1111111111111;21.4285714285714;0;0;3.37078651685393;1.81818181818182;0;0;0;4.41176470588235;1.12359550561798;12.7659574468085;0;1.88679245283019;26.3157894736842;0;0;4.16666666666667;15.3846153846154;4.34782608695652;7.69230769230769;16.6666666666667;19.5652173913043;9.47368421052632;0;0;NA;0;5.26315789473684;7.8125;5.88235294117647;0;11.7647058823529;0;1.23456790123457
"17489448";0;2.85714285714286;0;0;0;10.1694915254237;0;5.88235294117647;21.4285714285714;1.0989010989011;0;0;6.52173913043478;0;26.0869565217391;0;8.69565217391304;3.2520325203252;3.84615384615385;0;0;0;0;8.33333333333333;0;8.33333333333333;0;18.1818181818182;3.15789473684211;0;0;NA;0;0;3.81679389312977;0;0;0;0;0
"17489454";0;0;0;5.26315789473684;0;11.4754098360656;0;0;0;2.1978021978022;0;0;0;1.5625;2.85714285714286;0;4.34782608695652;4.16666666666667;0;0;0;0;0;0;0;0;20;24.4444444444444;0;0;0;NA;0;5.26315789473684;3.07692307692308;17.6470588235294;0;0;0;1.31578947368421
