CpG;LD;Loading
202728;LD1;3.35566413902097e-05
202729;LD1;8.37813244959002e-06
202738;LD1;1.08473741903263e-05
202739;LD1;1.83184044798449e-05
202748;LD1;6.91429727299164e-07
202749;LD1;3.51186691521099e-05
202788;LD1;3.94379095256958e-06
202789;LD1;1.24785621726596e-06
202815;LD1;9.99092535985176e-06
202816;LD1;4.23953708002751e-06
202820;LD1;7.36847566314339e-08
202821;LD1;1.4112246225352e-06
202822;LD1;1.4529743965106e-06
202823;LD1;6.50946602755037e-07
202825;LD1;1.56106321130346e-06
202826;LD1;2.10740352734227e-06
202828;LD1;1.12015629719792e-07
202829;LD1;1.32897384354369e-05
207909;LD1;4.13549537700964e-05
207943;LD1;3.5770611828177e-05
207952;LD1;3.55233081930953e-05
207964;LD1;7.10556189347364e-05
207972;LD1;6.17244555083647e-06
207979;LD1;0.000242274315283112
207987;LD1;0.00013307992061213
209007;LD1;4.3870921054168e-05
209008;LD1;2.18694312963779e-05
209021;LD1;3.57954836196379e-05
209039;LD1;2.0090699123928e-05
209040;LD1;4.70122990246229e-08
209042;LD1;3.98202214407751e-06
209043;LD1;1.3916872386133e-05
209051;LD1;1.57873487829704e-05
209052;LD1;3.91579248607081e-06
209063;LD1;3.49599533261697e-06
209064;LD1;2.04360198071475e-05
209071;LD1;1.22080479408338e-06
209072;LD1;5.22281764745195e-05
209086;LD1;2.93104083073174e-05
209087;LD1;3.81500729903054e-06
223434;LD1;2.20477286753667e-06
223437;LD1;2.96068455189559e-05
223459;LD1;3.57175826278691e-06
228600;LD1;0.000144224574305076
228634;LD1;4.80053959194462e-05
228655;LD1;0.000187614954112443
228663;LD1;6.06149985007801e-05
228678;LD1;0.000336454213981853
229671;LD1;1.27029668107851e-07
229683;LD1;0.000120725833390596
229717;LD1;0.000263257353975193
229732;LD1;0.000537662669452419
229743;LD1;1.59623324601856e-07
229773;LD1;6.78951522521851e-05
237275;LD1;7.46980508917032e-09
237308;LD1;2.34392035771099e-05
237387;LD1;0.000724627709054012
252520;LD1;0.000334394935543809
252522;LD1;5.04066980885327e-06
252532;LD1;1.65441518856751e-05
252534;LD1;7.62264569902869e-05
252559;LD1;0.00142718276000497
252571;LD1;0.000105470033229241
252589;LD1;0.000115572714523181
252598;LD1;8.45423171264686e-05
252604;LD1;6.9657996165621e-05
252610;LD1;0.000217003965048543
252615;LD1;0.000277104734393301
252625;LD1;1.70980964295069e-05
252628;LD1;2.13541109985779e-05
252635;LD1;4.33176777090294e-06
252637;LD1;0.000107576198857141
252640;LD1;0.000120823472830614
256875;LD1;1.90387382261482e-06
260461;LD1;4.29759057045227e-08
260476;LD1;0.000409598085562417
260487;LD1;9.11431563172707e-06
260517;LD1;9.00454482564626e-06
271558;LD1;2.31191651464572e-09
272930;LD1;8.50348873888573e-07
272976;LD1;3.20459042220873e-06
272991;LD1;0.000460644421741409
