CpG;LD;Loading
225371;LD1;7.27163665252115e-05
225417;LD1;7.49381608374575e-05
225432;LD1;0.000236132926460443
225443;LD1;1.07698681027187e-06
325765;LD1;2.1324987696776e-06
325795;LD1;2.62609924027232e-06
325806;LD1;2.20077158580211e-06
325821;LD1;0.000430040891338934
325867;LD1;1.44558267824789e-05
161019;LD1;1.88780448282784e-05
161022;LD1;7.52787219163755e-06
161045;LD1;1.16290950179107e-05
161052;LD1;9.4229658085499e-06
161126;LD1;9.26586500000941e-06
161135;LD1;1.1115729790086e-05
43549;LD1;5.83914587225878e-06
43595;LD1;1.10563238766238e-07
43606;LD1;0.00413291724782031
43621;LD1;1.95710523096665e-05
43667;LD1;0.000900854192154003
16352;LD1;9.82808341898475e-05
16395;LD1;0.000536283670504667
16434;LD1;0.000117793230857688
16475;LD1;0.000507062284456131
19666;LD1;4.37887314477442e-06
19694;LD1;6.57491266581515e-06
19696;LD1;1.63126664886501e-05
19705;LD1;7.1782981645907e-06
19764;LD1;7.13386023366359e-06
54266;LD1;1.64396337501623e-05
54277;LD1;1.19526341856243e-05
54295;LD1;2.51322069882254e-05
54325;LD1;1.06424852627802e-05
54334;LD1;2.59832416914521e-06
54336;LD1;8.85063693799587e-06
54364;LD1;6.16910571835256e-06
89846;LD1;8.77808663733451e-05
89868;LD1;7.70345452290764e-05
64195;LD1;3.09407411735854e-05
64217;LD1;3.3320586191992e-05
64282;LD1;1.73320047216956e-05
38802;LD1;9.25167764872582e-07
38824;LD1;1.57900662399271e-06
38888;LD1;2.2036842106905e-07
38928;LD1;1.01364823693311e-06
30137;LD1;6.45249562511237e-07
30159;LD1;1.98752773522316e-07
30223;LD1;8.76932013748222e-08
38349;LD1;3.96905322570042e-07
38378;LD1;3.46956699193667e-07
38380;LD1;2.54233161475866e-07
38389;LD1;3.37306530253169e-07
38420;LD1;1.1499422659354e-06
38438;LD1;5.55280650900266e-07
38449;LD1;4.11308398061001e-07
39769;LD1;0.000473169617151561
39842;LD1;0.000451742928756174
46380;LD1;7.97273366670772e-07
46446;LD1;1.31294636436579e-06
46468;LD1;1.94586856377377e-06
43182;LD1;6.37502468108357e-07
43204;LD1;2.75942891406544e-08
14873;LD1;1.21199372202766e-07
14893;LD1;9.25429109311373e-08
14957;LD1;7.90991279608658e-07
14963;LD1;5.80722761165248e-08
14987;LD1;8.94289645532984e-08
