OX371314.1	chr1A
OX371315.1	chr1B
OX371316.1	chr2A
OX371317.1	chr2B
OX371318.1	chr3A
OX371319.1	chr3B
OX371320.1	chr4A
OX371321.1	chr4B
OX371322.1	chr5A
OX371323.1	chr5B
OX371324.1	chr6A
OX371325.1	chr6B
OX371326.1	chr7A
OX371327.1	chr7B
CAMZJZ010000001.1	contig_327
CAMZJZ010000002.1	contig_380
CAMZJZ010000003.1	contig_580
CAMZJZ010000004.1	contig_359
CAMZJZ010000005.1	contig_349
CAMZJZ010000006.1	contig_271
CAMZJZ010000007.1	contig_99
CAMZJZ010000008.1	contig_342
CAMZJZ010000009.1	contig_142
CAMZJZ010000010.1	contig_266
CAMZJZ010000011.1	contig_400
CAMZJZ010000012.1	contig_104
CAMZJZ010000013.1	contig_219
CAMZJZ010000014.1	contig_949
CAMZJZ010000015.1	contig_427
CAMZJZ010000016.1	contig_187
CAMZJZ010000017.1	contig_533
CAMZJZ010000018.1	contig_500
CAMZJZ010000019.1	contig_509
CAMZJZ010000020.1	contig_318
CAMZJZ010000021.1	contig_268
CAMZJZ010000022.1	contig_306
CAMZJZ010000023.1	contig_224
CAMZJZ010000024.1	contig_604
CAMZJZ010000025.1	contig_540
CAMZJZ010000026.1	contig_603
CAMZJZ010000027.1	contig_155
CAMZJZ010000028.1	contig_351
CAMZJZ010000029.1	contig_319
CAMZJZ010000030.1	contig_254
CAMZJZ010000031.1	contig_524
CAMZJZ010000032.1	contig_390
CAMZJZ010000033.1	contig_386
CAMZJZ010000034.1	contig_417
CAMZJZ010000035.1	contig_308
CAMZJZ010000036.1	contig_94
CAMZJZ010000037.1	contig_647
CAMZJZ010000038.1	contig_369
CAMZJZ010000039.1	contig_439
CAMZJZ010000040.1	contig_256
CAMZJZ010000041.1	contig_295
CAMZJZ010000042.1	contig_784
CAMZJZ010000043.1	contig_2041
CAMZJZ010000044.1	contig_343
CAMZJZ010000045.1	contig_286
CAMZJZ010000046.1	contig_1555
CAMZJZ010000047.1	contig_358
CAMZJZ010000048.1	contig_710
CAMZJZ010000049.1	contig_1215
CAMZJZ010000050.1	contig_860
CAMZJZ010000051.1	contig_328
CAMZJZ010000052.1	contig_146
CAMZJZ010000053.1	contig_236
CAMZJZ010000054.1	contig_364
CAMZJZ010000055.1	contig_696
CAMZJZ010000056.1	contig_481
CAMZJZ010000057.1	contig_450
CAMZJZ010000058.1	contig_971
CAMZJZ010000059.1	contig_1062
CAMZJZ010000060.1	contig_664
CAMZJZ010000061.1	contig_339
CAMZJZ010000062.1	contig_246
CAMZJZ010000063.1	contig_404
CAMZJZ010000064.1	contig_1150
CAMZJZ010000065.1	contig_317
CAMZJZ010000066.1	contig_179
CAMZJZ010000067.1	contig_690
