"AV241";"AV243";"AV244";"AV246";"AV249";"AV250";"AV251";"AV252";"AV253";"AV254";"AV256";"AV259";"AV260";"AV261";"AV262";"AV263A";"AV263B";"AV264B";"AV265";"AV266";"AV272";"AV273";"AV276";"AV278";"AV279";"AV280";"AV281";"AV282";"AV283";"AV284";"AV286";"AV287";"AV288";"AV289";"AV290";"AV291";"AV292";"AV293";"AV296";"AV297";"AV298";"AV299"
"375418";32.7868852459016;0;0;9.1644204851752;12.568306010929;0;0;94.7368421052632;0;7.01107011070111;0;0;0;0;0;14.9112426035503;0;13.4615384615385;0;0;0;0;0;6.18556701030928;0;0;0;0;0;0;0;0;0;0;NA;0;18.8311688311688;68.0851063829787;0;0;0;0
"375420";0;0;0;23.5602094240838;7.89473684210526;0.740740740740741;0;0;11.0091743119266;16.0583941605839;0;0;0;26.8292682926829;36.6336633663366;18.5830429732869;75.2;12.8676470588235;56.3106796116505;4.94845360824742;0;0;0;16.580310880829;0;0;0;0;0;0;0;0;0;36.3636363636364;NA;0;0;0;53.6231884057971;0;1.21212121212121;0
"375436";0;0;0;0;16.3934426229508;0;0;0;0;5.26315789473684;0.684931506849315;24.390243902439;0;0;9.54773869346734;0.120627261761158;0.806451612903226;9.19540229885057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.78787878787879;NA;0;0;0;51.5625;0;0;0
"375464";0;0;0;5.44959128065395;0;14.9606299212598;0;0;0;24.0740740740741;0;0;0;0;0;0;24.1666666666667;0.390625;0;0.212765957446809;0;0;0;6.48648648648649;0;0;0;0;0;0;0;0;0;3.17460317460317;NA;0;0;0;0;0;20.8860759493671;0
"375487";0;0;0.8;0.273972602739726;0;0.395256916996047;0;0;0;5.51470588235294;2.0979020979021;0;0;0.943396226415094;0.518134715025907;5.20446096654275;0;0.829875518672199;2.02020202020202;0.449438202247191;0;1.19047619047619;0;0.552486187845304;0;0;0;0;0;0;0;0;0;2.41935483870968;NA;0;0.714285714285714;0;0;0;0;4
"375493";4.12371134020619;0;2.63157894736842;3.84615384615385;1.74418604651163;4.36681222707424;1.96078431372549;5.55555555555556;2;9.79591836734694;6.61764705882353;4.71698113207547;3.33333333333333;2.9126213592233;4.65116279069767;3.76623376623377;0.833333333333333;3.94736842105263;1.11111111111111;5.1150895140665;4;2.63157894736842;6.25;5.84795321637427;3.84615384615385;1.5625;0;0;1.50375939849624;40;1.17647058823529;5.26315789473684;0.900900900900901;5.26315789473684;NA;1.25;2.54237288135593;6.17283950617284;1.5625;0;1.97368421052632;9.09090909090909
"375578";0.869565217391304;3.125;0;0.579710144927536;3.50877192982456;2.5;100;0;0;7.91666666666667;0;2.52100840336134;0;20.1923076923077;0.555555555555556;4.98753117206983;0;1.73913043478261;1.04166666666667;0;0;0;0;17.5531914893617;0;1.47058823529412;0;0;8.44155844155844;0;17.9775280898876;2.12765957446809;0.900900900900901;15.3846153846154;NA;0;0;0;0;0;22.2222222222222;0
"375581";0;0;3.2520325203252;0.549450549450549;16.1111111111111;0;2.27272727272727;0;2.1978021978022;13.1782945736434;0;24.0601503759398;0;0;0;0;0;0.389105058365759;0;8.3710407239819;0;0;0;0;0;0;0;0;0;0;15.625;0;25.4098360655738;4.03225806451613;NA;1.36986301369863;0;0;0;0;20.625;0
"375612";0;0;0;0;0;0;0;0;0;5.51470588235294;0;0;0;0;0;0;0;0;0;10.2083333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;3.7593984962406;NA;0;0;0;0;0;0;0
"375627";0;0;0;0;0;7.22433460076046;0;0;0;5.53505535055351;0;23.4848484848485;0;0;15.0753768844221;0;0;0.371747211895911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;12.5;NA;0;0;0;0;0;0;0
"375636";0;0;0;2.9023746701847;0;0;0;0;0;31.7343173431734;10.4575163398693;2.29007633587786;0;17.8861788617886;28.2178217821782;2.57913247362251;0;0;0;6.86070686070686;12.5;53.1914893617021;0;0;0;0;0;100;0;100;0;0;22.2222222222222;3.78787878787879;NA;25.9259259259259;0;0;0;100;0;100
"375637";0;0;0;0;0;0;0;0;0;5.16605166051661;0;0;0;0;21.2871287128713;1.87793427230047;0;0;0;0;0;52.6881720430108;0;0;0;0;0;0;0;0;0;0;0;3.84615384615385;NA;0;0;1.06382978723404;0;0;0;100
"375638";7.2;5.71428571428571;0;2.38726790450928;0;0;0;0;0;20.8333333333333;0;0;0;0;0;3.63636363636364;0;0;0;9.0146750524109;0;0;0;0;0;0;1.31578947368421;0;0;0;0;0;0;3.84615384615385;NA;0;0;0;0;0;0;0
"375644";0;0;0;0;1.05820105820106;0;0;0;0;5.49450549450549;0;24.2424242424242;0;0;9.9009900990099;0;7.2;0;0;0;0;53.1914893617021;0;0;0;0;0;0;0;0;0;0;0;3.78787878787879;NA;0;0;0;0;0;0;100
"375656";0;0;0;0;24.468085106383;10.4868913857678;0;5.26315789473684;0;5.12820512820513;27.0967741935484;0;0;13.6;14.6341463414634;2.2093023255814;24.8;0;0;17.2557172557173;0;0;0;0;0;0;0;0;0;0;0;0;23.6220472440945;0;NA;0;0;0;0;0;0;0
"375666";0;0;0;20.7894736842105;0;6.2962962962963;0;0;0;18.3823529411765;10.4575163398693;2.36220472440945;0;0;28.780487804878;10.7602339181287;0;0;0;0.208333333333333;0;0;100;0;0;0;0;0;0;0;0;0;0;3.78787878787879;NA;0;19.2307692307692;0;0;0;0;100
"375667";0;0;0;0;0;0;0;0;0;5.83941605839416;0;0;0;0;9.75609756097561;8.82694541231127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.78787878787879;NA;0;0;0;0;0;0;0
"375675";0;0;0;0;0;0;0;0;17.2727272727273;16.1870503597122;13.6363636363636;0;25.6410256410256;0;0;4.41347270615563;24.8;0;0;0;0;0;0;0;0;0;19.4805194805195;0;0;0;0;0;0;3.7593984962406;NA;30.4878048780488;18.5897435897436;0;0;0;1.21212121212121;0
"375685";0;0;0;17.3228346456693;0;0;0;0;17.2727272727273;18.0505415162455;0;0;0;0;6.82926829268293;0.466200466200466;1.6;0;19.047619047619;0;0;0;0;6.66666666666667;0;0;1.33333333333333;0;0;0;0;0;0;3.81679389312977;NA;0;0;0;0;0;0;0
"298177";4.16666666666667;17.8571428571429;1.49253731343284;4.57142857142857;4.7244094488189;3.26086956521739;3.84615384615385;4.16666666666667;5;4.31034482758621;0;4.25531914893617;4;0;0;4.13793103448276;2.18978102189781;14.1025641025641;12.5;5.10204081632653;4.8780487804878;2.5974025974026;6.08695652173913;2.6865671641791;0.625;8.13397129186603;11.3207547169811;3.88349514563107;2.5531914893617;0.492610837438424;1.50753768844221;4.48717948717949;3.21543408360129;1.2987012987013;0;0;5.11945392491468;2.88461538461538;3.43347639484979;11.9266055045872;3.08641975308642;7.31707317073171
"298179";0;0;2.85714285714286;0;0;0;0;0;0;2.58620689655172;2.04081632653061;0;0;2.4;0;0;1.44927536231884;1.26582278481013;6.25;4;2.4390243902439;3.8961038961039;0.869565217391304;3.03951367781155;2.48447204968944;1.40845070422535;0.952380952380952;1.49253731343284;0.843881856540084;0.961538461538462;0.497512437810945;0;0;0;3.84615384615385;5.88235294117647;0.684931506849315;3.7037037037037;2.14592274678112;2.65486725663717;0;2.4390243902439
"298185";4.25531914893617;0;8.82352941176471;6.32911392405063;3.36134453781513;0;0;2.08333333333333;4.25531914893617;2.65486725663717;2.04081632653061;4.25531914893617;14.2857142857143;4.3859649122807;0;6.15384615384615;0;11.6883116883117;0;5.26315789473684;4.8780487804878;5.40540540540541;0.892857142857143;9.75609756097561;8.125;5.31400966183575;1.92307692307692;3.43137254901961;6.38297872340426;4.95049504950495;4.66321243523316;3.28947368421053;7.46753246753247;7.69230769230769;7.69230769230769;2.94117647058824;3.125;20.7547169811321;4.32900432900433;5.5045871559633;7.23684210526316;0
"298201";2.17391304347826;3.57142857142857;4.47761194029851;2.33918128654971;0;4.3956043956044;0;0;3.06122448979592;2.60869565217391;8;2.17391304347826;11.8421052631579;0;0;0;3.05343511450382;2.53164556962025;15.9090909090909;10.4166666666667;0;0;0;3.29341317365269;0.62111801242236;0.970873786407767;0;1.47783251231527;2.97872340425532;5.85365853658537;2.52525252525253;0.649350649350649;1.31147540983607;5.12820512820513;4;0;2.80701754385965;0;0;0.892857142857143;3.1055900621118;0
