chr	start	end	strand	pvalue	qvalue	meth.diff
OX371314.1	325954091	325954091	-	9.07597320144967e-05	0.042250296557775	-11.6755416472132
OX371316.1	201341699	201341699	-	0.000131098377923619	0.0461436252968776	-24.449594438007
OX371316.1	394517510	394517510	-	0.000127502805327857	0.0460000177782264	-24.3853630646083
OX371316.1	403797343	403797343	-	0.000147001005208098	0.049334428263021	27.47375411527
OX371317.1	326982901	326982901	+	1.77162415207491e-07	0.00127832077548769	-10.7606973058637
OX371318.1	136036269	136036269	+	6.89131157729714e-05	0.0395354472569386	-24.9397186560286
OX371318.1	316964219	316964219	-	5.09589205194188e-05	0.0334268759288709	10.546875
OX371318.1	380625758	380625758	+	9.45559820589688e-05	0.0426419721174551	11.2451534605373
OX371319.1	62595421	62595421	-	8.13310660993886e-06	0.011736935440358	14.6281250575729
OX371320.1	301026236	301026236	-	3.09837425398951e-06	0.00894256532791611	10.0108651581484
OX371326.1	77037735	77037735	-	7.15501011376112e-05	0.0395354472569386	-16.453201043769
OX371326.1	453379489	453379489	-	8.61002987654638e-05	0.042250296557775	14.0577027762656
