CpG;LD;Loading
51646932;LD1;0.0673224420124804
51646935;LD1;0.0601668822096099
51646939;LD1;0.0639082038354949
51646959;LD1;0.0618350386704526
51647006;LD1;0.0663533356030481
51647024;LD1;0.0632274110842444
51647039;LD1;0.0628670431026078
98503143;LD1;0.000494663257222295
98503167;LD1;2.73506796256221e-05
98503195;LD1;1.2539982069816e-05
98503234;LD1;1.79730048642278e-08
98503235;LD1;0.000109119461943655
98503305;LD1;0.000571930144642154
98503322;LD1;0.000172330157542401
98503339;LD1;0.000434910609599386
2808;LD1;0.0926312407918706
2824;LD1;0.0975270590979035
2839;LD1;0.091599656373212
2845;LD1;0.0911751008008143
2872;LD1;0.090855349703149
2894;LD1;0.0887083744494622
51646932;LD2;0.00254179203398498
51646935;LD2;0.00122378112083953
51646939;LD2;0.00154432995745089
51646959;LD2;0.00162913428865181
51647006;LD2;0.00260946380416942
51647024;LD2;0.00202403460627597
51647039;LD2;0.00214597919861536
98503143;LD2;0.000614340274130803
98503167;LD2;3.68572780721248e-05
98503195;LD2;6.06575836397192e-05
98503234;LD2;1.00186675315391e-07
98503235;LD2;0.00208372639468411
98503305;LD2;0.000885118401312331
98503322;LD2;0.000269797270769169
98503339;LD2;0.000262421761604709
2808;LD2;0.164441929105935
2824;LD2;0.172438088408195
2839;LD2;0.162836998656991
2845;LD2;0.162365116839423
2872;LD2;0.161634632031017
2894;LD2;0.158351700797563
