CHG;LD;Loading
10782069;LD1;2.11192006787991e-05
10782125;LD1;9.78005001688597e-05
10782212;LD1;0.000191326130930703
10782234;LD1;0.000127447513818433
10782273;LD1;0.000246352501863392
10782300;LD1;0.000243660719079392
14835191;LD1;2.233666670235e-05
14835232;LD1;1.17296209149629e-06
14835245;LD1;3.71540185154793e-05
14835256;LD1;1.93354556994777e-06
14835299;LD1;1.60178458979283e-05
14835328;LD1;9.79594377690462e-07
14835395;LD1;2.83677609388019e-06
14835412;LD1;3.22445948581569e-07
14835429;LD1;2.9962938282543e-06
14835444;LD1;8.62869394084373e-07
16754697;LD1;6.37848930437224e-10
21832611;LD1;2.49106030216584e-07
21832636;LD1;8.55263586600238e-06
21832702;LD1;3.77760102869871e-07
21832772;LD1;1.01867580346815e-05
21832867;LD1;6.34397889883029e-05
23777820;LD1;1.27289489886185e-05
23777825;LD1;1.90506483615068e-05
23777944;LD1;1.35456665234562e-05
23777949;LD1;1.83701294259291e-05
23777975;LD1;1.78686269416169e-05
23777981;LD1;1.56338162065403e-05
24544973;LD1;1.840304787534e-05
24545041;LD1;1.50576153687679e-05
24545047;LD1;1.02809814835764e-05
24545049;LD1;2.54458181453546e-05
24545068;LD1;2.07729670268936e-05
24545125;LD1;7.86757407903182e-06
24545127;LD1;1.94969103792991e-05
24545134;LD1;0.00013124147686783
24545137;LD1;1.57935315990158e-05
24545160;LD1;0.000148169197846122
24545162;LD1;2.18459236652335e-05
24545184;LD1;1.57667820410258e-05
24767036;LD1;8.24553289362995e-05
24767087;LD1;2.76035120552435e-05
24767153;LD1;3.56362650374859e-05
24767217;LD1;4.95699370699435e-05
24767244;LD1;0.000230728830925335
24767265;LD1;1.33702930881243e-05
24767287;LD1;2.99484312262227e-06
27184717;LD1;1.54566007862235e-06
27184741;LD1;0.000500916085922354
27184766;LD1;3.77618801746555e-05
27184789;LD1;0.000173219954442761
27184795;LD1;8.55494621971177e-08
27184832;LD1;6.31727238912241e-06
27184887;LD1;2.27590514944562e-06
27184898;LD1;1.74022775573639e-05
27184912;LD1;0.000856846087872157
27184924;LD1;8.91475868670859e-05
27184928;LD1;6.03976302951834e-06
27184937;LD1;3.51828074766765e-05
27645853;LD1;3.94047609538568e-09
27645856;LD1;3.63124892641068e-05
27645868;LD1;3.43459178561633e-05
27645870;LD1;3.24760028106496e-06
27645884;LD1;1.61393154178898e-05
27645890;LD1;1.0398345202538e-05
27645920;LD1;3.2180631482559e-05
27645922;LD1;8.52345953612812e-09
27645995;LD1;5.53092986487734e-05
27645998;LD1;9.64762149544855e-08
27646000;LD1;2.66504069173226e-06
27646054;LD1;4.85193838098544e-05
27646073;LD1;0.000186848594128185
27646108;LD1;0.000145529314898684
27646113;LD1;1.62139934720568e-05
28244987;LD1;2.09842621583852e-05
28245019;LD1;5.47065850253497e-05
28245066;LD1;3.91502302289186e-06
28245125;LD1;0.000337725543649909
28245136;LD1;6.26648588257715e-05
28245170;LD1;9.77607282475244e-06
28245173;LD1;2.29904001691915e-05
28245203;LD1;4.26444461765742e-05
28245220;LD1;0.000270009859157582
28245224;LD1;7.33423206253794e-05
34879683;LD1;1.84729021792027e-06
34879722;LD1;7.69682553098415e-08
34879739;LD1;2.31761201543165e-05
34879826;LD1;8.44548247903327e-05
34879848;LD1;7.17149192377267e-06
34879887;LD1;0.000135497291602735
34879939;LD1;6.90415788656922e-07
47142988;LD1;8.48227374268921e-09
56903981;LD1;4.33909961974688e-06
56904002;LD1;2.94070709129284e-05
56904014;LD1;6.49345977594493e-05
56904022;LD1;2.78919911562946e-05
56904046;LD1;6.99212106863762e-08
56904052;LD1;3.07928226027904e-05
56904089;LD1;0.00144278394511689
56904114;LD1;1.67096643520878e-06
56904138;LD1;5.28157330433586e-07
56904164;LD1;0.000331495259673812
56904181;LD1;4.07872563068565e-05
56904198;LD1;7.89273435064413e-05
56904215;LD1;6.80080318540931e-05
56904225;LD1;0.000450184892988255
57017005;LD1;4.78060512583211e-05
57017066;LD1;5.00079258524763e-05
57017131;LD1;8.19707172892397e-06
57212345;LD1;2.71539769971223e-06
57212401;LD1;9.7028340426906e-06
57212440;LD1;1.90394370871762e-05
57212510;LD1;1.74057175396197e-06
57212601;LD1;2.65862572181083e-05
57519293;LD1;0.000254193371671153
57519452;LD1;6.23973525231596e-06
57519529;LD1;0.000227451374594092
57519546;LD1;8.18862819903063e-07
57520991;LD1;3.49203179727744e-05
57521001;LD1;2.51895244931314e-07
57521143;LD1;3.4833891832852e-05
57521187;LD1;3.59411375091669e-05
58150217;LD1;4.4677147294463e-07
58150235;LD1;1.01768383659528e-05
58150245;LD1;1.61914150896317e-06
58150252;LD1;6.72726846297412e-06
58150262;LD1;4.06873837438672e-07
58150272;LD1;0.000172155603854561
58150294;LD1;6.13140711402646e-07
58150312;LD1;1.79036275520851e-05
58150322;LD1;1.03966328438415e-06
58150329;LD1;2.20562921786334e-05
58150339;LD1;1.1131131253897e-06
58150349;LD1;0.000165538482049878
58150398;LD1;0.000227207823769091
58323736;LD1;0.000487309454452224
58323769;LD1;4.07157289151082e-05
58323785;LD1;2.91240804714468e-05
58323802;LD1;1.03453249909133e-05
58323883;LD1;0.000216619897378816
58323895;LD1;0.00023721450253374
58323911;LD1;1.46085957971758e-05
58323956;LD1;1.10941104112985e-05
58323977;LD1;2.29190801161399e-05
58323988;LD1;9.26810752110496e-07
58412498;LD1;6.10452411244656e-05
58412523;LD1;0.000314476724886064
58412658;LD1;3.47499640236599e-06
58412697;LD1;2.85361026235786e-05
58412753;LD1;3.26663657881134e-05
58896100;LD1;0.000324923188196549
58896262;LD1;4.40876966699523e-05
58896339;LD1;0.000190653793711029
58896349;LD1;1.9300710509003e-06
58896356;LD1;2.42644874486986e-05
58917382;LD1;2.72832397447161e-05
58917424;LD1;2.57008616331466e-05
58917427;LD1;0.000465157443881502
58917556;LD1;2.25129715222216e-05
59092144;LD1;1.53165427802098e-05
59092171;LD1;6.0585944898501e-06
59218587;LD1;1.24854522432079e-05
59218595;LD1;2.58010584721027e-07
