chr	start	end	strand	pvalue	qvalue	meth.diff
OX371314.1	449323300	449323300	-	0.000140699582887957	0.0485605377396821	16.2534055482455
OX371316.1	191646253	191646253	-	1.07291063652543e-05	0.0157771057982127	-29.0651340996169
OX371316.1	362724917	362724917	+	1.03259761086944e-05	0.0157771057982127	13.3644252456134
OX371316.1	396536445	396536445	-	3.02973675574809e-05	0.0214067913684477	17.1494785631518
OX371316.1	503393329	503393329	+	7.46543298065765e-05	0.0357894083528213	15.5570076160808
OX371317.1	106656150	106656150	+	3.01980919484355e-05	0.0214067913684477	21.3343536595851
OX371317.1	404673667	404673667	+	9.35072672691648e-05	0.0386385231412821	20.0139329876881
OX371318.1	331908776	331908776	-	0.000149930409164493	0.0495576150586244	50.6361773098099
OX371318.1	479548981	479548981	+	7.5728171931541e-05	0.0357894083528213	12.5179654843275
OX371320.1	116673569	116673569	+	5.62095258145838e-06	0.0157771057982127	49.5364327483592
OX371320.1	286808081	286808081	+	2.44467854547095e-05	0.0214067913684477	18.6064287725792
OX371320.1	289919039	289919039	+	7.13561253655475e-05	0.0357894083528213	22.0902090209021
OX371320.1	295241333	295241333	-	1.90346833939101e-05	0.0207849303975517	24.0647954844197
OX371320.1	295241483	295241483	-	1.18215451464743e-05	0.0157771057982127	13.6796875
OX371320.1	297971611	297971611	-	6.51674996074413e-05	0.0357894083528213	15.4040404040404
OX371320.1	450801160	450801160	+	2.0782373989527e-05	0.0208022117101533	11.1222444889779
OX371321.1	355665924	355665924	-	8.32655242049618e-05	0.0370422244144941	-15.3461529474988
OX371322.1	68357317	68357317	+	6.76659355315742e-05	0.0357894083528213	19.1846885449749
OX371322.1	93322049	93322049	+	0.000154168711527915	0.0495576150586244	16.2077564619937
OX371322.1	98061877	98061877	-	5.23926952851128e-06	0.0157771057982127	-15.2267353675946
OX371322.1	192591790	192591790	+	0.000141499833717646	0.0485605377396821	-19.9716658903897
OX371322.1	379634481	379634481	+	3.32131255604878e-05	0.0221632193323485	28.4894945017527
OX371322.1	392371742	392371742	+	3.72723192037032e-06	0.0157771057982127	-33.5238095238095
OX371322.1	418475562	418475562	+	1.42867151771387e-05	0.0171604229954057	-11.3628580062452
OX371322.1	441684659	441684659	-	0.000135269655410905	0.0485605377396821	21.5578539107951
OX371324.1	247457594	247457594	+	8.7081971950872e-06	0.0157771057982127	11.5211481626052
OX371324.1	266835846	266835846	-	7.43912566796167e-05	0.0357894083528213	24.3433284406235
OX371325.1	213802737	213802737	+	2.80564597443655e-05	0.0214067913684477	-20.9100730812572
OX371326.1	53373040	53373040	-	0.000109772721906158	0.0425332277260204	30.6514913657771
OX371326.1	56922895	56922895	+	8.79024224117191e-05	0.0377084268297752	-15.4102718300393
OX371326.1	174438136	174438136	-	1.11642366479853e-05	0.0157771057982127	19.387059675427
OX371326.1	241484741	241484741	+	0.000122074867966279	0.0458217727412289	20.9287021804111
OX371326.1	499378980	499378980	-	9.65041902170892e-05	0.0386385231412821	19.8132028948502
OX371326.1	573948007	573948007	-	6.2983985043449e-11	7.56529273440975e-07	-17.2584801630109
OX371327.1	161456083	161456083	+	0.000156782791384777	0.0495576150586244	25.2028205322617
OX371327.1	399196044	399196044	-	6.64109984647375e-05	0.0357894083528213	14.4060550400608
OX371327.1	425191862	425191862	+	7.74697696812657e-05	0.0357894083528213	23.2636095467954
