"AV241";"AV243";"AV244";"AV246";"AV249";"AV250";"AV251";"AV252";"AV253";"AV254";"AV256";"AV259";"AV260";"AV261";"AV262";"AV263A";"AV263B";"AV264B";"AV265";"AV266";"AV272";"AV273";"AV276";"AV278";"AV279";"AV280";"AV281";"AV282";"AV283";"AV284";"AV286";"AV287";"AV288";"AV289";"AV290";"AV291";"AV292";"AV293";"AV296";"AV297";"AV298";"AV299"
"375372";100;100;100;100;100;100;100;100;82.7272727272727;100;100;88.1481481481482;100;100;100;100;74.4;91.1439114391144;100;100;100;100;100;100;100;100;98.6666666666667;100;100;100;100;100;99.2125984251968;100;NA;100;100;100;100;100;100;100
"375389";100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;99.8842592592593;74.4;78.2287822878229;100;100;100;100;100;83.7696335078534;100;100;100;100;100;100;100;100;95.2755905511811;100;NA;100;100;100;100;100;100;100
"375459";100;100;100;100;100;100;100;100;100;100;99.3377483443709;97.7272727272727;100;100;85.2791878172589;96.8712394705175;100;99.6153846153846;100;99.7830802603037;100;100;100;99.4594594594595;100;100;100;100;100;100;100;100;100;100;NA;100;100;98.876404494382;100;100;100;100
"375478";99.0909090909091;100;100;99.0712074303406;98.7654320987654;98.6046511627907;97.8723404255319;100;76;99.6031746031746;98.4126984126984;95.6521739130435;100;99.0740740740741;98.876404494382;95.8015267175573;98.9583333333333;97.907949790795;100;98.7951807228916;100;100;100;98.8439306358381;100;98.5507246376812;69.1176470588235;92.8571428571429;100;100;96.551724137931;100;99.0476190476191;100;NA;100;96.4912280701754;98.8372093023256;100;100;100;0
"375485";0;100;59.349593495935;56.786703601108;100;100;100;100;100;44.0298507462687;77.1812080536913;13.3333333333333;100;54.4642857142857;33.5051546391753;38.2822085889571;100;50.6024096385542;37.7551020408163;54.3624161073826;13.3333333333333;0;0;29.0502793296089;2.77777777777778;0;100;100;51.006711409396;0;17.3913043478261;6.66666666666667;72.5;35.2459016393443;NA;67.9487179487179;40.1515151515151;0;50;2.5;22.6666666666667;0
"375594";100;100;100;100;100;86.5671641791045;100;100;100;100;100;100;100;100;100;97.2972972972973;100;100;100;100;100;100;100;100;100;100;100;100;100;100;99;100;100;100;NA;100;100;100;100;100;100;100
"375630";100;100;100;100;98.3957219251337;86.6666666666667;100;100;100;100;100;97.7941176470588;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;NA;100;80.5194805194805;100;100;100;100;100
"375633";100;100;100;87.6315789473684;100;86.6666666666667;100;100;100;100;87.6623376623377;85.9259259259259;100;85.3658536585366;100;100;100;100;99.0196078431373;91.3223140495868;100;100;100;100;100;100;100;100;100;100;100;100;100;100;NA;100;81.0457516339869;100;100;100;100;100
"375641";27.906976744186;100;57.1428571428571;56.2005277044855;100;86.2962962962963;100;100;98.1818181818182;45.1263537906137;75.6578947368421;0;100;53.6585365853659;100;100;100;49.6296296296296;38.2352941176471;52.4793388429752;100;100;100;100;100;100;100;100;100;100;100;100;100;100;NA;100;56.687898089172;100;100;100;100;100
"375702";0;100;56.6176470588235;53.2808398950131;100;100;31.4814814814815;100;99.0909090909091;34.2960288808664;76.1290322580645;11.8518518518519;100;31.4516129032258;32.5242718446602;38.9082462253194;74.4;49.4464944649446;19.8019801980198;51.8518518518519;12.1212121212121;0;0;27.8350515463918;2.5;0;100;100;50;0;15.8415841584158;8.16326530612245;71.6535433070866;31.5789473684211;NA;69.5121951219512;37.8205128205128;0;53.6231884057971;0;22.289156626506;0
