"PL1";"PL11";"PL12";"PL14";"PL15";"PL16";"PL17";"PL19";"PL2";"PL22";"PL23";"PL24";"PL25";"PL26";"PL28";"PL3";"PL30";"PL31";"PL32";"PL33";"PL34";"PL37";"PL39";"PL40";"PL41";"PL42";"PL43";"PL46";"PL47";"PL48";"PL49";"PL50";"PL52";"PL54";"PL55";"PL57";"PL58";"PL6";"PL7";"PL8"
"17489399";10;5.26315789473684;7.69230769230769;5;0;11.2903225806452;14.6341463414634;0;0;3.26086956521739;8.25688073394495;3.57142857142857;16.4948453608247;3.2258064516129;13.0434782608696;2.27272727272727;8.51063829787234;4.83870967741935;5.26315789473684;21.0526315789474;0;14.2857142857143;8.33333333333333;0;3.57142857142857;8.33333333333333;0;23.9130434782609;21.875;0;0;NA;0;15.7894736842105;7.63358778625954;0;0;33.3333333333333;0;6.84931506849315
"17489405";100;100;92.3076923076923;100;100;73.015873015873;71.4285714285714;93.9393939393939;100;88.2978723404255;98.1651376146789;85.7142857142857;91.9191919191919;93.8461538461538;95.7142857142857;91.0112359550562;100;100;100;100;100;100;100;91.6666666666667;100;100;100;84.0909090909091;87.2340425531915;100;100;NA;98.3333333333333;100;87.3134328358209;100;100;100;100;90.3614457831325
"17489504";100;100;100;83.3333333333333;100;98.3333333333333;100;90.3225806451613;100;98.9247311827957;96.1904761904762;96.2962962962963;97.9166666666667;93.5483870967742;87.8787878787879;100;100;96.8;100;100;100;100;100;100;96.2962962962963;100;100;97.7272727272727;97.8021978021978;100;100;NA;100;100;100;100;100;100;100;92.3076923076923
"17489557";100;97.2972972972973;100;100;100;100;100;100;100;98.936170212766;100;100;98.9690721649485;90.625;100;98.8636363636364;97.6744186046512;100;100;72.2222222222222;95;100;100;100;100;100;100;100;93.6842105263158;100;100;NA;100;100;99.2248062015504;100;100;94.4444444444444;100;98.7341772151899
"17489576";100;100;100;100;100;92.0634920634921;100;100;100;90.3225806451613;93.5779816513761;100;98.9583333333333;93.5483870967742;100;100;100;99.1935483870968;100;100;100;100;100;100;100;100;100;100;98.9130434782609;100;100;NA;98.3606557377049;94.7368421052632;100;62.5;100;100;100;100
"17489626";85;100;94.2307692307692;73.6842105263158;95.4545454545455;96.7741935483871;100;97.0588235294118;100;98.8888888888889;95.4128440366973;100;97.9381443298969;100;47.0588235294118;98.8505747126437;93.6170212765958;36.5853658536585;42.8571428571429;100;42.8571428571429;100;100;100;57.6923076923077;91.6666666666667;83.3333333333333;84.4444444444444;100;100;66.6666666666667;NA;35;94.4444444444444;82.3076923076923;100;100;100;100;92.6829268292683
"17489649";95.2380952380952;100;98.0769230769231;100;90.9090909090909;100;97.5;96.875;93.3333333333333;98.9010989010989;97.2477064220184;100;96.7741935483871;98.3870967741936;100;100;97.9166666666667;99.2;96.2962962962963;100;95.2380952380952;100;100;100;100;100;100;100;100;100;100;NA;100;100;100;93.75;88.8888888888889;100;100;100
"17489667";100;100;98.1132075471698;100;100;100;100;100;64.2857142857143;97.8723404255319;97.1428571428571;100;97.8494623655914;100;100;100;97.9166666666667;99.1803278688525;85.4545454545455;100;100;84.6153846153846;100;84.6153846153846;100;91.6666666666667;100;97.7777777777778;100;100;100;NA;98.3606557377049;89.4736842105263;99.2307692307692;100;100;100;100;91.1392405063291
"21832620";81.8181818181818;95.5223880597015;100;97.8947368421053;90.3846153846154;62.457337883959;80.168776371308;46.8965517241379;87.7094972067039;98.3498349834984;89.7727272727273;97.2602739726027;95.1515151515152;95.3846153846154;95.2380952380952;94.3069306930693;98.5915492957746;95.0643776824034;84.4155844155844;100;91.6666666666667;90.3846153846154;92.8571428571429;91.5730337078652;81.6091954022989;94.3661971830986;80.6451612903226;94;90.4761904761905;100;89.6551724137931;100;71.2643678160919;91.6666666666667;90;92.4050632911392;89.622641509434;60.8695652173913;96.875;48.3720930232558
"21832638";81.8181818181818;95.5223880597015;100;97.8723404255319;96.2264150943396;94.2760942760943;96.2809917355372;87.8378378378378;93.1216931216931;96.0526315789474;94.7222222222222;97.9310344827586;94.5121951219512;95.3125;88.7566137566138;85.3598014888338;94.3060498220641;93.0735930735931;83.8709677419355;100;100;92.3076923076923;100;88.3333333333333;93.1034482758621;90.1408450704225;91.9354838709677;88.2352941176471;89.3992932862191;90.9090909090909;89.6551724137931;100;89.7727272727273;96.4285714285714;91.8181818181818;91.025641025641;91.5094339622642;90.9090909090909;100;94.392523364486
"21832663";98.4848484848485;95.5223880597015;97.8723404255319;81.7204301075269;98.0392156862745;98.3108108108108;99.1735537190083;96.5986394557823;97.8723404255319;97.7049180327869;98.3379501385042;100;98.780487804878;93.8461538461538;96.4190981432361;96.5;97.4545454545455;95.3947368421053;92.7152317880795;80;97.2222222222222;96;90;92.7374301675978;97.7011494252874;85.7142857142857;98.3333333333333;94.1176470588235;98.5714285714286;100;100;100;95.1807228915663;96.3414634146341;93.3962264150943;97.4025974025974;95.3271028037383;95.6521739130435;100;98.5849056603774
"21832671";96.875;98.5294117647059;95.6521739130435;96.7391304347826;98;98.6301369863014;97.8991596638655;97.972972972973;96.2962962962963;93.8983050847458;98.0392156862745;97.9310344827586;100;92.1875;97.2148541114058;94.7103274559194;97.3166368515206;94.7368421052632;96.1038961038961;100;94.2857142857143;96.1538461538462;89.6551724137931;96.6101694915254;98.8372093023256;95.6521739130435;100;97.029702970297;95.8408679927667;100;100;100;97.7011494252874;97.5903614457831;97.2477064220184;97.4358974358974;88.785046728972;95.4545454545455;100;99.0783410138249
"21832695";98.4848484848485;100;100;100;100;99.6610169491525;94.1908713692946;99.3197278911565;96.2365591397849;99.6677740863787;98.6187845303867;100;98.7577639751553;100;96.7698519515478;99.2574257425743;100;98.9059080962801;98.7261146496815;100;100;100;100;99.4475138121547;98.8636363636364;98.5915492957746;100;98.0582524271845;99.288256227758;100;100;100;95.4545454545455;100;100;97.4358974358974;100;100;100;99.0610328638498
"21832709";100;100;95.6521739130435;98.9247311827957;100;97.2602739726027;99.1489361702128;100;98.9010989010989;99.6666666666667;98.3098591549296;99.290780141844;98.159509202454;96.8253968253968;96.6487935656836;98.7531172069825;99.6402877697842;98.4340044742729;96.1538461538462;100;100;94.2307692307692;96.6666666666667;96.551724137931;95.3488372093023;90.1408450704225;100;99;98.3870967741936;100;92.8571428571429;72;100;86.25;99.0476190476191;97.4025974025974;95.2830188679245;91.304347826087;100;98.5915492957746
"21832718";88.8888888888889;83.6065573770492;100;96.7741935483871;98.0769230769231;94.4636678200692;94.8936170212766;90.4109589041096;98.9189189189189;95.2702702702703;94.6478873239437;97.2222222222222;90.7975460122699;98.4375;94.5040214477212;95.273631840796;92.3497267759563;92.9824561403509;87.1794871794872;80;85.2941176470588;94;93.1034482758621;94.7976878612717;88.2352941176471;95.7142857142857;95.1612903225806;95;91.9210053859964;100;93.1034482758621;100;98.8235294117647;93.8271604938272;94.392523364486;98.6842105263158;95.2830188679245;100;96.7741935483871;91.5422885572139
"21832771";98.4615384615385;98.4848484848485;100;100;98.0769230769231;97.9166666666667;99.1228070175439;99.3055555555556;98.9247311827957;98.9655172413793;98.546511627907;100;97.5308641975309;100;98.2191780821918;99.234693877551;98.5212569316081;97.5770925110132;98.6577181208054;80;94.2857142857143;100;96.551724137931;97.1590909090909;98.7179487179487;100;98.3333333333333;98.9795918367347;60.0719424460432;100;92.5925925925926;100;96.4285714285714;98.7654320987654;99.0566037735849;100;98.0582524271845;100;89.6551724137931;98.0952380952381
"21832799";96.969696969697;90.9090909090909;100;97.8260869565217;98.0392156862745;61.5916955017301;94.0425531914894;40.6896551724138;93.5135135135135;96.6555183946488;95.4802259887006;98.5915492957746;96.875;93.8461538461538;97.0068027210884;99.2443324937028;99.2753623188406;96.4601769911504;99.3421052631579;100;100;100;100;98.3240223463687;98.8235294117647;94.0298507462687;100;100;81.2612612612613;100;100;100;98.8372093023256;97.5609756097561;99.0740740740741;94.8717948717949;100;100;100;53.5885167464115
"21832839";96.7741935483871;85.2941176470588;80.8510638297872;95.6989247311828;98.0392156862745;91.5254237288136;94.9367088607595;95.0819672131148;93.010752688172;95.2542372881356;93.1232091690544;94.4444444444444;90.7407407407407;93.6507936507936;94.2048517520216;78.2383419689119;95.8257713248639;94.0265486725664;92.3566878980892;100;88.5714285714286;93.8775510204082;89.6551724137931;92.8176795580111;94.1176470588235;98.5074626865672;95.1612903225806;96.078431372549;96.7391304347826;100;96.2962962962963;100;97.6744186046512;97.4683544303797;93.3962264150943;97.2972972972973;87.7551020408163;95.2380952380952;96.875;93.9130434782609
"21832859";95.3125;97.0149253731343;97.9166666666667;94.5652173913043;98.0769230769231;95.578231292517;88.3333333333333;92.4657534246575;93.048128342246;92.6174496644295;94;96.551724137931;93.2515337423313;93.6507936507936;94.9129852744311;96.25;95.5277280858676;92.967032967033;87.8980891719745;60;82.3529411764706;92.156862745098;89.6551724137931;93.8202247191011;88.3720930232558;92.7536231884058;95.0819672131148;92.156862745098;93.8181818181818;100;96.551724137931;100;96.551724137931;96.3855421686747;94.4954128440367;93.5064935064935;91.4285714285714;100;83.8709677419355;95.7547169811321
"24767055";97.1223021582734;100;100;98.9583333333333;100;98.7616099071207;95.9558823529412;100;100;99.7041420118343;98.1327800829876;90.1315789473684;94.6403385049365;100;100;100;99.5249406175772;98.0456026058632;100;94.5512820512821;96.7914438502674;92.0118343195266;96.1089494163424;94.1798941798942;97.6190476190476;96.9849246231156;99.3333333333333;98.6991869918699;100;88.8888888888889;99.4186046511628;98.5507246376812;94.2028985507246;99.3939393939394;95.9488272921109;98.4126984126984;98.2014388489209;100;100;98.8505747126437
"24767126";81.1594202898551;83.8235294117647;80.7692307692308;76.3440860215054;97.1098265895954;94.4099378881988;89.9628252788104;91.2087912087912;78.4313725490196;92.2155688622754;89.3305439330544;88.0794701986755;88.967468175389;93.5897435897436;91.2587412587413;80.5714285714286;85.4066985645933;89.2508143322476;97.029702970297;83.0721003134796;93.5135135135135;88.0952380952381;87.7862595419847;94.0104166666667;83.7837837837838;91.7073170731707;72.6666666666667;96.7320261437908;93.9271255060729;100;89.5348837209302;98.5507246376812;87.5;94.2424242424242;88.4861407249467;97.4025974025974;93.0313588850174;95.0819672131148;86.6666666666667;86.6412213740458
"24767152";99.2537313432836;94.0298507462687;100;98.9473684210526;99.4186046511628;98.125;96.6789667896679;93.8888888888889;95.1923076923077;97.5683890577508;98.1012658227848;96.0526315789474;99.2784992784993;97.3684210526316;95.3736654804271;98.876404494382;96.3855421686747;95.7654723127036;100;92.7444794952681;96.7213114754098;97.8978978978979;95.7198443579767;97.3684210526316;93.2126696832579;92.6470588235294;95.9183673469388;99.836867862969;97.9253112033195;100;98.2456140350877;92.7536231884058;95.7142857142857;94.478527607362;97.6241900647948;80.5194805194805;94.7183098591549;98.3050847457627;100;98.4496124031008
"24767190";77.5862068965517;78.5046728971963;75.6410256410256;71.4285714285714;96.7741935483871;92.5619834710744;87.3303167420815;89.1472868217054;71.0526315789474;89.8039215686274;85.2691218130312;86.1788617886179;86.3157894736842;90.9090909090909;89.6103896103896;77.2151898734177;81.981981981982;86.6952789699571;95.9731543624161;79.3893129770992;90.8396946564885;83.4008097165992;84.7619047619048;91.8439716312057;77.9141104294479;88.5135135135135;66.9565217391304;96.2546816479401;91.2820512820513;100;87.7697841726619;98.5074626865672;85.5263157894737;93.6026936026936;85.014409221902;94;90.6976744186046;94;78.9473684210526;81.0055865921788
"24767216";98.4251968503937;93.6507936507936;100;98.9130434782609;100;98.0582524271845;96.4980544747082;94.1176470588235;94.9494949494949;97.427652733119;98.0088495575221;95.1048951048951;99.405646359584;95.9731543624161;95.1851851851852;98.8235294117647;96.4912280701754;95.53264604811;100;92.8327645051195;96.4071856287425;97.8193146417446;95.4732510288066;96.9945355191257;92.822966507177;93.3333333333333;96.2962962962963;99.8278829604131;98.7341772151899;100;98.1707317073171;92.8571428571429;95.7692307692308;94.0809968847352;97.2727272727273;79.7297297297297;94.5652173913043;98.1481481481482;100;98.4
"24767230";100;95.5555555555556;94.0594059405941;98.936170212766;97.6470588235294;99.6845425867508;100;99.438202247191;100;99.6987951807229;100;89.2617449664429;100;100;96.8421052631579;83.2369942196532;94.4309927360775;93.9799331103679;100;100;100;99.7023809523809;100;100;99.5260663507109;100;100;96.8646864686469;96.2962962962963;100;100;97.1014492753623;100;99.6923076923077;98.2795698924731;100;100;100;100;99.6062992125984
"24767232";80.2919708029197;98.4496124031008;97.0873786407767;86.0215053763441;92.3076923076923;91.5309446254072;99.622641509434;85.7988165680473;91.0891089108911;85.5421686746988;97.23991507431;89.8648648648649;89.5114942528736;100;97.752808988764;81.4606741573034;95.4887218045113;87.248322147651;88.5572139303483;91.7721518987342;98.8950276243094;98.159509202454;97.65625;95.4907161803714;98.0582524271845;91.1330049261084;100;92.0338983050847;97.489539748954;100;99.4011976047904;100;99.2673992673993;93.0817610062893;98.2646420824295;97.2602739726027;98.9208633093525;90.1639344262295;100;96.0629921259843
"24767241";89.922480620155;99.2307692307692;94.8979591836735;100;100;97.6190476190476;100;96.4705882352941;98;99.6941896024465;97.986577181208;98.5915492957746;99.7037037037037;100;100;99.4350282485876;99.2125984251968;98.2698961937716;98.4293193717277;96.3576158940397;98.2857142857143;95.4838709677419;99.1701244813278;99.7267759562842;98.5576923076923;100;100;99.8272884283247;97.4025974025974;100;98.0769230769231;98.5074626865672;100;98.4126984126984;99.548532731377;98.4848484848485;100;100;93.1034482758621;96.6666666666667
"24767243";94.9275362318841;98.4962406015038;100;94.7916666666667;99.4117647058823;99.6875;98.5239852398524;99.4535519125683;100;97.3214285714286;94.7589098532495;95.364238410596;96.039603960396;98.6928104575163;98.6062717770035;100;98.7980769230769;97.3597359735974;99.0049751243781;98.7460815047022;98.3870967741936;93.0930930930931;97.7011494252874;99.4791666666667;94.0639269406393;96.551724137931;100;99.6666666666667;97.5409836065574;66.6666666666667;100;100;97.4910394265233;100;97.2103004291845;97.4025974025974;96.4912280701754;100;100;97.6833976833977
"24767262";98.5507246376812;97.0802919708029;98.0769230769231;100;100;99.6913580246914;97.7859778597786;95.5801104972376;100;98.5250737463127;99.1578947368421;99.3377483443709;99.1452991452991;100;99.6527777777778;99.438202247191;97.1428571428571;98.371335504886;99.5049504950495;98.4326018808777;97.8609625668449;98.2195845697329;99.6197718631179;98.7012987012987;98.1900452488688;99.0196078431373;99.3333333333333;100;97.1544715447154;100;98.8304093567251;100;98.2142857142857;100;99.5735607675906;96.0526315789474;99.6515679442509;98.3606557377049;100;100
