chr	start	end	strand	pvalue	qvalue	meth.diff
OX371314.1	32646628	32646628	+	0.00116583717719929	0.0456651524859571	11.0898634076204
OX371314.1	194088824	194088824	+	0.000190788046513366	0.0161057217799218	14.1914414414414
OX371314.1	194088964	194088964	+	5.30851208466505e-05	0.00727759471873647	11.4529914529915
OX371314.1	279013827	279013827	-	0.000176042189555841	0.0154706022085586	-22.6456303865697
OX371314.1	321102004	321102004	+	8.34565123426803e-08	0.000143016221820369	-10.5873623975559
OX371314.1	321102169	321102169	+	0.000806213774915429	0.0386294710969968	-10.2042024267535
OX371314.1	321102202	321102202	+	7.60773639741474e-06	0.00220967556781785	-13.02041364491
OX371314.1	367008014	367008014	-	3.98011509646057e-07	0.000442061131210153	23.5553187058204
OX371314.1	367008020	367008020	-	1.05247910523718e-07	0.00017177076613877	17.4603174603175
OX371314.1	367008071	367008071	-	0.000821086356559084	0.0388806809397921	12.8846153846154
OX371314.1	403600795	403600795	-	0.00028804170453954	0.021139443808273	-15.3464402706122
OX371314.1	471520346	471520346	-	8.08679625811175e-06	0.00230967205754092	-18.8074752904015
OX371314.1	482660653	482660653	+	0.000260902444892758	0.0197394483609466	12.6822303134147
OX371314.1	482660673	482660673	+	0.00121520376944535	0.0466393741436374	11.2179487179487
OX371314.1	482660765	482660765	+	0.000402391810071306	0.0262881093244959	11.04
OX371314.1	484757862	484757862	+	0.000795170252004458	0.0384878165039623	-10.2154635633615
OX371314.1	525679221	525679221	-	0.000581444950894828	0.032403248593803	16.8077823815529
OX371315.1	24470534	24470534	+	4.73662708839269e-06	0.00178395077614284	13.6696830291694
OX371315.1	45022592	45022592	-	0.000413883389858331	0.0268149746225738	-20.6291165114695
OX371315.1	55609663	55609663	-	0.000730297830177907	0.0366041000610503	-16.2542614791862
OX371315.1	68598644	68598644	+	0.000111600358494425	0.0116969572294661	-19.7980977807442
OX371315.1	145035274	145035274	-	0.000405914122266258	0.0263984611303841	12.7447128163643
OX371315.1	223070370	223070370	+	0.000884230477181605	0.0403574467602625	-27.7171781547211
OX371315.1	371921857	371921857	-	0.000264847021291071	0.0198462053748413	-18.8607594936709
OX371316.1	53927077	53927077	-	1.01256452665923e-05	0.00269612393470799	10.5292538442611
OX371316.1	73361521	73361521	+	1.014786070649e-05	0.00269612393470799	23.0903876582279
OX371316.1	134811880	134811880	-	2.86297808161052e-05	0.00485759964986927	15.5006858710562
