"PL1";"PL11";"PL12";"PL14";"PL15";"PL16";"PL17";"PL19";"PL2";"PL22";"PL23";"PL24";"PL25";"PL26";"PL28";"PL3";"PL30";"PL31";"PL32";"PL33";"PL34";"PL37";"PL39";"PL40";"PL41";"PL42";"PL43";"PL46";"PL47";"PL48";"PL49";"PL50";"PL52";"PL54";"PL55";"PL57";"PL58";"PL6";"PL7";"PL8"
"17489419";80;73.6842105263158;71.1538461538462;65;45.4545454545455;83.8709677419355;90.4761904761905;80;93.75;75.531914893617;59.6330275229358;67.8571428571429;73.469387755102;68.75;84.2857142857143;65.1685393258427;70.2127659574468;80;66.6666666666667;100;80.9523809523809;64.2857142857143;95.8333333333333;92.3076923076923;82.1428571428571;63.6363636363636;60;76.0869565217391;83.3333333333333;80;83.3333333333333;NA;75;78.9473684210526;62.1212121212121;100;66.6666666666667;88.8888888888889;83.3333333333333;53.6585365853659
"17489470";50;83.7837837837838;80.7692307692308;60;80.9523809523809;82.5396825396825;68.2926829268293;57.5757575757576;85.7142857142857;75;71.2962962962963;73.0769230769231;77.0833333333333;90.7692307692308;91.1764705882353;66.2921348314607;46.8085106382979;50.8196721311475;65.4545454545455;57.8947368421053;66.6666666666667;35.7142857142857;25;76.9230769230769;46.4285714285714;100;33.3333333333333;86.6666666666667;70.8333333333333;90;33.3333333333333;NA;59.3220338983051;36.8421052631579;79.6875;70.5882352941177;80;50;100;79.0123456790123
"17489483";100;91.6666666666667;100;100;95.4545454545455;100;100;100;86.6666666666667;98.9247311827957;97.1698113207547;100;97.9166666666667;100;100;98.8505747126437;95.7446808510638;100;100;100;100;100;95.6521739130435;100;100;100;100;100;96.8421052631579;100;100;NA;98.3333333333333;100;100;100;50;100;100;96.3855421686747
"17489487";70;81.0810810810811;84.6153846153846;85;95.4545454545455;58.3333333333333;56.0975609756098;65.625;81.25;88.2978723404255;77.3584905660377;57.1428571428571;64.9484536082474;78.125;57.1428571428571;85.3932584269663;71.4285714285714;56.0975609756098;61.1111111111111;44.4444444444444;88.8888888888889;57.1428571428571;91.304347826087;61.5384615384615;75;92.3076923076923;100;91.304347826087;60;80;66.6666666666667;NA;74.5762711864407;84.2105263157895;76.5151515151515;94.1176470588235;77.7777777777778;55.5555555555556;100;64.6341463414634
"17489505";63.1578947368421;70.2702702702703;78.8461538461538;63.1578947368421;86.3636363636364;62.9032258064516;73.1707317073171;48.3870967741936;37.5;82.6086956521739;57.2727272727273;96.2962962962963;59.1836734693878;78.125;67.6470588235294;53.9325842696629;64.5833333333333;47.9674796747967;49.1228070175439;47.3684210526316;55;64.2857142857143;87.5;53.8461538461538;67.8571428571429;66.6666666666667;100;65.9090909090909;63.0434782608696;0;50;NA;66.6666666666667;61.1111111111111;80;76.4705882352941;70;50;83.3333333333333;62.6506024096386
"17489513";100;100;100;100;95.4545454545455;87.3015873015873;97.5609756097561;67.741935483871;100;96.6666666666667;88.2352941176471;84;90.5263157894737;87.0967741935484;89.7058823529412;98.8505747126437;86.3636363636364;89.4308943089431;91.0714285714286;100;100;100;91.6666666666667;100;100;92.3076923076923;60;100;98.936170212766;100;100;NA;96.6101694915254;88.2352941176471;93.8461538461538;100;100;100;100;91.358024691358
"17489558";85;69.4444444444444;33.9622641509434;30;63.6363636363636;67.741935483871;36.5853658536585;47.0588235294118;37.5;66.304347826087;72.4770642201835;35.7142857142857;55.1020408163265;53.8461538461538;73.9130434782609;65.1685393258427;78.2608695652174;43.0894308943089;66.6666666666667;57.8947368421053;60;41.6666666666667;43.4782608695652;53.8461538461538;48.1481481481481;30.7692307692308;66.6666666666667;58.695652173913;41.4893617021277;30;66.6666666666667;NA;36.0655737704918;42.1052631578947;63.1578947368421;41.1764705882353;50;25;33.3333333333333;55.421686746988
"17489577";75;54.0540540540541;41.5094339622642;30;68.1818181818182;33.3333333333333;51.219512195122;50;43.75;59.7826086956522;56.3636363636364;46.1538461538462;58.9473684210526;38.3333333333333;83.8235294117647;40.4494382022472;61.2244897959184;49.1935483870968;56.3636363636364;78.9473684210526;85;71.4285714285714;47.8260869565217;76.9230769230769;78.5714285714286;69.2307692307692;100;58.695652173913;36.9565217391304;100;33.3333333333333;NA;27.1186440677966;63.1578947368421;60.7692307692308;64.7058823529412;22.2222222222222;29.4117647058824;66.6666666666667;50.6172839506173
"17489588";9.52380952380952;35.1351351351351;45.2830188679245;30;50;48.3870967741936;35.7142857142857;42.8571428571429;43.75;31.5217391304348;23.6363636363636;29.6296296296296;40.2061855670103;26.5625;31.8840579710145;23.5955056179775;16.3265306122449;29.6;24.5614035087719;26.3157894736842;23.8095238095238;23.0769230769231;20.8333333333333;30.7692307692308;25;30.7692307692308;33.3333333333333;45.4545454545455;44.2105263157895;70;16.6666666666667;NA;24.5901639344262;31.5789473684211;37.1212121212121;0;12.5;11.7647058823529;16.6666666666667;34.1463414634146
"17489593";80.9523809523809;91.8918918918919;98.0392156862745;94.7368421052632;94.4444444444444;77.7777777777778;74.3589743589744;60.6060606060606;92.8571428571429;95.7446808510638;74.0740740740741;100;78.9473684210526;70.3125;94.0298507462687;80.8988764044944;75;79.2;80.3571428571429;100;85.7142857142857;71.4285714285714;95.4545454545455;92.3076923076923;70.3703703703704;100;40;93.0232558139535;84.9462365591398;100;66.6666666666667;NA;90;68.4210526315789;86.71875;64.7058823529412;87.5;70.5882352941177;100;81.7073170731707
