chr	start	end	strand	pvalue	qvalue	meth.diff
OX371314.1	427861056	427861056	-	0.000257724997386803	0.0397773527596835	-42.0386279616871
OX371315.1	131442702	131442702	+	2.70940477998333e-06	0.00257393636549917	12.6309543495812
OX371316.1	53927015	53927015	-	1.33542057452493e-06	0.0021116830446709	-26.0310502730367
OX371316.1	255640193	255640193	+	7.95396040856105e-05	0.024115748120219	15.0805037462139
OX371316.1	280673869	280673869	+	0.000173171992813715	0.0334732973290962	13.0844763092269
OX371316.1	365581174	365581174	-	0.00035511757047557	0.0477398959087079	43.7205509242479
OX371317.1	136194843	136194843	+	6.14897261284782e-05	0.0208626004390276	10.8264453553749
OX371317.1	346690433	346690433	-	2.01031796579168e-05	0.0096483128830509	13.1473892927958
OX371317.1	346690589	346690589	-	0.000106705860448913	0.028147570484724	11.9422150882825
OX371318.1	492957266	492957266	-	0.0001048178712657	0.028147570484724	-11.5930882428344
OX371320.1	10587718	10587718	-	0.000193582564535401	0.0355983110770061	-10.1679549325298
OX371320.1	80689823	80689823	+	0.000176175124220036	0.0334732973290962	-18.4265099477812
OX371320.1	253299792	253299792	-	0.000359559661878163	0.0478853160156971	25.7572502685285
OX371320.1	253299818	253299818	-	1.16874263366179e-05	0.00669367248592707	-23.0097532113069
OX371320.1	288627354	288627354	+	0.000262444000862089	0.0397773527596835	10.2430402121078
OX371320.1	338443669	338443669	-	3.82596188289578e-06	0.00340749971733404	-11.3854021385402
OX371320.1	350500768	350500768	-	0.000349995289177511	0.0474993943436713	-11.4563106796116
OX371320.1	390353390	390353390	-	0.000230935677838626	0.0396486233961933	26.6311963226664
OX371320.1	434746341	434746341	+	2.57272962083163e-06	0.00257393636549917	-13.9358433364743
OX371321.1	355665747	355665747	-	1.33325492890033e-05	0.00730726777078895	-43.8445008638408
OX371321.1	355665803	355665803	-	0.000272850538965658	0.0400837416116152	15.5278835707208
OX371321.1	366986541	366986541	+	8.19311798078021e-09	0.000116752013984886	-18.3982683982684
OX371321.1	395893189	395893189	+	0.000238544025296139	0.0397773527596835	13.4644718976817
OX371322.1	70665061	70665061	+	1.55842249115885e-05	0.00793126294309104	-11.6024685513468
OX371322.1	89016248	89016248	+	0.000293892799519347	0.041465102591731	-17.2486620107039
OX371322.1	207522587	207522587	+	4.65412349149313e-05	0.0189489447900358	-10.6291678902983
OX371323.1	130742945	130742945	-	0.000250762529850566	0.0397773527596835	-12.994490180945
OX371323.1	457637885	457637885	-	4.60833212463239e-05	0.0189489447900358	14.814758463294
OX371323.1	471839699	471839699	+	4.65100810390318e-06	0.00389864190944119	-14.8080966891575
OX371324.1	14634465	14634465	-	0.000209761852623137	0.0373638564835787	14.2799403059321
OX371326.1	18469730	18469730	-	0.000251719353913616	0.0397773527596835	36.7648198372724
OX371326.1	25183118	25183118	-	2.98533701484523e-07	0.0010635270654116	-50.7936507936508
OX371326.1	52048571	52048571	+	5.54585204197685e-05	0.0197136822026237	-27.3592015238457
OX371326.1	85137435	85137435	-	0.00012074825253292	0.0296666175564385	20.0406819062379
OX371326.1	169741117	169741117	+	8.10787428154338e-06	0.00550177573379586	14.3025096327736
OX371326.1	176490794	176490794	-	3.58550966936479e-05	0.0154828936380962	15.1764705882353
OX371326.1	583996757	583996757	-	7.12956393180373e-05	0.0225769684542223	11.7548937485063
OX371327.1	67421325	67421325	-	0.000175116776081822	0.0334732973290962	12.5603432862507
OX371327.1	126757383	126757383	+	0.000146613117593611	0.0316551273734779	-10.8284991819128
