"AV241";"AV243";"AV244";"AV246";"AV249";"AV250";"AV251";"AV252";"AV253";"AV254";"AV256";"AV259";"AV260";"AV261";"AV262";"AV263A";"AV263B";"AV264B";"AV265";"AV266";"AV272";"AV273";"AV276";"AV278";"AV279";"AV280";"AV281";"AV282";"AV283";"AV284";"AV286";"AV287";"AV288";"AV289";"AV290";"AV291";"AV292";"AV293";"AV296";"AV297";"AV298";"AV299"
"375401";98.4126984126984;100;67.4242424242424;56.5333333333333;88.8888888888889;63.7404580152672;100;100;70.0934579439252;98.5130111524164;47.6190476190476;56.7164179104478;76;87.5;79.6019900497512;87.9432624113475;100;90.5138339920949;62.1359223300971;79.0697674418605;87.0967741935484;47.3118279569892;0;83.5106382978723;100;57.5342465753425;100;100;78.6163522012579;100;100;0;77.4193548387097;100;NA;24.6913580246914;64.9350649350649;100;100;100;81.3664596273292;0
"375461";60.655737704918;100;85.9375;60.4972375690608;70.4918032786885;73.4375;100;100;67.5925925925926;87.5;77.5510204081633;0;72.7272727272727;41.8803418803419;50.5263157894737;85;57.5;59.1439688715953;90.9090909090909;48.3443708609271;0;1.14942528735632;100;68.8524590163934;2.77777777777778;100;100;100;34.1935483870968;100;85.1063829787234;8.33333333333333;59.504132231405;68.75;NA;100;1.3986013986014;34.0659340659341;43.9393939393939;100;70.625;0
"375599";65.625;0;46.2686567164179;64.4562334217507;57.5268817204301;75.2851711026616;100;5.26315789473684;75;94.4444444444444;63.1578947368421;31.5789473684211;100;55;100;72.6315789473684;56.4516129032258;91.3857677902622;84.4660194174757;94.7807933194155;87.8787878787879;100;100;90.1041666666667;97.5;100;100;0;50;100;65.3465346534653;6.12244897959184;59.2;67.4418604651163;NA;56.25;100;100;100;100;100;100
"375668";72.0930232558139;100;100;100;87.3684210526316;100;68.5185185185185;100;90;100;87.6623376623377;97.7777777777778;100;100;93.1707317073171;91.5411355735805;74.4;100;80.9523809523809;100;100;100;100;100;100;75.3246753246753;100;100;100;100;82;100;100;100;NA;100;100;100;100;100;92.1212121212121;100
"375686";98.4496124031008;0;100;85.6396866840731;75.7894736842105;100;0;95;97.2477064220184;70.3971119133574;87.741935483871;97.7941176470588;76.9230769230769;68.5483870967742;100;67.7867902665122;74.4;100;53.8461538461538;88.8888888888889;100;100;100;89.2857142857143;100;100;100;100;100;100;100;100;76.3779527559055;100;NA;100;80.8917197452229;100;100;0;100;100
"298207";44.6808510638298;32.1428571428571;51.4285714285714;37.1428571428571;43.75;27.4725274725275;44.2307692307692;41.6666666666667;41.5841584158416;50.8771929824561;50;40.4255319148936;58.6666666666667;44.3548387096774;57.8947368421053;42.2222222222222;47.3684210526316;43.0555555555556;56.8181818181818;48.9583333333333;39.0243902439024;43.4210526315789;54.0540540540541;43.0722891566265;37.7358490566038;50.9523809523809;46.6019417475728;51.4851485148515;44.5887445887446;37.1287128712871;55.5;31.6129032258065;45.928338762215;36.4864864864865;34.6153846153846;35.2941176470588;45.1388888888889;59.0476190476191;39.0350877192982;59.2920353982301;52.2292993630573;36.7088607594937
"298272";64.5833333333333;75.8620689655172;60;51.1494252873563;57.1428571428571;41.7582417582418;46.1538461538462;50;64;53.9130434782609;44.6808510638298;31.9148936170213;66.6666666666667;53.7735849056604;71.0526315789474;50.3496503496503;66.4179104477612;42.3076923076923;66.6666666666667;47.9166666666667;70;38.3561643835616;45.045045045045;45.0746268656716;47.5;47.6190476190476;44.3396226415094;59.8039215686275;46.1206896551724;43.3497536945813;37.5;44.5161290322581;55.3398058252427;38.4615384615385;73.0769230769231;55.8823529411765;49.6575342465753;30.3921568627451;38.3620689655172;66.0550458715596;46.875;41.4634146341463
"298284";63.8297872340426;80;77.6119402985075;65.1162790697674;68.595041322314;66.6666666666667;65.3846153846154;53.3333333333333;70;76.1467889908257;66;63.8297872340426;76.056338028169;70.9401709401709;57.8947368421053;64.5390070921986;75;76.6233766233766;80.4347826086957;72.6315789473684;82.5;66.2162162162162;44.6428571428571;84.0490797546012;78.6163522012579;69.377990430622;82.3529411764706;78.1725888324873;76.1904761904762;83.5820895522388;78.974358974359;77.027027027027;80.2013422818792;66.6666666666667;80.7692307692308;73.8461538461538;79.7202797202797;56.6037735849057;70.0892857142857;79.4642857142857;75.3164556962025;79.4871794871795
"298389";85.4166666666667;76.6666666666667;80.8823529411765;85.8823529411765;81.1475409836066;54.8387096774194;82;64.5833333333333;82.2916666666667;83.3333333333333;85.1063829787234;78.7234042553192;84;74.7967479674797;60.5263157894737;77.3049645390071;76.4705882352941;66.2337662337662;70.8333333333333;75;66.6666666666667;67.1232876712329;85.5855855855856;78.0120481927711;62.4203821656051;73.0769230769231;69.6078431372549;65.3658536585366;67.8111587982833;70.6730769230769;64.6464646464647;74.8344370860927;78.4313725490196;57.1428571428571;34.6153846153846;55.8823529411765;76.2886597938144;66.6666666666667;76.5217391304348;93.75;58.75;70.7317073170732
"298404";91.6666666666667;89.6551724137931;92.5373134328358;86.1271676300578;84.5528455284553;71.7391304347826;93.8775510204082;95.8333333333333;90.9090909090909;85.5855855855856;92.156862745098;93.6170212765958;100;89.2561983471074;97.3684210526316;95.0354609929078;90;92.2077922077922;93.1818181818182;89.7959183673469;100;82.1917808219178;88.4955752212389;86.4457831325301;85.8064516129032;82.1256038647343;91.4285714285714;81.8181818181818;93.9393939393939;84.0796019900498;78.6802030456853;89.6103896103896;79.5454545454545;87.8378378378378;100;90.625;87.2413793103448;85.0467289719626;95.045045045045;96.4285714285714;85.3503184713376;91.4634146341463
