chr	start	end	strand	pvalue	qvalue	meth.diff
OX371314.1	1602198	1602198	+	0.000180289239101396	0.00652173958898994	-17.0616094226176
OX371314.1	26414334	26414334	-	0.000686506684762332	0.0165512115826835	-15.485388318857
OX371314.1	26414528	26414528	+	6.59344221406664e-09	1.6825095349439e-06	-30.2853037766831
OX371314.1	28559115	28559115	-	1.70822189957141e-06	0.000199954268702651	-19.5882461311717
OX371314.1	32646628	32646628	+	0.000277071130007191	0.00873333183508384	-12.3244080041282
OX371314.1	32681442	32681442	+	0.00235755335139615	0.0376869471233682	-22.1929045571577
OX371314.1	55677959	55677959	-	3.36214633648765e-05	0.00188544362244275	-17.2628144231961
OX371314.1	55677965	55677965	+	5.08837648110122e-05	0.0025769199042738	11.5850476124826
OX371314.1	55678107	55678107	+	0.00323995590955874	0.0470074591004159	12.7374033190659
OX371314.1	55678108	55678108	+	3.6868412380109e-05	0.00203398433917109	19.7959919358069
OX371314.1	67380217	67380217	-	0.00232419623645609	0.0374672739629861	22.8997875170591
OX371314.1	86542892	86542892	+	1.55674296433773e-05	0.0010501035572989	-18.8121776116267
OX371314.1	91198929	91198929	-	0.000192731997649873	0.00685137717072655	-15.4310830609715
OX371314.1	91198957	91198957	-	0.00211761375024726	0.0350819658334645	-12.3072591822592
OX371314.1	105877487	105877487	+	0.00167218538503617	0.0304117133667173	12.2038784067086
OX371314.1	105877513	105877513	+	0.000648115288972346	0.0160037935903441	10.5266887104393
OX371314.1	105877552	105877552	+	0.000520882779356111	0.0137944348094538	10.6800457416012
OX371314.1	105877644	105877644	+	4.79968854070511e-06	0.000414689577856588	-18.9655593005338
OX371314.1	133892319	133892319	-	0.000496229809614831	0.0132804496113568	-33.0305093400281
OX371314.1	142773109	142773109	+	4.75772393354711e-08	9.43465862279001e-06	-15.1617873651772
OX371314.1	194088774	194088774	+	0.0025827853609275	0.0401418515466967	-12.2241086587436
OX371314.1	194088824	194088824	+	0.000334938477223818	0.010014119338653	-14.3581081081081
OX371314.1	194088976	194088976	+	0.00140765296896981	0.0270270961270495	-17.4789915966387
OX371314.1	320484158	320484158	-	0.00207017911292164	0.0346272393140022	-10.542885336491
OX371314.1	335322386	335322386	+	0.00280681864026752	0.0423442695787202	-10.9907448071699
OX371314.1	343900045	343900045	+	2.20744196047676e-05	0.00137883950709102	-29.7376817658751
OX371314.1	343900072	343900072	+	0.000732493682647624	0.0172788943386407	-23.6663492761054
OX371314.1	345780752	345780752	-	2.83151340770155e-05	0.00167640470446881	-21.5686096867129
OX371314.1	348043703	348043703	-	0.0020204910418019	0.0340619300514322	-38.5708628214085
OX371314.1	355142277	355142277	-	0.000268068528829843	0.00850946222292747	-16.636000404084
OX371314.1	367008014	367008014	-	0.000133240263161455	0.00519670513398544	-20.738085040003
OX371314.1	386411510	386411510	-	1.9032189014581e-07	3.10150447977217e-05	-10.7178340784898
OX371314.1	386411692	386411692	-	8.84458612266676e-06	0.000658576354255952	-10.5034722222222
OX371314.1	387345371	387345371	+	0.000384212854146643	0.0111040959649291	11.3128986534373
OX371314.1	387345532	387345532	+	0.000198746514197073	0.00697757180050838	16.0970231532525
OX371314.1	393228697	393228697	+	0.0035054339498969	0.0496097590987924	-13.7071006670401
OX371314.1	395515177	395515177	-	0.000539779391337016	0.0141694764209226	-22.6086231340172
OX371314.1	400688235	400688235	+	0.000599793664251165	0.0152346300479029	-24.1896939513214
OX371314.1	403600635	403600635	-	0.000212143427402437	0.00724415254936543	-27.2679142993713
OX371314.1	404041471	404041471	+	1.2097059241927e-10	4.32839633082569e-08	20.9825097120821
