CHG;LD;Loading
375401;LD1;0.000169701740872656
375461;LD1;0.000142369321250576
375599;LD1;0.000300370300937687
375668;LD1;1.5140733329111e-05
375686;LD1;0.000309047389111974
298207;LD1;2.67014232672059e-07
298272;LD1;4.89764018117888e-05
298284;LD1;1.61384887706175e-05
298389;LD1;2.92949509961037e-05
298404;LD1;4.28828057536878e-06
298443;LD1;1.72660137075036e-06
298473;LD1;8.60809682729052e-06
219259;LD1;3.24691966237773e-05
219292;LD1;0.000166596903216147
219322;LD1;6.66921658653752e-06
219331;LD1;3.57004245942925e-05
219361;LD1;0.000149783551419473
219376;LD1;0.000242761988562143
83035;LD1;1.78138512322776e-07
83041;LD1;2.09053214309757e-06
83065;LD1;1.00176936148359e-06
16379;LD1;0.000161787093191673
16471;LD1;1.36010621370229e-05
16473;LD1;1.15893972856262e-05
16504;LD1;0.000163332680342748
60123;LD1;1.02513315991178e-07
60129;LD1;1.47080680202331e-05
60153;LD1;6.07898535883881e-06
60156;LD1;1.60358314614428e-06
27553;LD1;4.02071979574039e-08
28570;LD1;2.95813013959518e-07
28601;LD1;2.19143549416014e-06
28637;LD1;9.84393987601093e-07
20717;LD1;2.61748795104728e-05
20777;LD1;6.70913441684214e-05
20782;LD1;1.66924052626552e-05
20795;LD1;2.52878834826032e-05
20804;LD1;5.18368330041799e-09
20900;LD1;5.36208862319544e-05
20954;LD1;7.41173989994413e-08
20984;LD1;0.000119632288212238
21017;LD1;1.53791732206532e-05
38350;LD1;2.15242102291288e-07
38381;LD1;4.47553680312776e-08
10802;LD1;6.57282445177863e-05
10829;LD1;7.76114558050112e-05
10834;LD1;0.000120587299426148
10838;LD1;0.00014326534944791
11010;LD1;5.66572627221641e-05
42960;LD1;3.64069166800348e-06
43207;LD1;1.43263732462075e-06
626;LD1;8.23452965512866e-06
631;LD1;3.0690959443602e-07
745;LD1;4.15901973360281e-06
803;LD1;9.22727202729267e-05
840;LD1;2.38920347948347e-06
878;LD1;2.09426271823971e-05
901;LD1;2.3880878059287e-05
11876;LD1;8.76245002834825e-06
12042;LD1;1.67173704638982e-06
4983;LD1;1.28323361702713e-05
5014;LD1;1.19336834372377e-07
5109;LD1;3.93566619424795e-06
1471;LD1;1.40002884823146e-06
1503;LD1;6.55913731464636e-06
320;LD1;5.34070744952267e-08
349;LD1;4.88350762498099e-07
1349;LD1;1.96640475493002e-06
1385;LD1;2.24572341130199e-06
1416;LD1;1.3864909559485e-07
2405;LD1;6.34608018439494e-08
2457;LD1;7.31401202037399e-07
2468;LD1;4.97767242445211e-07
1473936;LD1;3.45927080367623e-07
1473996;LD1;0.000122324289843709
1474001;LD1;3.48750710762413e-05
1474014;LD1;2.77481830142494e-05
1474119;LD1;0.000216012707706379
1474134;LD1;1.01789216269088e-05
1474164;LD1;0.000152116951426894
1474173;LD1;6.56140856675011e-06
1474203;LD1;0.00010807682344865
1474236;LD1;2.0636382735343e-06
1601943;LD1;2.65603468864966e-06
1602003;LD1;1.88139950390387e-05
1602008;LD1;3.41990589397544e-06
1602021;LD1;4.67174468755474e-06
1602030;LD1;4.23770119143945e-07
1602126;LD1;0.000182034346934659
1602141;LD1;7.52513490950176e-07
1602171;LD1;1.00956543275126e-06
1602180;LD1;1.61029563319257e-07
1602210;LD1;0.000148490486864641
1602243;LD1;1.89853312978857e-05
2536456;LD1;2.54750941143928e-08
2536516;LD1;8.9611981075843e-05
2536521;LD1;4.81459547920545e-05
2536534;LD1;1.2446387639471e-05
2536543;LD1;4.10777328947014e-05
2536639;LD1;1.71896725653138e-05
2536654;LD1;1.03132278534826e-05
2536684;LD1;2.64944912690121e-05
2536693;LD1;0.000138820762815112
2536723;LD1;2.40515471272634e-05
2536756;LD1;4.20839430646993e-06
7491166;LD1;0.00011329427355848
7491182;LD1;1.71374920686995e-05
7491240;LD1;6.99184085344754e-07
7491295;LD1;1.41570781676289e-06
14737661;LD1;4.05480933998214e-06
