CHH;LD;Loading
14835178;LD1;0.000155233534729934
14835390;LD1;0.000114768666952971
16754425;LD1;2.98899408361579e-11
16754426;LD1;2.83748960862406e-09
16754438;LD1;2.13522267275729e-08
16754445;LD1;2.23143110918983e-08
16754452;LD1;1.92671429451923e-09
16754455;LD1;1.4704424385654e-10
16754466;LD1;5.50965023060605e-08
16754470;LD1;8.10740150586908e-08
16754474;LD1;1.64400549866001e-09
16754488;LD1;4.01499301608433e-08
16754489;LD1;5.44336658639775e-12
16754491;LD1;4.13987754052889e-09
16754495;LD1;6.90837372158657e-09
16754501;LD1;1.54293253611155e-08
16754506;LD1;2.92293657239218e-08
16754507;LD1;5.43272775780257e-10
16754516;LD1;1.87391221979957e-08
16754517;LD1;5.487949562183e-08
16754518;LD1;3.88763966574904e-11
16754526;LD1;1.59255836711825e-08
16754527;LD1;2.05980794224243e-08
16754546;LD1;4.98259551723364e-09
16754551;LD1;1.61331008725271e-09
16754575;LD1;7.77548045939286e-11
16754577;LD1;2.32696124229727e-08
16754583;LD1;2.08083298578862e-09
16754590;LD1;7.15965351666787e-08
16754609;LD1;2.7331133727784e-09
16754612;LD1;2.36718942164325e-08
16754613;LD1;1.1601850485159e-08
16754616;LD1;2.36880307662647e-09
16754623;LD1;5.05146983548103e-09
16754640;LD1;4.86853550747652e-09
16754654;LD1;2.02234388290779e-08
16754658;LD1;2.91851593385855e-08
16754659;LD1;5.9326049534389e-13
16754661;LD1;2.76504122564124e-08
16754666;LD1;1.07426366916397e-12
16754674;LD1;3.21494001557706e-08
16754676;LD1;4.37222315501864e-10
16754680;LD1;3.59760509245328e-09
16754681;LD1;7.91081439081451e-09
16754686;LD1;4.1185251371008e-08
16754695;LD1;7.27567927893618e-08
19870985;LD1;5.31186612938242e-11
19870987;LD1;2.87263413322024e-08
19870994;LD1;1.07726628937725e-08
19870995;LD1;1.20533646272085e-10
19870996;LD1;6.04914760851376e-10
19870997;LD1;4.37165592015302e-09
19871012;LD1;2.6042102476526e-09
19871016;LD1;2.17399042089166e-09
19871026;LD1;1.63057834656648e-11
19871032;LD1;8.79320501998818e-09
19871035;LD1;3.21071452807468e-13
19871041;LD1;5.11258182429528e-08
19871042;LD1;4.93594143164898e-10
19871044;LD1;1.52505945420907e-08
19871047;LD1;6.7595439635267e-10
19871050;LD1;2.59270390977935e-07
19871056;LD1;9.50543167234857e-09
19871058;LD1;3.77743008181905e-09
19871064;LD1;1.22155600729636e-08
19871068;LD1;2.54938468118236e-08
19871072;LD1;3.62700144427392e-10
19871078;LD1;2.0041898046334e-10
19871089;LD1;7.83780588510356e-09
19871091;LD1;2.65137038142268e-08
19871111;LD1;1.1413757283038e-08
19871112;LD1;9.82434774731821e-07
19871116;LD1;2.74885284283095e-07
19871141;LD1;1.73875977819628e-08
19871143;LD1;5.91875723458825e-08
19871148;LD1;1.02104154702151e-10
19871157;LD1;1.87116788339779e-10
19871158;LD1;5.52299891754016e-08
19871162;LD1;1.57258151114511e-07
19871174;LD1;1.93181939845547e-08
19871176;LD1;3.59959243062355e-08
19871186;LD1;1.1970440011734e-09
19871187;LD1;2.92053507987586e-07
19871196;LD1;4.85559277146258e-09
