start	chr	end	strand	pvalue	qvalue	meth.diff	contig_id
17489585	Plantago_genome	17489585	+	0.000312836763370609	0.0445222112453223	-10.3669693039343	Plantago_64300
23777986	Plantago_genome	23777986	-	9.8930695114344e-06	0.00534896097392461	-48.6049066068769	Plantago_87429
56923597	Plantago_genome	56923597	-	0.000379935111460504	0.0485603306798222	13.6154855643045	Plantago_209361
60995320	Plantago_genome	60995320	-	2.00868020885882e-05	0.00762322037598157	11.2446076493814	Plantago_224340
64437524	Plantago_genome	64437524	-	0.000111462840634804	0.024172397780524	-33.1895780051151	Plantago_237024
72863286	Plantago_genome	72863286	-	1.97479953851938e-06	0.00293083302670348	13.0936462673483	Plantago_268152
89774239	Plantago_genome	89774239	-	2.98444136613185e-05	0.0093735471643164	-55.1298522290476	Plantago_330732
89774323	Plantago_genome	89774323	-	1.27031512014991e-05	0.00578522677634939	-49.5796374449671	Plantago_330732
102880788	Plantago_genome	102880788	+	0.000224509642845263	0.0365162261353976	-20.8661417322835	Plantago_379273
102880862	Plantago_genome	102880862	+	0.000178889952717399	0.0341527384056846	-21.1305831265509	Plantago_379273
102880875	Plantago_genome	102880875	+	2.94710485107677e-05	0.0093735471643164	-40.625	Plantago_379273
102880877	Plantago_genome	102880877	+	1.05193190108622e-05	0.00534896097392461	-24.4635193133047	Plantago_379273
107812058	Plantago_genome	107812058	-	5.94667132117855e-05	0.0146389904370454	16.8146015535879	Plantago_397403
128427324	Plantago_genome	128427324	+	1.24250969687384e-05	0.00578522677634939	10.0960325429314	Plantago_473195
128427385	Plantago_genome	128427385	+	7.0094672046592e-06	0.00440759953426634	10.2329412130348	Plantago_473195
128427435	Plantago_genome	128427435	+	4.25096750745211e-06	0.00351992991336754	10.0011870845204	Plantago_473195
141901839	Plantago_genome	141901839	-	0.000374291319244858	0.0485603306798222	10.9640421280453	Plantago_522733
149423742	Plantago_genome	149423742	+	7.25862686338465e-06	0.00440759953426634	19.1204588910134	Plantago_550387
190923628	Plantago_genome	190923628	-	0.000375467887195903	0.0485603306798222	-22.573128223501	Plantago_703162
194575368	Plantago_genome	194575368	-	2.53300530054704e-06	0.00293083302670348	27.7680991095625	Plantago_716587
194934230	Plantago_genome	194934230	-	0.000344756024844981	0.047578072620652	-56.6905730772577	Plantago_717907
194934304	Plantago_genome	194934304	-	0.000246837294876317	0.0387633855315825	-38.2458147031299	Plantago_717907
194934377	Plantago_genome	194934377	-	0.000383862083324487	0.0485603306798222	-59.9488154571558	Plantago_717907
197124968	Plantago_genome	197124968	+	1.97343772392633e-06	0.00293083302670348	45.4071798003702	Plantago_725961
198904366	Plantago_genome	198904366	-	6.93574688410115e-06	0.00440759953426634	16.9947926126256	Plantago_732503
199960785	Plantago_genome	199960785	-	0.00030324877046562	0.0445222112453223	18.2943909271025	Plantago_736387
202304838	Plantago_genome	202304838	-	2.37816234527228e-06	0.00293083302670348	-18.0028682751006	Plantago_745005
202551928	Plantago_genome	202551928	-	3.21615742128508e-05	0.00976461128184608	10.1215148789739	Plantago_745913
204141793	Plantago_genome	204141793	-	0.000169753564068839	0.0336124357839206	21.5730842537676	Plantago_751758
205063776	Plantago_genome	205063776	-	0.00021693314221534	0.0359927650940659	16.1111111111111	Plantago_755148
205317012	Plantago_genome	205317012	-	0.000290234059251597	0.0440591426058327	-14.8219648219648	Plantago_756079
206538050	Plantago_genome	206538050	-	4.44314171218244e-05	0.0122635199278167	14.2842902711324	Plantago_760568
207363924	Plantago_genome	207363924	-	1.46296428793323e-05	0.0062722028856134	20.6056777906446	Plantago_763604
207524445	Plantago_genome	207524445	-	8.48791644197775e-05	0.0193276930647535	20.0050571592074	Plantago_764194
207553717	Plantago_genome	207553717	+	1.51496940695511e-05	0.0062722028856134	13.2336314112447	Plantago_764302
211915955	Plantago_genome	211915955	+	0.00015443934238974	0.0319701138696943	45.0404763110491	Plantago_780340
212232703	Plantago_genome	212232703	+	0.000275486918257827	0.0425292657705939	17.0400620119865	Plantago_781504
212232781	Plantago_genome	212232781	+	0.000179981494251366	0.0341527384056846	15.9734768402845	Plantago_781504
214953948	Plantago_genome	214953948	-	2.81405436735118e-05	0.0093735471643164	-52.0319615087207	Plantago_791509
214954792	Plantago_genome	214954792	-	0.000217339661135256	0.0359927650940659	15.2668324382189	Plantago_791512
215377349	Plantago_genome	215377349	-	0.000204512645371081	0.0354450076492753	10.6842671996406	Plantago_793065
215685141	Plantago_genome	215685141	-	0.000355816871941877	0.0483708835002195	14.2249659712904	Plantago_794197
217075400	Plantago_genome	217075400	+	0.000194806220220944	0.0354450076492753	10.6666194222002	Plantago_799308
