chr	start	end	strand	pvalue	qvalue	meth.diff	contig_id	CTXT
OX371314.1	325954091	325954091	-	9.07597320144967e-05	0.042250296557775	-11.6755416472132	OX371314.1_325954091	CpG
OX371316.1	201341699	201341699	-	0.000131098377923619	0.0461436252968776	-24.449594438007	OX371316.1_201341699	CpG
OX371316.1	394517510	394517510	-	0.000127502805327857	0.0460000177782264	-24.3853630646083	OX371316.1_394517510	CpG
OX371316.1	403797343	403797343	-	0.000147001005208098	0.049334428263021	27.47375411527	OX371316.1_403797343	CpG
OX371317.1	326982901	326982901	+	1.77162415207491e-07	0.00127832077548769	-10.7606973058637	OX371317.1_326982901	CpG
OX371318.1	136036269	136036269	+	6.89131157729714e-05	0.0395354472569386	-24.9397186560286	OX371318.1_136036269	CpG
OX371318.1	316964219	316964219	-	5.09589205194188e-05	0.0334268759288709	10.546875	OX371318.1_316964219	CpG
OX371318.1	380625758	380625758	+	9.45559820589688e-05	0.0426419721174551	11.2451534605373	OX371318.1_380625758	CpG
OX371319.1	62595421	62595421	-	8.13310660993886e-06	0.011736935440358	14.6281250575729	OX371319.1_62595421	CpG
OX371320.1	301026236	301026236	-	3.09837425398951e-06	0.00894256532791611	10.0108651581484	OX371320.1_301026236	CpG
OX371326.1	77037735	77037735	-	7.15501011376112e-05	0.0395354472569386	-16.453201043769	OX371326.1_77037735	CpG
OX371326.1	453379489	453379489	-	8.61002987654638e-05	0.042250296557775	14.0577027762656	OX371326.1_453379489	CpG
OX371314.1	64241349	64241349	+	1.43830884261842e-05	0.0145569446128845	-11.9099585953381	OX371314.1_64241349	CHG
OX371314.1	318204241	318204241	+	8.26809325339975e-05	0.0424974022179968	18.3987958715596	OX371314.1_318204241	CHG
OX371314.1	498077040	498077040	+	1.10229576334086e-06	0.00223123961954632	-25.9840201813562	OX371314.1_498077040	CHG
OX371315.1	23655022	23655022	-	0.000101687672943803	0.0460121793498879	-10.9801750584533	OX371315.1_23655022	CHG
OX371316.1	387117318	387117318	+	4.99568996628006e-07	0.00151682267370114	-19.1414769629226	OX371316.1_387117318	CHG
OX371317.1	106656215	106656215	+	2.55680957546423e-05	0.0194078633911312	-28.8176315015017	OX371317.1_106656215	CHG
OX371317.1	334161149	334161149	+	8.24316342008983e-07	0.00200227272116752	-21.1604384782092	OX371317.1_334161149	CHG
OX371318.1	391877884	391877884	-	7.33912944780519e-06	0.0111417622258372	-18.993417355185	OX371318.1_391877884	CHG
OX371319.1	310468375	310468375	-	4.88011516823254e-05	0.0329273584381374	-12.853164556962	OX371319.1_310468375	CHG
OX371320.1	75812370	75812370	-	8.61796106185009e-05	0.0424974022179968	-13.1120104457478	OX371320.1_75812370	CHG
OX371320.1	127735689	127735689	+	8.70520642657505e-06	0.0117472413008494	-24.0719910011249	OX371320.1_127735689	CHG
OX371320.1	194678931	194678931	-	8.66195061940787e-05	0.0424974022179968	-37.6953125	OX371320.1_194678931	CHG
OX371320.1	194679219	194679219	-	4.09281723138195e-05	0.0292396894018088	74.0576230492197	OX371320.1_194679219	CHG
OX371320.1	450969588	450969588	-	5.29208991211168e-05	0.0338277364525604	-18.0555615925143	OX371320.1_450969588	CHG
OX371322.1	182672117	182672117	-	1.94954154085326e-07	0.000789242682511895	-41.6488074943581	OX371322.1_182672117	CHG
OX371322.1	358904910	358904910	-	1.64938312759656e-05	0.0154091087591065	-14.7303505377193	OX371322.1_358904910	CHG
OX371322.1	387559852	387559852	-	1.08610069608507e-05	0.0131907478075238	-35.9265119743654	OX371322.1_387559852	CHG
OX371324.1	283508085	283508085	-	6.86945531193587e-05	0.0417149408528244	-18.5620479634564	OX371324.1_283508085	CHG
OX371324.1	406082828	406082828	-	7.2382585136511e-05	0.0418614358175736	-18.348623853211	OX371324.1_406082828	CHG
OX371326.1	91731225	91731225	-	2.19069138930764e-05	0.0190043268315147	13.7749357353785	OX371326.1_91731225	CHG
OX371326.1	174438334	174438334	-	1.62367120216529e-08	0.000197195687538936	-23.7547892720307	OX371326.1_174438334	CHG
OX371326.1	366009749	366009749	-	1.2527999358625e-05	0.0138321077216128	41.858043730232	OX371326.1_366009749	CHG
OX371326.1	383628319	383628319	-	8.74788503356248e-05	0.0424974022179968	19.471441885235	OX371326.1_383628319	CHG
OX371326.1	440232624	440232624	-	1.91242613390165e-06	0.00331807314048773	11.6275504769031	OX371326.1_440232624	CHG
OX371314.1	343899831	343899831	-	8.53770960992792e-05	0.02368876175133	-11.800602130616	OX371314.1_343899831	CHH
OX371314.1	481140416	481140416	-	0.00035775195401741	0.0492691966451865	-16.8666419609296	OX371314.1_481140416	CHH
OX371314.1	519916690	519916690	-	0.000333607043129798	0.0476248642416412	-18.4261603375527	OX371314.1_519916690	CHH
OX371314.1	519916719	519916719	-	3.54803562939725e-06	0.00487761324533514	-18.8519247742549	OX371314.1_519916719	CHH
OX371314.1	519916747	519916747	-	3.69882985455494e-08	0.000583720946874096	-11.0517764185994	OX371314.1_519916747	CHH
OX371315.1	12262343	12262343	-	0.000188936565052237	0.0368618525192176	-16.1169230769231	OX371315.1_12262343	CHH
OX371315.1	23654763	23654763	-	5.24817722540541e-06	0.00607435734973642	11.2123055450913	OX371315.1_23654763	CHH
OX371315.1	55609461	55609461	-	0.000188407222910012	0.0368618525192176	-17.8289203612479	OX371315.1_55609461	CHH
OX371315.1	90166267	90166267	+	9.34314637966564e-06	0.00784702026607307	-11.4352599289635	OX371315.1_90166267	CHH
OX371316.1	74026935	74026935	+	0.000192115945019247	0.0370960152363731	-13.1607365547684	OX371316.1_74026935	CHH
OX371316.1	102172924	102172924	+	0.000171800704373587	0.0353568090755328	-10.4382956411116	OX371316.1_102172924	CHH
OX371316.1	134811807	134811807	-	0.000286415914427098	0.0455812923762317	16.4716760323586	OX371316.1_134811807	CHH
OX371316.1	149748695	149748695	+	1.16077273287103e-06	0.00313572156209654	15.8818937269524	OX371316.1_149748695	CHH
OX371316.1	149748828	149748828	+	9.45912994896484e-07	0.00279371582268943	11.6319444444444	OX371316.1_149748828	CHH
OX371316.1	149748868	149748868	+	9.54618456385398e-07	0.00279371582268943	11.7957746478873	OX371316.1_149748868	CHH
OX371316.1	149748875	149748875	+	8.52514489816303e-07	0.00279371582268943	11.3989637305699	OX371316.1_149748875	CHH
OX371316.1	149748876	149748876	+	9.1656042232251e-07	0.00279371582268943	11.5916955017301	OX371316.1_149748876	CHH
OX371316.1	149748894	149748894	+	1.61030411734722e-05	0.00958494308976993	11.5617486751507	OX371316.1_149748894	CHH
OX371316.1	201341797	201341797	-	0.000299043558128186	0.0459515356493677	10.1045296167247	OX371316.1_201341797	CHH
OX371316.1	284125665	284125665	+	1.86982035273965e-06	0.0034560492972007	-18.7604690117253	OX371316.1_284125665	CHH
OX371316.1	345890094	345890094	+	0.000173168088633768	0.0353568090755328	21.3662790697674	OX371316.1_345890094	CHH
OX371316.1	367826995	367826995	-	2.47608056006444e-05	0.0129784734995075	-10.8529749442831	OX371316.1_367826995	CHH
OX371316.1	403797417	403797417	-	0.000202615332090873	0.0384622090679583	13.6437642461739	OX371316.1_403797417	CHH
OX371316.1	430557383	430557383	+	0.000290248533261971	0.0457086945156872	-19.8852772466539	OX371316.1_430557383	CHH
OX371318.1	7091147	7091147	-	8.25758674396858e-05	0.023357261051815	16.0499239450279	OX371318.1_7091147	CHH
OX371318.1	85488571	85488571	-	8.00625337881306e-05	0.0232368688566769	10.7676630434783	OX371318.1_85488571	CHH
OX371318.1	168097077	168097077	-	0.000229474413997547	0.0409073823674642	-10.9828401013494	OX371318.1_168097077	CHH
OX371318.1	230330186	230330186	-	7.32748207651578e-05	0.0225871042100923	22.248333853526	OX371318.1_230330186	CHH
OX371318.1	316964228	316964228	-	0.000206132861987078	0.0389195612576127	-39.3459992692729	OX371318.1_316964228	CHH
OX371318.1	391878013	391878013	-	1.45615782125969e-06	0.0033592940662959	14.5561312607945	OX371318.1_391878013	CHH
OX371318.1	459073444	459073444	+	0.00031990972763903	0.046616970908633	-10.590732362988	OX371318.1_459073444	CHH
OX371319.1	17439889	17439889	-	6.21804613321793e-05	0.022057302138515	12.3509259139101	OX371319.1_17439889	CHH
OX371319.1	343788785	343788785	+	3.53853142994271e-05	0.0158020314796473	-13.2481630543145	OX371319.1_343788785	CHH
OX371319.1	343788809	343788809	+	7.27153366775935e-05	0.0225871042100923	-10.5461121632133	OX371319.1_343788809	CHH
OX371319.1	416891372	416891372	+	7.24280149138578e-05	0.0225871042100923	-11.7880601978881	OX371319.1_416891372	CHH
OX371319.1	477777751	477777751	-	0.000143770240249591	0.030786392171032	-17.2729823487399	OX371319.1_477777751	CHH
OX371319.1	477777757	477777757	-	6.11470922887112e-07	0.00279371582268943	-22.1028458788227	OX371319.1_477777757	CHH
OX371319.1	477777770	477777770	-	0.000300663634561836	0.0459515356493677	-13.8310679916236	OX371319.1_477777770	CHH
OX371319.1	477777827	477777827	-	4.65065513025832e-07	0.00279371582268943	-23.5213204951857	OX371319.1_477777827	CHH
