CHH;LD;Loading
375418;LD1;5.1380112618338e-05
375420;LD1;0.000142528936404327
375436;LD1;7.6557585272927e-06
375464;LD1;5.00699050719274e-06
375487;LD1;3.5062002700143e-07
375493;LD1;8.13960482320298e-08
375578;LD1;3.35117309866058e-06
375581;LD1;9.30324363897152e-09
375612;LD1;6.02639087941386e-07
375627;LD1;9.2807409437803e-07
375636;LD1;0.000326234506547436
375637;LD1;8.24440342394538e-05
375638;LD1;4.52813692368343e-06
375644;LD1;6.78669616449865e-05
375656;LD1;4.49790841591743e-05
375666;LD1;2.06929488349431e-05
375667;LD1;2.07077155688016e-06
375675;LD1;1.23982269754977e-05
375685;LD1;1.4566598056521e-05
298177;LD1;7.50911198732009e-10
298179;LD1;1.67863836293429e-07
298185;LD1;4.46802298178821e-07
298201;LD1;3.83255229218543e-06
298218;LD1;1.97583534944528e-06
298230;LD1;1.30084476057931e-07
298233;LD1;0.000146669481280877
298236;LD1;4.53033711930387e-05
298254;LD1;3.98544103610677e-07
298258;LD1;5.56472989765831e-08
298261;LD1;1.17216735065866e-08
298278;LD1;3.62730205739433e-07
298286;LD1;4.09210901408547e-07
298287;LD1;3.34950066144819e-07
298393;LD1;3.70478957164277e-06
298394;LD1;3.34418064943281e-08
298398;LD1;6.18078267201003e-07
298411;LD1;6.01914874976119e-07
298413;LD1;4.92685491986361e-07
298421;LD1;3.18412596404512e-06
298422;LD1;3.31901562109186e-06
298424;LD1;7.50876618994101e-08
298425;LD1;1.50935651279396e-06
298437;LD1;3.06411566461391e-06
298452;LD1;2.68837218278745e-06
298455;LD1;1.20795896660231e-07
298463;LD1;3.21127938969113e-06
298466;LD1;1.09598189624611e-06
298468;LD1;1.66438708714849e-06
298487;LD1;8.23827350401097e-09
298494;LD1;3.42039388663952e-07
219267;LD1;1.28010124062627e-05
219268;LD1;1.83660795473152e-06
219275;LD1;1.25588575752026e-06
219294;LD1;1.19993333418501e-06
219316;LD1;1.04963464926751e-07
219333;LD1;1.15514022500931e-06
219348;LD1;1.65480776663492e-06
219379;LD1;3.83280935278424e-05
219482;LD1;9.32708034362224e-06
219496;LD1;1.06825898992629e-06
219520;LD1;3.52239605305745e-06
219523;LD1;3.98354172407017e-07
219524;LD1;2.64369407031577e-06
219590;LD1;1.54284056934372e-05
83060;LD1;1.61264211603421e-06
83069;LD1;6.05525765510071e-08
83096;LD1;8.59557750268322e-07
83099;LD1;1.5726240557592e-05
83118;LD1;5.75748339260254e-06
83129;LD1;5.59925300545249e-07
83204;LD1;4.78433740115643e-08
83218;LD1;4.17676096979226e-07
83235;LD1;1.09222007039252e-06
83259;LD1;4.49432034402174e-07
193185;LD1;1.36626543525212e-05
16354;LD1;1.34221195150719e-06
16372;LD1;2.90524419842553e-07
16373;LD1;9.69159764321117e-07
16380;LD1;2.32569453553424e-07
16381;LD1;1.317276132654e-06
16408;LD1;3.21216190167572e-06
16441;LD1;2.88599842791205e-05
16442;LD1;8.65731136896254e-06
16443;LD1;3.70576386299309e-06
16445;LD1;8.15612938677953e-06
16448;LD1;1.26074704370999e-05
16449;LD1;4.85285048008348e-05
16451;LD1;3.11930144943254e-07
16455;LD1;2.31845800573037e-05
16456;LD1;2.79288283631686e-05
16457;LD1;1.62325606419488e-05
16461;LD1;2.30766443702951e-05
16462;LD1;2.6756935022773e-06
16464;LD1;1.02493722247669e-05
16467;LD1;3.36935666711611e-08
16468;LD1;5.79488745762096e-06
16479;LD1;7.94975029138467e-06
16480;LD1;3.0086317802619e-05
16488;LD1;9.24664816121424e-07
16508;LD1;3.68730531959755e-07
60130;LD1;3.07357706230118e-06
60131;LD1;2.63895561573201e-06
60132;LD1;3.91334807855931e-06
60148;LD1;4.97975304632467e-07
60157;LD1;3.4127713079638e-06
60178;LD1;2.80028715261008e-06
60184;LD1;1.0886864521651e-06
60187;LD1;4.84564155480756e-06
60206;LD1;4.86193747062336e-06
60217;LD1;1.94531818131324e-07
60265;LD1;1.86648380292168e-06
60293;LD1;1.51469682627554e-06
60307;LD1;2.66338456950054e-07
60324;LD1;2.03315273685074e-06
60349;LD1;4.13295772442926e-07
27548;LD1;3.06630681699423e-06
