chr	start	end	strand	pvalue	qvalue	meth.diff
OX371314.1	64241349	64241349	+	1.43830884261842e-05	0.0145569446128845	-11.9099585953381
OX371314.1	318204241	318204241	+	8.26809325339975e-05	0.0424974022179968	18.3987958715596
OX371314.1	498077040	498077040	+	1.10229576334086e-06	0.00223123961954632	-25.9840201813562
OX371315.1	23655022	23655022	-	0.000101687672943803	0.0460121793498879	-10.9801750584533
OX371316.1	387117318	387117318	+	4.99568996628006e-07	0.00151682267370114	-19.1414769629226
OX371317.1	106656215	106656215	+	2.55680957546423e-05	0.0194078633911312	-28.8176315015017
OX371317.1	334161149	334161149	+	8.24316342008983e-07	0.00200227272116752	-21.1604384782092
OX371318.1	391877884	391877884	-	7.33912944780519e-06	0.0111417622258372	-18.993417355185
OX371319.1	310468375	310468375	-	4.88011516823254e-05	0.0329273584381374	-12.853164556962
OX371320.1	75812370	75812370	-	8.61796106185009e-05	0.0424974022179968	-13.1120104457478
OX371320.1	127735689	127735689	+	8.70520642657505e-06	0.0117472413008494	-24.0719910011249
OX371320.1	194678931	194678931	-	8.66195061940787e-05	0.0424974022179968	-37.6953125
OX371320.1	194679219	194679219	-	4.09281723138195e-05	0.0292396894018088	74.0576230492197
OX371320.1	450969588	450969588	-	5.29208991211168e-05	0.0338277364525604	-18.0555615925143
OX371322.1	182672117	182672117	-	1.94954154085326e-07	0.000789242682511895	-41.6488074943581
OX371322.1	358904910	358904910	-	1.64938312759656e-05	0.0154091087591065	-14.7303505377193
OX371322.1	387559852	387559852	-	1.08610069608507e-05	0.0131907478075238	-35.9265119743654
OX371324.1	283508085	283508085	-	6.86945531193587e-05	0.0417149408528244	-18.5620479634564
OX371324.1	406082828	406082828	-	7.2382585136511e-05	0.0418614358175736	-18.348623853211
OX371326.1	91731225	91731225	-	2.19069138930764e-05	0.0190043268315147	13.7749357353785
OX371326.1	174438334	174438334	-	1.62367120216529e-08	0.000197195687538936	-23.7547892720307
OX371326.1	366009749	366009749	-	1.2527999358625e-05	0.0138321077216128	41.858043730232
OX371326.1	383628319	383628319	-	8.74788503356248e-05	0.0424974022179968	19.471441885235
OX371326.1	440232624	440232624	-	1.91242613390165e-06	0.00331807314048773	11.6275504769031
