chr	start	end	strand	pvalue	qvalue	meth.diff
OX371314.1	343899831	343899831	-	8.53770960992792e-05	0.02368876175133	-11.800602130616
OX371314.1	481140416	481140416	-	0.00035775195401741	0.0492691966451865	-16.8666419609296
OX371314.1	519916690	519916690	-	0.000333607043129798	0.0476248642416412	-18.4261603375527
OX371314.1	519916719	519916719	-	3.54803562939725e-06	0.00487761324533514	-18.8519247742549
OX371314.1	519916747	519916747	-	3.69882985455494e-08	0.000583720946874096	-11.0517764185994
OX371315.1	12262343	12262343	-	0.000188936565052237	0.0368618525192176	-16.1169230769231
OX371315.1	23654763	23654763	-	5.24817722540541e-06	0.00607435734973642	11.2123055450913
OX371315.1	55609461	55609461	-	0.000188407222910012	0.0368618525192176	-17.8289203612479
OX371315.1	90166267	90166267	+	9.34314637966564e-06	0.00784702026607307	-11.4352599289635
OX371316.1	74026935	74026935	+	0.000192115945019247	0.0370960152363731	-13.1607365547684
OX371316.1	102172924	102172924	+	0.000171800704373587	0.0353568090755328	-10.4382956411116
OX371316.1	134811807	134811807	-	0.000286415914427098	0.0455812923762317	16.4716760323586
OX371316.1	149748695	149748695	+	1.16077273287103e-06	0.00313572156209654	15.8818937269524
OX371316.1	149748828	149748828	+	9.45912994896484e-07	0.00279371582268943	11.6319444444444
OX371316.1	149748868	149748868	+	9.54618456385398e-07	0.00279371582268943	11.7957746478873
OX371316.1	149748875	149748875	+	8.52514489816303e-07	0.00279371582268943	11.3989637305699
OX371316.1	149748876	149748876	+	9.1656042232251e-07	0.00279371582268943	11.5916955017301
OX371316.1	149748894	149748894	+	1.61030411734722e-05	0.00958494308976993	11.5617486751507
OX371316.1	201341797	201341797	-	0.000299043558128186	0.0459515356493677	10.1045296167247
OX371316.1	284125665	284125665	+	1.86982035273965e-06	0.0034560492972007	-18.7604690117253
OX371316.1	345890094	345890094	+	0.000173168088633768	0.0353568090755328	21.3662790697674
OX371316.1	367826995	367826995	-	2.47608056006444e-05	0.0129784734995075	-10.8529749442831
OX371316.1	403797417	403797417	-	0.000202615332090873	0.0384622090679583	13.6437642461739
OX371316.1	430557383	430557383	+	0.000290248533261971	0.0457086945156872	-19.8852772466539
OX371318.1	7091147	7091147	-	8.25758674396858e-05	0.023357261051815	16.0499239450279
OX371318.1	85488571	85488571	-	8.00625337881306e-05	0.0232368688566769	10.7676630434783
OX371318.1	168097077	168097077	-	0.000229474413997547	0.0409073823674642	-10.9828401013494
OX371318.1	230330186	230330186	-	7.32748207651578e-05	0.0225871042100923	22.248333853526
OX371318.1	316964228	316964228	-	0.000206132861987078	0.0389195612576127	-39.3459992692729
OX371318.1	391878013	391878013	-	1.45615782125969e-06	0.0033592940662959	14.5561312607945
OX371318.1	459073444	459073444	+	0.00031990972763903	0.046616970908633	-10.590732362988
OX371319.1	17439889	17439889	-	6.21804613321793e-05	0.022057302138515	12.3509259139101
OX371319.1	343788785	343788785	+	3.53853142994271e-05	0.0158020314796473	-13.2481630543145
OX371319.1	343788809	343788809	+	7.27153366775935e-05	0.0225871042100923	-10.5461121632133
OX371319.1	416891372	416891372	+	7.24280149138578e-05	0.0225871042100923	-11.7880601978881
OX371319.1	477777751	477777751	-	0.000143770240249591	0.030786392171032	-17.2729823487399
OX371319.1	477777757	477777757	-	6.11470922887112e-07	0.00279371582268943	-22.1028458788227
OX371319.1	477777770	477777770	-	0.000300663634561836	0.0459515356493677	-13.8310679916236
OX371319.1	477777827	477777827	-	4.65065513025832e-07	0.00279371582268943	-23.5213204951857
OX371319.1	477777859	477777859	-	0.000120274697444496	0.0281589632441983	-18.2389937106918
OX371319.1	477778028	477778028	-	3.96441649334597e-05	0.0167739300959357	-16.2771739130435
OX371319.1	477778060	477778060	-	4.12445952445059e-05	0.0168743995111341	-15.250377567558
OX371320.1	127735602	127735602	+	0.000258819984470439	0.0429325912503143	-11.1668281653747
OX371320.1	194679294	194679294	-	9.69619926036981e-05	0.0256025685570883	-27.4193548387097
OX371320.1	211525859	211525859	+	7.63853203367236e-05	0.0226640511499677	18.9062600527569
OX371320.1	211525902	211525902	+	1.41521412247267e-05	0.00949985758733468	-39.0359231411863
OX371320.1	219459157	219459157	+	9.36172874769088e-07	0.00279371582268943	-12.5935345038392
OX371321.1	197864063	197864063	+	7.91664057932844e-05	0.0231682552344097	14.1370905415849
OX371321.1	197864117	197864117	+	0.000134239215464879	0.0300814727539921	27.2127591193958
OX371321.1	420170645	420170645	+	3.19160150504158e-05	0.0149444881392561	14.9814022363956
OX371322.1	192591609	192591609	+	0.00025969304283138	0.0429325912503143	14.5255397787383
OX371322.1	254476905	254476905	-	0.000307653244333807	0.0459755871079958	-27.5419702248971
OX371322.1	294510241	294510241	+	5.80618539889663e-07	0.00279371582268943	14.3950995405819
OX371322.1	300103131	300103131	-	5.5849809308681e-05	0.0204307405377749	23.715896119628
OX371324.1	14634471	14634471	-	0.000224623291798824	0.0402468933570277	-12.4344077961019
OX371324.1	29923500	29923500	+	0.000339651188983127	0.0481816833406303	-10.855376963202
OX371324.1	61177103	61177103	+	0.000111758058418695	0.0280182283799563	17.4940898345154
OX371324.1	61177333	61177333	+	3.55472793418156e-05	0.0158020314796473	19.3853427895981
OX371324.1	85498129	85498129	-	5.08365456616223e-06	0.00607435734973642	50.9590601210813
OX371324.1	111011824	111011824	+	2.96481762599432e-06	0.00473269971667749	18.3953033268102
OX371324.1	111011842	111011842	+	1.23007950040649e-05	0.00863966341433687	29.8912091121495
OX371324.1	111011889	111011889	+	0.000115200966268531	0.0281589632441983	16.2426614481409
OX371324.1	127909465	127909465	+	0.000283600665822554	0.0454775204867824	-10.7634543178974
OX371324.1	215998991	215998991	+	0.000176013053185076	0.0357299509650403	-12.4526165679113
OX371324.1	264017659	264017659	-	2.9457477186645e-05	0.0142470404197878	15.4801510429827
OX371326.1	132687368	132687368	+	9.39202490884876e-06	0.00784702026607307	-14.1499409681228
OX371326.1	223566095	223566095	+	1.2632779511251e-10	4.4364190659495e-06	-17.8561537609394
OX371326.1	329829811	329829811	+	4.84450272937503e-05	0.0189034182017437	-17.1586715867159
OX371326.1	332626977	332626977	+	6.00676999516968e-06	0.00659211342494204	-21.9910846953938
OX371326.1	366009364	366009364	-	7.39647423965971e-05	0.0225871042100923	11.8790496760259
OX371326.1	408657995	408657995	-	1.53749818240822e-05	0.00949985758733468	-31.3942320662584
