CpG;LD;Loading
17489667;LD1;9.14680224150343e-06
21832718;LD1;2.00115180119107e-06
21832723;LD1;3.67702455034897e-06
21832724;LD1;1.05568779431551e-06
21832770;LD1;3.1403128990425e-07
21832771;LD1;3.5565838567589e-08
21832799;LD1;0.000832070866612884
21832849;LD1;2.02870922105243e-07
21832858;LD1;2.79924565441484e-06
21832859;LD1;2.25933092764333e-05
24767126;LD1;1.59514945909457e-05
24767152;LD1;1.58127020073399e-06
24767190;LD1;1.59702831363672e-05
24767216;LD1;2.17350738256122e-06
24767230;LD1;9.44702426674508e-06
24767232;LD1;1.95697739420056e-05
24767241;LD1;9.90594404934667e-07
30494939;LD1;8.68282714863268e-07
56904214;LD1;3.66854678965715e-06
57212363;LD1;3.16852910125436e-07
57212503;LD1;1.74001888260366e-06
57476013;LD1;1.09801498860452e-05
57476070;LD1;5.20268789276265e-06
57476101;LD1;2.08081859448121e-05
57476113;LD1;3.12032961128303e-06
57476159;LD1;1.84235370975204e-07
57476169;LD1;1.18534541776979e-05
57476204;LD1;1.74684474987822e-05
57655241;LD1;2.5917171579629e-06
57655249;LD1;7.83870253654299e-08
57655365;LD1;2.30253705082225e-05
58150397;LD1;6.32540427156996e-05
58274592;LD1;2.29790975769676e-05
58305099;LD1;1.17448446368901e-05
58305133;LD1;5.19128094223425e-05
58305190;LD1;7.332878711615e-07
58323768;LD1;1.11554110908785e-07
58323882;LD1;1.31920260773454e-06
58921041;LD1;1.22943918055571e-05
59056698;LD1;0.000328486369439413
59056705;LD1;0.000187704394986094
59056719;LD1;0.000366159296096369
59161181;LD1;4.0769740754876e-06
59161247;LD1;8.98403706272511e-06
59161294;LD1;2.41125007354251e-06
59161328;LD1;1.09379334644211e-05
59463611;LD1;3.54758562535259e-06
59463651;LD1;9.58726450333346e-08
59463670;LD1;3.12806679080689e-06
59465939;LD1;0.000657215553234405
59465955;LD1;1.88343160167685e-05
59465961;LD1;9.29360533933862e-07
59465976;LD1;1.22331789814823e-05
59465979;LD1;2.11807970725939e-06
59466159;LD1;0.000361114961594071
59604709;LD1;0.000150940759928842
59637799;LD1;4.86404968939828e-05
59637847;LD1;4.58546148239656e-07
59637892;LD1;2.4183887395085e-06
59637895;LD1;9.69509382645405e-07
59702572;LD1;2.77735175982431e-06
59702619;LD1;1.77351389421457e-05
59820223;LD1;3.44303621341348e-06
59820332;LD1;5.52005758144521e-07
59942715;LD1;0.000674979624169101
60046662;LD1;2.57720602503898e-05
60046709;LD1;6.8676730373128e-05
60046744;LD1;8.61475704632248e-05
60100404;LD1;1.38189131209316e-06
60100543;LD1;2.67641363375933e-06
60100555;LD1;5.04201493522093e-06
60141007;LD1;1.0144611517294e-06
60141064;LD1;1.55609524387496e-05
60141075;LD1;2.07875844454121e-05
60141175;LD1;3.57165228056649e-06
60159726;LD1;2.13821388062241e-07
60390567;LD1;0.000124980714615536
60390644;LD1;1.23685512048993e-05
60390657;LD1;9.92189741853927e-07
60390734;LD1;0.000725947783407711
60490541;LD1;9.33212847824142e-08
60490569;LD1;4.86102694540836e-07
60490598;LD1;7.29626607766729e-06
60490616;LD1;7.9673848688634e-08
60552734;LD1;1.07545871684302e-08
61266181;LD1;8.80049029805549e-06
61266191;LD1;1.72740474774417e-06
61266192;LD1;1.27989487698724e-05
61266194;LD1;5.64139576941485e-07
61266212;LD1;2.31186123695319e-06
61266213;LD1;2.59383469527594e-06
61330833;LD1;4.48463495463272e-07
61330840;LD1;8.44931993025454e-06
61330886;LD1;0.000179543673476345
61330901;LD1;0.00012610660087365
61330944;LD1;3.13679124488089e-06
61330958;LD1;5.10839714464329e-06
61330967;LD1;9.77206345022099e-09
61330998;LD1;2.29976624903356e-05
61331037;LD1;1.52212289380941e-05
61331040;LD1;1.8407788576632e-06
61331055;LD1;8.09108743726082e-05
61345522;LD1;4.15916480764414e-07
61345535;LD1;2.23219889241933e-05
61345558;LD1;1.21807824222233e-06
61345585;LD1;1.83300269213793e-05
61345611;LD1;7.67557674755166e-10
61345753;LD1;2.97067921501338e-08
61395122;LD1;9.19069149886177e-06
61417548;LD1;1.90097580880448e-05
61417633;LD1;1.7485516637507e-06
61421521;LD1;2.43367390047438e-06
61646146;LD1;0.000428403369275177
61646170;LD1;6.18117956166082e-05
61691107;LD1;5.39861578814905e-06
61997074;LD1;3.46633468850172e-06
62049895;LD1;5.52758209011927e-06
62049941;LD1;2.57395817419931e-06
62244176;LD1;6.65012172394959e-06
62244185;LD1;4.23054290061703e-05
62348680;LD1;1.50223694764062e-07
62427012;LD1;0.000180194057750175
62557248;LD1;2.36654041309494e-05
62620319;LD1;1.15206725447843e-05
62620360;LD1;7.02091737955208e-07
62620369;LD1;2.66687854903928e-05
62620399;LD1;1.05017000153911e-07
62620423;LD1;1.35010719155664e-07
62620473;LD1;1.40328665928091e-05
62620501;LD1;1.73220251494678e-05
62620515;LD1;1.05775204930079e-05
62620524;LD1;2.92723020064394e-07
62620553;LD1;4.10598366649109e-08
62620557;LD1;1.44897836803211e-07
62620576;LD1;1.57701156617548e-05
62620586;LD1;2.57853752210045e-06
62622651;LD1;4.57240171027915e-08
62622697;LD1;0.00151555244566458
62622722;LD1;6.78011713342221e-05
63148419;LD1;5.86621707402184e-07
63148480;LD1;9.23994651861154e-06
63148496;LD1;0.000269098741549785
