chr	start	end	strand	pvalue	qvalue	meth.diff
CAMZJZ010000024.1	219292	219292	-	0.000286675351842399	0.00407247328907417	-21.8599244405696
CAMZJZ010000024.1	219376	219376	-	0.00025209978729147	0.00372502558043548	-12.8901461574729
CAMZJZ010000125.1	16379	16379	-	2.79191235823437e-05	0.000685432923150148	15.9432769672363
CAMZJZ010000125.1	16504	16504	-	8.5900755966171e-05	0.00164825433657395	12.5011109600402
CAMZJZ010000342.1	20984	20984	+	0.000158037512395655	0.00264078685700556	-14.7563374439968
CAMZJZ010000440.1	10838	10838	+	0.0101167352559146	0.0492341546385062	10.2223280151475
OX371314.1	1474119	1474119	+	0.000160638853849195	0.00267027444939861	-17.5660304079833
OX371314.1	1474203	1474203	+	8.47485222628614e-09	7.87812189874363e-07	-16.4855547208488
OX371314.1	2536516	2536516	+	0.000140031050476729	0.00242015047182915	-18.1824105932645
OX371314.1	2536521	2536521	+	0.00466391188818067	0.0291677502834904	-12.3356865864572
OX371314.1	2536693	2536693	+	1.13872570717558e-05	0.000346127701317122	-15.4568923413261
OX371314.1	7491166	7491166	+	0.00751174386086184	0.0402615502522437	-11.8220211161388
OX371314.1	14737778	14737778	-	0.00162208429833047	0.013854651136447	24.9464553437567
OX371314.1	14737896	14737896	-	0.000713694023463257	0.00777411519673236	-36.6630248166068
OX371314.1	20741547	20741547	-	2.27085126648487e-05	0.000585993752851194	-24.663092305463
OX371314.1	23451398	23451398	-	0.00393987513369522	0.02587161163651	-11.3214198286414
OX371314.1	23451470	23451470	-	0.00787500673190531	0.0415434051600289	-16.3363143864477
OX371314.1	26414329	26414329	-	5.41549843511403e-08	3.78482369840229e-06	-14.7584618248432
OX371314.1	26414492	26414492	-	0.00315923922842439	0.0224066294340644	-10.4874998221093
OX371314.1	26414497	26414497	-	5.61159484597391e-07	2.89354592896852e-05	-15.860445585252
OX371314.1	32570344	32570344	+	0.00265294087774218	0.0197983365293835	-17.3997421275804
OX371314.1	32570349	32570349	+	0.00867030337471512	0.0443225055638923	-24.3619330162861
OX371314.1	33321243	33321243	-	3.35129144213232e-12	6.29172610277019e-10	33.1918449445834
OX371314.1	49145906	49145906	+	0.00362908900803628	0.0245046879215754	-12.4088740533136
OX371314.1	49146083	49146083	+	0.000760653340095203	0.00815963029271902	-11.8363032316521
OX371314.1	55678023	55678023	+	2.84327451722485e-05	0.000692714102385678	-20.0142125096163
OX371314.1	55678025	55678025	-	3.15810216763419e-07	1.74786489332786e-05	-25.4561570390868
OX371314.1	55678167	55678167	+	0.00169573469025426	0.0142924723344956	-19.8626518753302
OX371314.1	61887617	61887617	-	0.000204627786034557	0.00318970898400901	-14.8398504513343
OX371314.1	61887622	61887622	-	0.000922602818593525	0.00925694916110666	-15.4458300675004
OX371314.1	62469895	62469895	+	0.00109451956818411	0.0104484142844324	-19.159638173154
OX371314.1	62470096	62470096	+	6.22982181665615e-19	3.97660224230989e-16	-68.342315789049
OX371314.1	64241147	64241147	+	0.00829521245056043	0.0429405799263309	-18.1599931479724
OX371314.1	64241265	64241265	+	0.00600556737107557	0.0343294636913006	25.7506908787844
OX371314.1	86542734	86542734	+	0.000423177484565503	0.00537821632188462	-14.6849078914477
OX371314.1	86542747	86542747	+	0.00269730886526046	0.0200824871631499	10.4222727585412
OX371314.1	91199084	91199084	-	0.000447128193209272	0.00558912836167233	-16.0204081632653
OX371314.1	91199138	91199138	-	0.00509229373437529	0.0306843788616695	12.016393442623
OX371314.1	105877474	105877474	+	0.00579156880208155	0.033628179055944	27.4032503352372
OX371314.1	105935112	105935112	+	0.00558305260449661	0.032855793005997	19.0299607809898
OX371314.1	126337909	126337909	+	0.000184017803234788	0.00293445037615875	-22.9013304518133
OX371314.1	135543661	135543661	-	0.000100814379872662	0.00185273176090418	-23.3536223432505
OX371314.1	142773073	142773073	+	0.00304200598706156	0.0217849438071186	-12.7537136081288
OX371314.1	142773079	142773079	+	0.00820695257056537	0.0426439910927159	-12.3300246905397
OX371314.1	153948382	153948382	+	0.000239421009307918	0.00358187206666643	-15.0210436112572
OX371314.1	153948559	153948559	+	4.81095261715348e-05	0.00105650699581883	-10.4476991685453
